task,dimension,eps,percent,LOSS,AUC-best,Accuracy-best,Sensitivity-best,Specifity-best
meniscus,sagittal,0,0,0.2844,0.765,0.6667,0.6731,0.6618
meniscus,coronal,0,0,0.2891,0.8298,0.625,0.9423,0.3824
meniscus,axial,0,0,0.2499,0.8337,0.7583,0.8846,0.6618
acl,sagittal,0,0,0.1688,0.9436,0.875,0.8148,0.9242
acl,coronal,0,0,0.1905,0.922,0.825,0.9444,0.7273
acl,axial,0,0,0.1484,0.9562,0.875,0.8704,0.8788
abnormal,sagittal,0,0,0.1023,0.9478,0.9,0.9368,0.76
abnormal,coronal,0,0,0.1453,0.8808,0.8167,0.8316,0.76
abnormal,axial,0,0,0.1006,0.9554,0.875,0.8737,0.88

