epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.169,0.8227,0.7761,0.75,0.7818,0.1474,0.9568,0.875,0.8704,0.8788,0.2508,0.921,0.8235,0.6875,0.9444
1,0.1612,0.916,0.791,0.8462,0.7778,0.1468,0.9568,0.875,0.8704,0.8788,0.2636,0.9,0.7794,0.6,0.9211
2,0.1544,0.8994,0.8657,0.8182,0.875,0.1468,0.9562,0.875,0.8889,0.8636,0.2493,0.9134,0.8088,0.697,0.9143
3,0.1656,0.8288,0.7015,0.6667,0.7091,0.146,0.9562,0.8833,0.8889,0.8788,0.2508,0.893,0.7941,0.7241,0.8462
4,0.1731,0.8652,0.7463,0.6429,0.7736,0.146,0.9551,0.8667,0.8704,0.8636,0.2472,0.9098,0.8235,0.7931,0.8462
5,0.1863,0.7507,0.6269,0.6154,0.6296,0.1479,0.9551,0.9,0.9444,0.8636,0.2257,0.9809,0.9118,0.9688,0.8611
6,0.1588,0.8621,0.7164,0.75,0.7091,0.1469,0.9554,0.8833,0.9074,0.8636,0.2364,0.9588,0.8824,0.9333,0.8421
7,0.176,0.8641,0.7761,0.8667,0.75,0.1485,0.9554,0.9,0.9444,0.8636,0.2381,0.9521,0.7941,0.9259,0.7073
8,0.1746,0.8775,0.7463,0.875,0.7059,0.1519,0.9545,0.9,0.963,0.8485,0.2287,0.9645,0.8676,0.9429,0.7879
9,0.167,0.8885,0.7313,0.8667,0.6923,0.1512,0.9548,0.9,0.963,0.8485,0.2423,0.9161,0.7647,0.8929,0.675
10,0.1632,0.7739,0.6418,0.6667,0.6379,0.1491,0.9545,0.9083,0.963,0.8636,0.2483,0.9082,0.7647,0.9091,0.6286
11,0.1949,0.7914,0.5821,0.7778,0.5102,0.1494,0.9545,0.9083,0.963,0.8636,0.2551,0.8871,0.7647,0.8519,0.7073
12,0.166,0.8814,0.6418,0.8571,0.5849,0.1494,0.9545,0.9083,0.963,0.8636,0.2492,0.9187,0.8529,0.8889,0.8293
13,0.1739,0.8692,0.7164,0.8667,0.6731,0.1495,0.9548,0.9083,0.963,0.8636,0.2355,0.9412,0.8235,0.9667,0.7105
14,0.1613,0.8485,0.7015,0.75,0.6909,0.1481,0.9551,0.9083,0.963,0.8636,0.2515,0.9076,0.7941,0.871,0.7297
15,0.1743,0.8833,0.7164,0.9333,0.6538,0.1482,0.9557,0.9083,0.963,0.8636,0.2377,0.9514,0.8676,0.9062,0.8333
16,0.1641,0.8974,0.7164,0.8667,0.6731,0.1483,0.9554,0.9083,0.963,0.8636,0.2406,0.9137,0.8235,0.871,0.7838
17,0.1565,0.9057,0.7463,0.9286,0.6981,0.1482,0.9554,0.9083,0.963,0.8636,0.2559,0.8824,0.7794,0.8529,0.7059
18,0.1858,0.7872,0.7463,0.7333,0.75,0.1484,0.9551,0.9083,0.963,0.8636,0.2418,0.9297,0.8824,0.875,0.8889
19,0.1681,0.9071,0.7761,0.9412,0.72,0.1485,0.9551,0.9083,0.963,0.8636,0.2386,0.9307,0.8382,0.8788,0.8
