epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.3056,0.6195,0.569,0.5894,0.558,0.3418,0.6753,0.6,0.1538,0.9412
1,0.2844,0.7107,0.6681,0.6599,0.6726,0.31,0.7144,0.6833,0.4038,0.8971
2,0.2738,0.7426,0.6788,0.6675,0.6849,0.2911,0.7432,0.65,0.6154,0.6765
3,0.2611,0.7729,0.7035,0.6851,0.7135,0.322,0.7497,0.6,0.9615,0.3235
4,0.2563,0.7877,0.7221,0.7355,0.7149,0.2903,0.7701,0.65,0.8462,0.5
5,0.2468,0.8058,0.7416,0.7431,0.7408,0.2845,0.7808,0.6667,0.8846,0.5
6,0.2456,0.8049,0.7221,0.7406,0.7121,0.3366,0.763,0.6917,0.3462,0.9559
7,0.2434,0.8097,0.7372,0.7481,0.7312,0.2959,0.7941,0.6833,0.3654,0.9265
8,0.2367,0.8252,0.7522,0.7557,0.7503,0.2749,0.7975,0.675,0.5385,0.7794
9,0.2315,0.8324,0.7761,0.7708,0.779,0.2747,0.8102,0.7083,0.8846,0.5735
10,0.2291,0.8384,0.7513,0.7154,0.7708,0.2702,0.8131,0.725,0.9038,0.5882
11,0.2286,0.8385,0.7602,0.7758,0.7517,0.2713,0.8235,0.725,0.9423,0.5588
12,0.2228,0.8459,0.7646,0.7708,0.7613,0.3094,0.8159,0.6083,0.9808,0.3235
13,0.2302,0.8342,0.754,0.7683,0.7462,0.2572,0.8281,0.7667,0.7885,0.75
14,0.2218,0.847,0.7637,0.7506,0.7708,0.2613,0.823,0.75,0.8269,0.6912
15,0.2211,0.8496,0.7805,0.7834,0.779,0.2891,0.8298,0.625,0.9423,0.3824
16,0.2207,0.8497,0.7743,0.7909,0.7653,0.2693,0.8117,0.725,0.5769,0.8382
17,0.2153,0.8591,0.7858,0.7834,0.7872,0.2619,0.8111,0.725,0.6923,0.75
18,0.2172,0.8579,0.7708,0.7733,0.7694,0.2632,0.8128,0.7333,0.7115,0.75
19,0.2162,0.8561,0.7681,0.7859,0.7585,0.2724,0.8035,0.7083,0.8462,0.6029
20,0.2004,0.8863,0.8124,0.8237,0.8063,0.291,0.8071,0.675,0.9231,0.4853
21,0.1991,0.8844,0.8062,0.8237,0.7967,0.2587,0.8182,0.7333,0.7885,0.6912
22,0.1967,0.8883,0.8053,0.8212,0.7967,0.2702,0.8029,0.7083,0.6538,0.75
23,0.197,0.8875,0.8062,0.8186,0.7995,0.2632,0.8094,0.7333,0.7308,0.7353
24,0.1926,0.8939,0.8133,0.8438,0.7967,0.3057,0.8162,0.6333,0.9423,0.3971
25,0.1947,0.8906,0.8212,0.8589,0.8008,0.2649,0.8085,0.7333,0.7885,0.6912
26,0.1914,0.8967,0.8142,0.8312,0.8049,0.2668,0.804,0.7333,0.7885,0.6912
27,0.1862,0.9029,0.815,0.8312,0.8063,0.2703,0.7989,0.7167,0.6923,0.7353
28,0.19,0.8972,0.823,0.8363,0.8158,0.2676,0.8029,0.7167,0.75,0.6912
29,0.1853,0.9048,0.8345,0.8564,0.8226,0.268,0.8012,0.7167,0.75,0.6912
30,0.1867,0.9006,0.8168,0.8287,0.8104,0.2698,0.8003,0.7167,0.75,0.6912
