epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.2036,0.6018,0.5761,0.6202,0.5662,0.3067,0.8249,0.725,0.8333,0.6364
1,0.1861,0.7354,0.6726,0.6971,0.667,0.3041,0.8516,0.675,0.2963,0.9848
2,0.1736,0.7735,0.7142,0.6923,0.7191,0.2514,0.8639,0.7833,0.7222,0.8333
3,0.1627,0.8131,0.7558,0.7548,0.756,0.2352,0.888,0.8,0.7593,0.8333
4,0.1528,0.8335,0.777,0.75,0.7831,0.2265,0.9021,0.775,0.7593,0.7879
5,0.1466,0.8539,0.7788,0.7356,0.7885,0.2121,0.9116,0.8,0.7593,0.8333
6,0.1371,0.8739,0.8009,0.8029,0.8004,0.1987,0.9125,0.7917,0.7778,0.803
7,0.1395,0.8668,0.8168,0.7933,0.8221,0.22,0.9206,0.825,0.963,0.7121
8,0.1352,0.8752,0.7982,0.7837,0.8015,0.2085,0.9265,0.7667,0.6111,0.8939
9,0.13,0.8861,0.8195,0.8029,0.8232,0.2052,0.9282,0.8667,0.9815,0.7727
10,0.13,0.8857,0.8248,0.8317,0.8232,0.1842,0.9408,0.8333,0.7407,0.9091
11,0.1262,0.8922,0.8142,0.7837,0.821,0.1802,0.9391,0.825,0.7407,0.8939
12,0.1246,0.8982,0.8354,0.8221,0.8384,0.1848,0.931,0.8167,0.7222,0.8939
13,0.1218,0.902,0.8274,0.8125,0.8308,0.1877,0.9419,0.8583,0.963,0.7727
14,0.121,0.9068,0.8265,0.8269,0.8265,0.1774,0.9428,0.8167,0.7222,0.8939
15,0.1179,0.9121,0.8389,0.8365,0.8395,0.167,0.9442,0.8417,0.7963,0.8788
16,0.114,0.9172,0.8513,0.8413,0.8536,0.1842,0.947,0.825,0.7037,0.9242
17,0.1148,0.914,0.8398,0.8125,0.846,0.1657,0.9506,0.8917,0.9074,0.8788
18,0.1167,0.9106,0.8345,0.8173,0.8384,0.1761,0.9529,0.8917,0.9444,0.8485
19,0.1073,0.9308,0.8504,0.8606,0.8482,0.1557,0.9478,0.875,0.8704,0.8788
20,0.108,0.9263,0.8442,0.8462,0.8438,0.1873,0.9357,0.8583,0.9074,0.8182
21,0.1103,0.9229,0.8478,0.851,0.8471,0.1689,0.9473,0.8917,1.0,0.803
22,0.1074,0.9307,0.8513,0.8702,0.8471,0.1599,0.945,0.8917,0.9259,0.8636
23,0.1077,0.9274,0.8478,0.8413,0.8492,0.17,0.9523,0.9,0.9815,0.8333
24,0.1097,0.9238,0.8496,0.851,0.8492,0.1532,0.9531,0.9083,0.9444,0.8788
25,0.1111,0.9233,0.8487,0.8606,0.846,0.1578,0.9512,0.8917,0.9444,0.8485
26,0.1034,0.9354,0.8593,0.8798,0.8547,0.1486,0.9562,0.875,0.8704,0.8788
27,0.1098,0.925,0.8522,0.8702,0.8482,0.1781,0.9498,0.8583,0.963,0.7727
28,0.1046,0.9323,0.8673,0.8702,0.8666,0.1578,0.9492,0.8667,0.8704,0.8636
29,0.1068,0.9277,0.8522,0.8558,0.8514,0.1514,0.952,0.9,0.9259,0.8788
30,0.1048,0.932,0.8619,0.8654,0.8612,0.1535,0.9475,0.8667,0.9074,0.8333
31,0.1051,0.9323,0.8478,0.8317,0.8514,0.1555,0.9467,0.8583,0.8333,0.8788
32,0.1043,0.9335,0.8531,0.8462,0.8547,0.1574,0.9534,0.875,0.8333,0.9091
33,0.097,0.9477,0.8832,0.8894,0.8818,0.154,0.9481,0.9,0.963,0.8485
34,0.093,0.9539,0.877,0.899,0.872,0.1549,0.9458,0.8417,0.8148,0.8636
35,0.0929,0.9511,0.8788,0.8798,0.8785,0.1619,0.9456,0.8333,0.7593,0.8939
36,0.0944,0.9489,0.8841,0.8846,0.8839,0.1566,0.9517,0.8833,0.963,0.8182
37,0.0923,0.9523,0.8788,0.8942,0.8753,0.1502,0.9515,0.8583,0.8704,0.8485
38,0.0955,0.9468,0.8752,0.8894,0.872,0.1533,0.9537,0.8917,0.963,0.8333
39,0.0907,0.9549,0.8796,0.8942,0.8764,0.1484,0.952,0.8583,0.8519,0.8636
40,0.0873,0.9593,0.8929,0.9183,0.8872,0.1493,0.9503,0.8583,0.8519,0.8636
41,0.0907,0.9537,0.8788,0.8894,0.8764,0.1514,0.9489,0.8667,0.8519,0.8788
42,0.0879,0.9579,0.8903,0.9135,0.885,0.1497,0.9498,0.8583,0.8519,0.8636
43,0.0893,0.9569,0.877,0.8846,0.8753,0.1497,0.9523,0.8667,0.8889,0.8485
44,0.086,0.9606,0.8912,0.9135,0.8861,0.1567,0.9484,0.85,0.7963,0.8939
45,0.0913,0.9528,0.8912,0.9038,0.8883,0.1497,0.9512,0.8583,0.8704,0.8485
46,0.0878,0.9579,0.8788,0.8894,0.8764,0.1487,0.9498,0.8583,0.8519,0.8636
47,0.0866,0.9599,0.8956,0.9038,0.8937,0.1489,0.9501,0.8583,0.8519,0.8636
48,0.089,0.9568,0.8876,0.9038,0.8839,0.1499,0.9495,0.8667,0.8519,0.8788
49,0.0916,0.9524,0.8841,0.8894,0.8829,0.1485,0.9509,0.8583,0.8519,0.8636
