epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.2057,0.5803,0.554,0.5337,0.5586,0.296,0.7789,0.7083,0.5556,0.8333
1,0.1837,0.7315,0.6743,0.6827,0.6725,0.2958,0.83,0.6833,0.4074,0.9091
2,0.177,0.7585,0.6991,0.6875,0.7017,0.249,0.8513,0.75,0.6667,0.8182
3,0.1718,0.7754,0.7115,0.7019,0.7137,0.2483,0.8718,0.7583,0.6296,0.8636
4,0.1657,0.7952,0.7381,0.7212,0.7419,0.2398,0.8765,0.7417,0.6852,0.7879
5,0.1607,0.8109,0.7451,0.7596,0.7419,0.2286,0.8757,0.7667,0.6852,0.8333
6,0.1572,0.8207,0.754,0.75,0.7549,0.2265,0.8858,0.8167,0.9074,0.7424
7,0.1581,0.8174,0.7558,0.7067,0.7668,0.2331,0.8959,0.7917,0.9259,0.6818
8,0.157,0.8184,0.7558,0.7404,0.7592,0.2343,0.8892,0.775,0.6481,0.8788
9,0.1547,0.8281,0.7646,0.7644,0.7646,0.255,0.8948,0.7417,0.9444,0.5758
10,0.1526,0.8308,0.7726,0.7356,0.7809,0.2264,0.8903,0.7917,0.7407,0.8333
11,0.1474,0.8467,0.7726,0.7548,0.7766,0.2204,0.9007,0.8,0.6852,0.8939
12,0.1457,0.8507,0.7779,0.7885,0.7755,0.2209,0.8939,0.8,0.8148,0.7879
13,0.1416,0.8604,0.7885,0.7788,0.7907,0.2387,0.9082,0.775,0.963,0.6212
14,0.1456,0.8499,0.7805,0.7548,0.7863,0.2125,0.9074,0.8333,0.7407,0.9091
15,0.1402,0.8647,0.7832,0.7548,0.7896,0.2105,0.9046,0.825,0.7407,0.8939
16,0.1388,0.8665,0.7982,0.8029,0.7972,0.2369,0.8934,0.8083,0.6296,0.9545
17,0.1383,0.8694,0.8009,0.7692,0.808,0.2012,0.9088,0.8333,0.7963,0.8636
18,0.1378,0.8687,0.8,0.8029,0.7993,0.2102,0.9125,0.8083,0.8333,0.7879
19,0.1351,0.8773,0.8,0.8029,0.7993,0.1961,0.9099,0.8083,0.8148,0.803
20,0.1327,0.8804,0.7973,0.8029,0.7961,0.1965,0.9189,0.85,0.7963,0.8939
21,0.1345,0.8784,0.8027,0.8125,0.8004,0.2188,0.9206,0.775,0.9444,0.6364
22,0.1331,0.8826,0.8097,0.8269,0.8059,0.1888,0.9276,0.8667,0.7963,0.9242
23,0.1326,0.8808,0.808,0.7933,0.8113,0.1886,0.9226,0.8167,0.8333,0.803
24,0.1297,0.8875,0.8035,0.7837,0.808,0.1841,0.9256,0.8333,0.8148,0.8485
25,0.1302,0.8855,0.8044,0.8173,0.8015,0.1872,0.9192,0.8333,0.8148,0.8485
26,0.1281,0.8922,0.8062,0.8317,0.8004,0.1893,0.929,0.85,0.7778,0.9091
27,0.1297,0.8886,0.8062,0.8221,0.8026,0.1897,0.9293,0.825,0.8333,0.8182
28,0.1311,0.8831,0.7973,0.7981,0.7972,0.191,0.9329,0.8167,0.8704,0.7727
29,0.1304,0.8883,0.8044,0.8173,0.8015,0.1863,0.9287,0.8583,0.7963,0.9091
30,0.1272,0.8936,0.8088,0.8029,0.8102,0.1741,0.9369,0.8667,0.8148,0.9091
31,0.1289,0.8909,0.8088,0.7981,0.8113,0.1838,0.9369,0.8583,0.8148,0.8939
32,0.1261,0.8947,0.8027,0.8029,0.8026,0.1765,0.9436,0.875,0.8148,0.9242
33,0.1248,0.8989,0.808,0.8317,0.8026,0.1774,0.9366,0.8417,0.8333,0.8485
34,0.1226,0.9029,0.8239,0.8221,0.8243,0.1889,0.929,0.8333,0.7593,0.8939
35,0.1264,0.8921,0.8159,0.8125,0.8167,0.1992,0.9209,0.8333,0.7593,0.8939
36,0.1259,0.8962,0.8035,0.7692,0.8113,0.1881,0.9369,0.825,0.9259,0.7424
37,0.1186,0.9117,0.808,0.8558,0.7972,0.1692,0.9386,0.85,0.8333,0.8636
38,0.1164,0.9155,0.8292,0.8558,0.8232,0.1713,0.9391,0.8417,0.8704,0.8182
39,0.1155,0.9157,0.8221,0.8462,0.8167,0.1701,0.9355,0.8333,0.8333,0.8333
40,0.1159,0.9157,0.8274,0.8365,0.8254,0.1707,0.9369,0.8583,0.8333,0.8788
41,0.117,0.9125,0.8124,0.8173,0.8113,0.1825,0.9383,0.8417,0.7778,0.8939
42,0.114,0.9201,0.8345,0.8365,0.8341,0.1761,0.9383,0.85,0.8148,0.8788
43,0.114,0.9201,0.8319,0.8365,0.8308,0.1688,0.9366,0.85,0.8333,0.8636
44,0.1076,0.9339,0.8407,0.8846,0.8308,0.2042,0.9346,0.8333,0.7037,0.9394
45,0.1115,0.9213,0.8283,0.8269,0.8286,0.1713,0.9349,0.8417,0.8519,0.8333
46,0.1155,0.9145,0.8248,0.8413,0.821,0.1715,0.9338,0.85,0.8148,0.8788
47,0.113,0.9203,0.8327,0.8317,0.833,0.1732,0.9329,0.85,0.8148,0.8788
48,0.1141,0.9187,0.8354,0.8317,0.8362,0.1811,0.9363,0.8417,0.7778,0.8939
49,0.1146,0.9184,0.8186,0.8413,0.8134,0.1699,0.9349,0.8333,0.8148,0.8485
