epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.3,0.6464,0.5956,0.6524,0.5648,0.3384,0.6626,0.6083,0.1538,0.9559
1,0.2758,0.7403,0.6796,0.6776,0.6808,0.3047,0.7268,0.6417,0.3654,0.8529
2,0.2603,0.7769,0.7044,0.6877,0.7135,0.2842,0.7706,0.725,0.8077,0.6618
3,0.2525,0.7932,0.731,0.7229,0.7353,0.3313,0.7845,0.55,0.9615,0.2353
4,0.2476,0.8065,0.7416,0.7481,0.7381,0.2955,0.7992,0.6333,0.9423,0.3971
5,0.2384,0.8191,0.7434,0.7431,0.7435,0.2893,0.7984,0.7167,0.9423,0.5441
6,0.238,0.8187,0.746,0.7733,0.7312,0.298,0.7511,0.675,0.5,0.8088
7,0.2336,0.8265,0.7416,0.7506,0.7367,0.2891,0.7752,0.6917,0.5192,0.8235
8,0.2305,0.8346,0.7619,0.7632,0.7613,0.2702,0.7938,0.725,0.7692,0.6912
9,0.2276,0.8393,0.7655,0.7683,0.764,0.3092,0.802,0.6333,0.9231,0.4118
10,0.2201,0.8518,0.7779,0.7884,0.7722,0.2776,0.8167,0.6667,0.9231,0.4706
11,0.2187,0.8529,0.769,0.7909,0.7572,0.2732,0.8102,0.675,0.8846,0.5147
12,0.2189,0.8513,0.7708,0.801,0.7544,0.2949,0.8235,0.625,0.9615,0.3676
13,0.2187,0.8535,0.7664,0.8035,0.7462,0.2557,0.8238,0.7333,0.8269,0.6618
14,0.214,0.86,0.777,0.7884,0.7708,0.2789,0.8173,0.7167,0.9231,0.5588
15,0.2153,0.8584,0.7726,0.8086,0.7531,0.2938,0.8331,0.6167,0.9615,0.3529
16,0.2133,0.8623,0.7796,0.806,0.7653,0.2541,0.8269,0.7417,0.7885,0.7059
17,0.2061,0.8739,0.7832,0.7884,0.7804,0.2618,0.806,0.7333,0.7885,0.6912
18,0.205,0.8766,0.7876,0.8287,0.7653,0.2533,0.8244,0.7583,0.7308,0.7794
19,0.2052,0.8737,0.7867,0.8111,0.7735,0.26,0.8281,0.675,0.8654,0.5294
20,0.2034,0.8789,0.8035,0.8237,0.7926,0.3362,0.819,0.65,1.0,0.3824
21,0.2035,0.8766,0.7894,0.8086,0.779,0.2535,0.8207,0.7333,0.7885,0.6912
22,0.2023,0.8781,0.7991,0.8186,0.7885,0.2526,0.8309,0.7417,0.7115,0.7647
23,0.2021,0.8787,0.7938,0.8262,0.7763,0.2587,0.8165,0.7333,0.7115,0.75
24,0.1996,0.881,0.7903,0.8111,0.779,0.3068,0.8306,0.6417,1.0,0.3676
25,0.1982,0.8846,0.7929,0.8262,0.7749,0.2533,0.8337,0.7583,0.8846,0.6618
26,0.1993,0.8838,0.7956,0.8136,0.7858,0.2499,0.8255,0.7583,0.8077,0.7206
27,0.1972,0.8848,0.7912,0.8161,0.7776,0.3647,0.791,0.6167,0.1538,0.9706
28,0.1998,0.8823,0.7938,0.8161,0.7817,0.2505,0.8309,0.7333,0.7115,0.75
29,0.1957,0.8896,0.8071,0.8489,0.7844,0.2519,0.8283,0.75,0.7692,0.7353
30,0.1974,0.8848,0.8009,0.8262,0.7872,0.2523,0.8292,0.7417,0.75,0.7353
31,0.1969,0.8877,0.8115,0.8413,0.7954,0.254,0.8337,0.7333,0.9231,0.5882
32,0.1957,0.8877,0.792,0.8262,0.7735,0.3086,0.8295,0.6167,0.9615,0.3529
33,0.1837,0.9074,0.815,0.8363,0.8035,0.2658,0.8312,0.7167,0.9231,0.5588
34,0.1855,0.9016,0.8195,0.8463,0.8049,0.2986,0.8255,0.6583,0.9423,0.4412
35,0.1824,0.9085,0.8133,0.8438,0.7967,0.252,0.8241,0.75,0.7692,0.7353
36,0.1816,0.9073,0.8177,0.8388,0.8063,0.2613,0.8258,0.7083,0.8846,0.5735
37,0.178,0.9129,0.8257,0.8463,0.8145,0.2959,0.8252,0.6583,0.9423,0.4412
38,0.1788,0.9118,0.8159,0.8589,0.7926,0.2693,0.8312,0.7083,0.9423,0.5294
39,0.1761,0.9168,0.8274,0.8615,0.809,0.2569,0.8303,0.7167,0.8462,0.6176
40,0.1734,0.9213,0.8283,0.8615,0.8104,0.2644,0.8306,0.7083,0.9423,0.5294
41,0.1744,0.9191,0.831,0.8715,0.809,0.2609,0.8303,0.7167,0.9038,0.5735
42,0.1737,0.9204,0.8407,0.8715,0.824,0.2574,0.8278,0.7167,0.8654,0.6029
43,0.1737,0.9191,0.8336,0.8615,0.8186,0.2677,0.8283,0.7083,0.9423,0.5294
44,0.1743,0.9178,0.831,0.8589,0.8158,0.2611,0.8272,0.7,0.9231,0.5294
45,0.1725,0.9216,0.831,0.8589,0.8158,0.2575,0.8266,0.7083,0.8462,0.6029
46,0.1692,0.9258,0.8381,0.8665,0.8226,0.2575,0.8272,0.7083,0.8462,0.6029
47,0.1725,0.9217,0.8363,0.8615,0.8226,0.2589,0.8272,0.7083,0.8654,0.5882
48,0.1711,0.9228,0.8257,0.8514,0.8117,0.2547,0.8269,0.725,0.8269,0.6471
49,0.1729,0.9204,0.8327,0.8741,0.8104,0.2539,0.8266,0.725,0.8077,0.6618
