Threshold,Accuracy,Sensitivity,Specificity
0,0.45,1,0
0.01,0.45,1,0
0.02,0.4667,1,0.0303
0.03,0.4917,1,0.0758
0.04,0.5083,1,0.1061
0.05,0.5667,1,0.2121
0.06,0.575,1,0.2273
0.07,0.5917,1,0.2576
0.08,0.6167,1,0.303
0.09,0.625,1,0.3182
0.1,0.6417,1,0.3485
0.11,0.65,1,0.3636
0.12,0.6667,1,0.3939
0.13,0.6833,1,0.4242
0.14,0.6917,1,0.4394
0.15,0.7083,1,0.4697
0.16,0.7333,1,0.5152
0.17,0.75,1,0.5455
0.18,0.7583,1,0.5606
0.19,0.7833,1,0.6061
0.2,0.7917,1,0.6212
0.21,0.7917,1,0.6212
0.22,0.7917,1,0.6212
0.23,0.8083,1,0.6515
0.24,0.8167,1,0.6667
0.25,0.825,1,0.6818
0.26,0.825,0.9815,0.697
0.27,0.8333,0.9815,0.7121
0.28,0.8417,0.9815,0.7273
0.29,0.8667,0.9815,0.7727
0.3,0.8667,0.9815,0.7727
0.31,0.8667,0.9815,0.7727
0.32,0.875,0.9815,0.7879
0.33,0.8833,0.9815,0.803
0.34,0.8833,0.9815,0.803
0.35,0.8833,0.9815,0.803
0.36,0.8917,0.9815,0.8182
0.37,0.9,0.9815,0.8333
0.38,0.9,0.9815,0.8333
0.39,0.9083,0.9815,0.8485
0.4,0.9083,0.9815,0.8485
0.41,0.9083,0.9815,0.8485
0.42,0.9083,0.9815,0.8485
0.43,0.9,0.963,0.8485
0.44,0.9083,0.963,0.8636
0.45,0.9083,0.963,0.8636
0.46,0.9,0.9444,0.8636
0.47,0.8833,0.9074,0.8636
0.48,0.8667,0.8704,0.8636
0.49,0.875,0.8704,0.8788
0.5,0.875,0.8704,0.8788
0.51,0.875,0.8704,0.8788
0.52,0.875,0.8704,0.8788
0.53,0.8667,0.8519,0.8788
0.54,0.8583,0.8333,0.8788
0.55,0.8583,0.8333,0.8788
0.56,0.8583,0.8333,0.8788
0.57,0.8667,0.8333,0.8939
0.58,0.8667,0.8148,0.9091
0.59,0.8583,0.7963,0.9091
0.6,0.8583,0.7963,0.9091
0.61,0.8583,0.7963,0.9091
0.62,0.8583,0.7963,0.9091
0.63,0.8667,0.7963,0.9242
0.64,0.8583,0.7778,0.9242
0.65,0.85,0.7593,0.9242
0.66,0.85,0.7593,0.9242
0.67,0.85,0.7593,0.9242
0.68,0.85,0.7593,0.9242
0.69,0.85,0.7593,0.9242
0.7,0.8583,0.7593,0.9394
0.71,0.8583,0.7593,0.9394
0.72,0.8583,0.7593,0.9394
0.73,0.8583,0.7593,0.9394
0.74,0.8667,0.7593,0.9545
0.75,0.8583,0.7407,0.9545
0.76,0.8333,0.6852,0.9545
0.77,0.825,0.6667,0.9545
0.78,0.8083,0.6296,0.9545
0.79,0.8083,0.6296,0.9545
0.8,0.8,0.6111,0.9545
0.81,0.8,0.6111,0.9545
0.82,0.8,0.6111,0.9545
0.83,0.8,0.5926,0.9697
0.84,0.8,0.5926,0.9697
0.85,0.8,0.5741,0.9848
0.86,0.7833,0.537,0.9848
0.87,0.7667,0.5,0.9848
0.88,0.7583,0.4815,0.9848
0.89,0.7417,0.4444,0.9848
0.9,0.7167,0.3889,0.9848
0.91,0.7167,0.3889,0.9848
0.92,0.7083,0.3519,1
0.93,0.675,0.2778,1
0.94,0.6667,0.2593,1
0.95,0.6333,0.1852,1
0.96,0.5917,0.0926,1
0.97,0.5833,0.0741,1
0.98,0.55,0,1
0.99,0.55,0,1
1,0.55,0,1
