Threshold,Accuracy,Sensitivity,Specificity
0,0.4333,1,0
0.01,0.4333,1,0
0.02,0.4333,1,0
0.03,0.45,1,0.0294
0.04,0.4583,1,0.0441
0.05,0.475,1,0.0735
0.06,0.4917,1,0.1029
0.07,0.4917,1,0.1029
0.08,0.5,1,0.1176
0.09,0.5083,1,0.1324
0.1,0.5083,1,0.1324
0.11,0.5167,1,0.1471
0.12,0.525,1,0.1618
0.13,0.5417,1,0.1912
0.14,0.5417,1,0.1912
0.15,0.55,1,0.2059
0.16,0.55,1,0.2059
0.17,0.5583,1,0.2206
0.18,0.5833,1,0.2647
0.19,0.6083,1,0.3088
0.2,0.6167,1,0.3235
0.21,0.625,1,0.3382
0.22,0.625,1,0.3382
0.23,0.6333,0.9808,0.3676
0.24,0.6417,0.9808,0.3824
0.25,0.6417,0.9615,0.3971
0.26,0.65,0.9615,0.4118
0.27,0.65,0.9423,0.4265
0.28,0.6417,0.9231,0.4265
0.29,0.65,0.9231,0.4412
0.3,0.65,0.9231,0.4412
0.31,0.65,0.9231,0.4412
0.32,0.65,0.9231,0.4412
0.33,0.65,0.9231,0.4412
0.34,0.65,0.9231,0.4412
0.35,0.65,0.9231,0.4412
0.36,0.65,0.9038,0.4559
0.37,0.65,0.9038,0.4559
0.38,0.6583,0.9038,0.4706
0.39,0.6667,0.9038,0.4853
0.4,0.6667,0.9038,0.4853
0.41,0.6833,0.9038,0.5147
0.42,0.7,0.9038,0.5441
0.43,0.7167,0.9038,0.5735
0.44,0.7417,0.8846,0.6324
0.45,0.75,0.8654,0.6618
0.46,0.7333,0.8269,0.6618
0.47,0.7417,0.8269,0.6765
0.48,0.7417,0.8077,0.6912
0.49,0.7583,0.8077,0.7206
0.5,0.7583,0.8077,0.7206
0.51,0.7583,0.8077,0.7206
0.52,0.7667,0.8077,0.7353
0.53,0.75,0.7692,0.7353
0.54,0.7583,0.7692,0.75
0.55,0.7417,0.7308,0.75
0.56,0.7417,0.7308,0.75
0.57,0.725,0.6923,0.75
0.58,0.725,0.6923,0.75
0.59,0.7333,0.6923,0.7647
0.6,0.7167,0.6346,0.7794
0.61,0.725,0.6154,0.8088
0.62,0.725,0.6154,0.8088
0.63,0.725,0.6154,0.8088
0.64,0.7417,0.5962,0.8529
0.65,0.7167,0.5385,0.8529
0.66,0.725,0.5385,0.8676
0.67,0.725,0.5385,0.8676
0.68,0.7167,0.5192,0.8676
0.69,0.7333,0.5192,0.8971
0.7,0.725,0.5,0.8971
0.71,0.725,0.4808,0.9118
0.72,0.7417,0.4808,0.9412
0.73,0.7333,0.4615,0.9412
0.74,0.7167,0.4038,0.9559
0.75,0.7,0.3654,0.9559
0.76,0.7,0.3654,0.9559
0.77,0.6833,0.3077,0.9706
0.78,0.6917,0.3077,0.9853
0.79,0.6833,0.2885,0.9853
0.8,0.675,0.2692,0.9853
0.81,0.6667,0.25,0.9853
0.82,0.6667,0.25,0.9853
0.83,0.6417,0.1923,0.9853
0.84,0.6333,0.1731,0.9853
0.85,0.625,0.1538,0.9853
0.86,0.625,0.1538,0.9853
0.87,0.6083,0.1154,0.9853
0.88,0.5917,0.0769,0.9853
0.89,0.5917,0.0769,0.9853
0.9,0.5833,0.0385,1
0.91,0.5833,0.0385,1
0.92,0.5833,0.0385,1
0.93,0.575,0.0192,1
0.94,0.5667,0,1
0.95,0.5667,0,1
0.96,0.5667,0,1
0.97,0.5667,0,1
0.98,0.5667,0,1
0.99,0.5667,0,1
1,0.5667,0,1
