Threshold,Accuracy,Sensitivity,Specificity
0.0,0.7917,1.0,0.0
0.01,0.7917,1.0,0.0
0.02,0.7917,1.0,0.0
0.03,0.8,1.0,0.04
0.04,0.8,1.0,0.04
0.05,0.825,0.9895,0.2
0.06,0.825,0.9895,0.2
0.07,0.8333,0.9895,0.24
0.08,0.8417,0.9895,0.28
0.09,0.8417,0.9895,0.28
0.1,0.8417,0.9895,0.28
0.11,0.8417,0.9895,0.28
0.12,0.8417,0.9789,0.32
0.13,0.85,0.9789,0.36
0.14,0.8583,0.9789,0.4
0.15,0.8583,0.9789,0.4
0.16,0.875,0.9789,0.48
0.17,0.8833,0.9789,0.52
0.18,0.8917,0.9789,0.56
0.19,0.8917,0.9789,0.56
0.2,0.8833,0.9684,0.56
0.21,0.9,0.9684,0.64
0.22,0.9083,0.9684,0.68
0.23,0.9083,0.9684,0.68
0.24,0.9083,0.9684,0.68
0.25,0.9,0.9579,0.68
0.26,0.9,0.9579,0.68
0.27,0.9,0.9579,0.68
0.28,0.8917,0.9474,0.68
0.29,0.9,0.9474,0.72
0.3,0.9,0.9474,0.72
0.31,0.8917,0.9368,0.72
0.32,0.8917,0.9368,0.72
0.33,0.8833,0.9263,0.72
0.34,0.8833,0.9263,0.72
0.35000000000000003,0.8833,0.9158,0.76
0.36,0.8917,0.9158,0.8
0.37,0.9083,0.9158,0.88
0.38,0.9083,0.9158,0.88
0.39,0.9083,0.9158,0.88
0.4,0.9083,0.9158,0.88
0.41000000000000003,0.9083,0.9158,0.88
0.42,0.9083,0.9158,0.88
0.43,0.9083,0.9158,0.88
0.44,0.9083,0.9158,0.88
0.45,0.9,0.9053,0.88
0.46,0.8917,0.8947,0.88
0.47000000000000003,0.8917,0.8947,0.88
0.48,0.8917,0.8947,0.88
0.49,0.8833,0.8842,0.88
0.5,0.875,0.8737,0.88
0.51,0.875,0.8737,0.88
0.52,0.875,0.8737,0.88
0.53,0.875,0.8737,0.88
0.54,0.8833,0.8737,0.92
0.55,0.8833,0.8737,0.92
0.56,0.8917,0.8737,0.96
0.5700000000000001,0.875,0.8526,0.96
0.58,0.875,0.8526,0.96
0.59,0.85,0.8211,0.96
0.6,0.8417,0.8105,0.96
0.61,0.8417,0.8105,0.96
0.62,0.8417,0.8105,0.96
0.63,0.8333,0.8,0.96
0.64,0.8417,0.8,1.0
0.65,0.8333,0.7895,1.0
0.66,0.825,0.7789,1.0
0.67,0.8167,0.7684,1.0
0.68,0.8167,0.7684,1.0
0.6900000000000001,0.7833,0.7263,1.0
0.7000000000000001,0.775,0.7158,1.0
0.71,0.775,0.7158,1.0
0.72,0.75,0.6842,1.0
0.73,0.7417,0.6737,1.0
0.74,0.7417,0.6737,1.0
0.75,0.7333,0.6632,1.0
0.76,0.7083,0.6316,1.0
0.77,0.6583,0.5684,1.0
0.78,0.65,0.5579,1.0
0.79,0.6417,0.5474,1.0
0.8,0.6333,0.5368,1.0
0.81,0.625,0.5263,1.0
0.8200000000000001,0.625,0.5263,1.0
0.8300000000000001,0.6,0.4947,1.0
0.84,0.5917,0.4842,1.0
0.85,0.575,0.4632,1.0
0.86,0.5417,0.4211,1.0
0.87,0.5333,0.4105,1.0
0.88,0.5,0.3684,1.0
0.89,0.4917,0.3579,1.0
0.9,0.4833,0.3474,1.0
0.91,0.4667,0.3263,1.0
0.92,0.4333,0.2842,1.0
0.93,0.4,0.2421,1.0
0.9400000000000001,0.3833,0.2211,1.0
0.9500000000000001,0.35,0.1789,1.0
0.96,0.325,0.1474,1.0
0.97,0.3,0.1158,1.0
0.98,0.25,0.0526,1.0
0.99,0.2083,0.0,1.0
1.0,0.2083,0.0,1.0
