Threshold,Accuracy,Sensitivity,Specificity
0.0,0.4333,1.0,0.0
0.01,0.4333,1.0,0.0
0.02,0.4417,1.0,0.0147
0.03,0.4417,1.0,0.0147
0.04,0.4417,1.0,0.0147
0.05,0.45,1.0,0.0294
0.06,0.4667,1.0,0.0588
0.07,0.4833,1.0,0.0882
0.08,0.4833,0.9808,0.1029
0.09,0.4917,0.9808,0.1176
0.1,0.5,0.9808,0.1324
0.11,0.5,0.9808,0.1324
0.12,0.5083,0.9808,0.1471
0.13,0.5083,0.9808,0.1471
0.14,0.5167,0.9808,0.1618
0.15,0.5167,0.9808,0.1618
0.16,0.525,0.9808,0.1765
0.17,0.5333,0.9808,0.1912
0.18,0.5417,0.9808,0.2059
0.19,0.5417,0.9808,0.2059
0.2,0.5417,0.9808,0.2059
0.21,0.5667,0.9808,0.25
0.22,0.5833,0.9808,0.2794
0.23,0.5917,0.9808,0.2941
0.24,0.6,0.9615,0.3235
0.25,0.6,0.9615,0.3235
0.26,0.6,0.9615,0.3235
0.27,0.6083,0.9615,0.3382
0.28,0.6167,0.9615,0.3529
0.29,0.6333,0.9615,0.3824
0.3,0.65,0.9615,0.4118
0.31,0.6583,0.9615,0.4265
0.32,0.6583,0.9231,0.4559
0.33,0.6667,0.9231,0.4706
0.34,0.6583,0.8846,0.4853
0.35000000000000003,0.6667,0.8846,0.5
0.36,0.675,0.8846,0.5147
0.37,0.6833,0.8846,0.5294
0.38,0.6833,0.8846,0.5294
0.39,0.6917,0.8846,0.5441
0.4,0.6917,0.8654,0.5588
0.41000000000000003,0.6917,0.8654,0.5588
0.42,0.7083,0.8654,0.5882
0.43,0.7083,0.8654,0.5882
0.44,0.7,0.8269,0.6029
0.45,0.6833,0.7885,0.6029
0.46,0.675,0.7692,0.6029
0.47000000000000003,0.6667,0.75,0.6029
0.48,0.6833,0.7308,0.6471
0.49,0.6833,0.7115,0.6618
0.5,0.6667,0.6731,0.6618
0.51,0.6667,0.6538,0.6765
0.52,0.6667,0.6538,0.6765
0.53,0.65,0.6154,0.6765
0.54,0.65,0.6154,0.6765
0.55,0.65,0.6154,0.6765
0.56,0.65,0.6154,0.6765
0.5700000000000001,0.6583,0.5962,0.7059
0.58,0.6667,0.5962,0.7206
0.59,0.6833,0.5769,0.7647
0.6,0.6667,0.5385,0.7647
0.61,0.6583,0.5192,0.7647
0.62,0.6667,0.5,0.7941
0.63,0.6667,0.5,0.7941
0.64,0.6667,0.4808,0.8088
0.65,0.6583,0.4615,0.8088
0.66,0.6667,0.4615,0.8235
0.67,0.675,0.4615,0.8382
0.68,0.6667,0.4423,0.8382
0.6900000000000001,0.675,0.4423,0.8529
0.7000000000000001,0.6833,0.4423,0.8676
0.71,0.675,0.4231,0.8676
0.72,0.6667,0.3846,0.8824
0.73,0.675,0.3846,0.8971
0.74,0.6833,0.3654,0.9265
0.75,0.6667,0.3269,0.9265
0.76,0.675,0.3269,0.9412
0.77,0.6583,0.2885,0.9412
0.78,0.6583,0.2885,0.9412
0.79,0.6583,0.2885,0.9412
0.8,0.65,0.2692,0.9412
0.81,0.65,0.2692,0.9412
0.8200000000000001,0.65,0.2692,0.9412
0.8300000000000001,0.6417,0.2308,0.9559
0.84,0.6333,0.2115,0.9559
0.85,0.6167,0.1731,0.9559
0.86,0.6083,0.1538,0.9559
0.87,0.6083,0.1538,0.9559
0.88,0.6083,0.1538,0.9559
0.89,0.6,0.1154,0.9706
0.9,0.6,0.1154,0.9706
0.91,0.5917,0.0769,0.9853
0.92,0.5917,0.0577,1.0
0.93,0.575,0.0192,1.0
0.9400000000000001,0.575,0.0192,1.0
0.9500000000000001,0.5667,0.0,1.0
0.96,0.5667,0.0,1.0
0.97,0.5667,0.0,1.0
0.98,0.5667,0.0,1.0
0.99,0.5667,0.0,1.0
1.0,0.5667,0.0,1.0
