FPR,TPR,Threshold
0.0,0.0,1.9891722202301025
0.0,0.0005263157894736842,0.9891722202301025
0.0,0.01,0.985081672668457
0.0,0.011052631578947368,0.9850471019744873
0.0,0.21263157894736842,0.9078495502471924
0.002,0.21263157894736842,0.9068763256072998
0.002,0.26473684210526316,0.8755318522453308
0.004,0.26473684210526316,0.8754824995994568
0.004,0.27263157894736845,0.8719253540039062
0.006,0.27263157894736845,0.8719191551208496
0.006,0.2731578947368421,0.8717782497406006
0.008,0.2731578947368421,0.871647298336029
0.008,0.2736842105263158,0.8715072274208069
0.012,0.2736842105263158,0.8714123964309692
0.012,0.2768421052631579,0.8704217076301575
0.014,0.2768421052631579,0.8703368902206421
0.014,0.2773684210526316,0.8702495098114014
0.016,0.2773684210526316,0.8702400326728821
0.016,0.2789473684210526,0.8697861433029175
0.018,0.2789473684210526,0.8696629405021667
0.018,0.29210526315789476,0.8635498881340027
0.02,0.29210526315789476,0.8634093403816223
0.02,0.2942105263157895,0.8630678057670593
0.022,0.2942105263157895,0.8628748655319214
0.022,0.2963157894736842,0.8616294860839844
0.024,0.2963157894736842,0.861535370349884
0.024,0.2984210526315789,0.8608147501945496
0.026,0.2984210526315789,0.8605858683586121
0.026,0.30105263157894735,0.8579772114753723
0.028,0.30105263157894735,0.85780930519104
0.028,0.3068421052631579,0.8565835952758789
0.03,0.3068421052631579,0.8561704158782959
0.03,0.3121052631578947,0.8549885153770447
0.032,0.3121052631578947,0.8549726605415344
0.032,0.32526315789473687,0.8501954674720764
0.034,0.32526315789473687,0.8498761057853699
0.034,0.33210526315789474,0.8463925123214722
0.036,0.33210526315789474,0.8459632396697998
0.036,0.3368421052631579,0.8450172543525696
0.038,0.3368421052631579,0.8448954224586487
0.038,0.33842105263157896,0.8441162705421448
0.04,0.33842105263157896,0.843967854976654
0.04,0.5531578947368421,0.7303903102874756
0.042,0.5531578947368421,0.7303350567817688
0.042,0.5731578947368421,0.7122620344161987
0.044,0.5731578947368421,0.7117183804512024
0.044,0.5826315789473684,0.7026694416999817
0.046,0.5826315789473684,0.7024053335189819
0.046,0.5831578947368421,0.7020176649093628
0.048,0.5831578947368421,0.7014220952987671
0.048,0.5836842105263158,0.7013582587242126
0.052,0.5836842105263158,0.7006645798683167
0.052,0.5847368421052631,0.6995928287506104
0.056,0.5847368421052631,0.6981473565101624
0.056,0.5852631578947368,0.6976944208145142
0.058,0.5852631578947368,0.6972987055778503
0.058,0.598421052631579,0.6804174184799194
0.06,0.598421052631579,0.6800712943077087
0.06,0.6094736842105263,0.6696022152900696
0.062,0.6094736842105263,0.6685402393341064
0.062,0.618421052631579,0.6597709655761719
0.064,0.618421052631579,0.6583209037780762
0.064,0.621578947368421,0.6542873978614807
0.066,0.621578947368421,0.6542669534683228
0.066,0.6257894736842106,0.6475740671157837
0.068,0.6257894736842106,0.6470323801040649
0.068,0.6273684210526316,0.645480215549469
0.072,0.6273684210526316,0.6423577070236206
0.072,0.6305263157894737,0.6409765481948853
0.074,0.6305263157894737,0.6406566500663757
0.074,0.6368421052631579,0.6356297135353088
0.076,0.6368421052631579,0.6355708241462708
0.076,0.64,0.6334006190299988
0.078,0.64,0.633324146270752
0.078,0.6405263157894737,0.6332143545150757
0.08,0.6405263157894737,0.633202075958252
0.08,0.6431578947368422,0.6309871673583984
