epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.2065,0.575,0.5708,0.5192,0.5824,0.3217,0.7298,0.5833,0.8889,0.3333
1,0.1943,0.6767,0.6327,0.6394,0.6312,0.3128,0.7629,0.6917,0.3889,0.9394
2,0.1845,0.7203,0.6628,0.6587,0.6638,0.2812,0.7974,0.7417,0.6667,0.803
3,0.1756,0.7624,0.6858,0.6923,0.6844,0.2734,0.812,0.7417,0.6481,0.8182
4,0.166,0.791,0.7292,0.7019,0.7354,0.2573,0.8434,0.7583,0.7037,0.803
5,0.1562,0.8283,0.7531,0.7356,0.757,0.2392,0.8707,0.7833,0.7963,0.7727
6,0.1478,0.8498,0.777,0.7837,0.7755,0.2508,0.8735,0.7,0.8704,0.5606
7,0.1455,0.8518,0.7743,0.7788,0.7733,0.2411,0.9001,0.7167,0.9259,0.5455
8,0.1432,0.8568,0.7708,0.7837,0.7679,0.2404,0.8883,0.7833,0.5926,0.9394
9,0.1401,0.8663,0.7965,0.7788,0.8004,0.2088,0.9021,0.8333,0.8519,0.8182
10,0.1366,0.8718,0.8053,0.7981,0.8069,0.2132,0.8942,0.8583,0.7778,0.9242
11,0.1309,0.8874,0.8177,0.8269,0.8156,0.2343,0.9147,0.8,0.6111,0.9545
12,0.1319,0.8815,0.8,0.7933,0.8015,0.2047,0.9071,0.8667,0.8333,0.8939
13,0.1305,0.8807,0.8,0.774,0.8059,0.2829,0.9164,0.625,0.963,0.3485
14,0.131,0.8858,0.808,0.8077,0.808,0.2042,0.9172,0.8083,0.6852,0.9091
15,0.1259,0.8948,0.8018,0.8029,0.8015,0.2021,0.9141,0.8417,0.7778,0.8939
16,0.1229,0.9015,0.8248,0.8077,0.8286,0.2169,0.9108,0.8083,0.6481,0.9394
17,0.1241,0.8995,0.8204,0.8269,0.8189,0.1997,0.9116,0.8583,0.8704,0.8485
18,0.125,0.8965,0.8274,0.8413,0.8243,0.2061,0.9181,0.8167,0.9074,0.7424
19,0.1165,0.9157,0.8434,0.8462,0.8427,0.1905,0.9203,0.8417,0.8889,0.803
20,0.1206,0.905,0.8168,0.7885,0.8232,0.1929,0.9139,0.825,0.8148,0.8333
21,0.1202,0.9054,0.8345,0.8606,0.8286,0.2296,0.913,0.7917,0.963,0.6515
22,0.1223,0.9021,0.823,0.8221,0.8232,0.2102,0.9088,0.8,0.9259,0.697
23,0.1241,0.8979,0.8168,0.8413,0.8113,0.2156,0.9172,0.8083,0.963,0.6818
24,0.121,0.9041,0.8274,0.8077,0.8319,0.1997,0.922,0.825,0.9444,0.7273
25,0.1197,0.9089,0.8372,0.851,0.8341,0.196,0.915,0.8333,0.8148,0.8485
26,0.1101,0.9276,0.846,0.8269,0.8503,0.1917,0.9169,0.8583,0.8704,0.8485
27,0.1082,0.931,0.8487,0.8462,0.8492,0.1972,0.9144,0.8333,0.9259,0.7576
28,0.1076,0.9302,0.8504,0.851,0.8503,0.2278,0.9091,0.7833,0.963,0.6364
29,0.1078,0.9288,0.8513,0.851,0.8514,0.1919,0.9111,0.825,0.8333,0.8182
30,0.1069,0.9305,0.8575,0.8702,0.8547,0.1932,0.9116,0.8167,0.8333,0.803
31,0.1077,0.9303,0.8522,0.8365,0.8557,0.1951,0.9108,0.8167,0.8519,0.7879
32,0.1041,0.9368,0.8664,0.875,0.8644,0.2012,0.9094,0.825,0.9074,0.7576
33,0.102,0.9418,0.8584,0.8798,0.8536,0.1958,0.9074,0.825,0.8333,0.8182
34,0.1009,0.9426,0.8646,0.8462,0.8688,0.195,0.9071,0.825,0.8333,0.8182
35,0.1007,0.9428,0.8611,0.8702,0.859,0.1958,0.9057,0.825,0.8148,0.8333
36,0.101,0.9437,0.869,0.8654,0.8698,0.1963,0.9102,0.825,0.8889,0.7727
37,0.1021,0.9397,0.8602,0.8654,0.859,0.1941,0.9085,0.8167,0.8333,0.803
38,0.097,0.9503,0.8788,0.8798,0.8785,0.1945,0.9088,0.8083,0.8333,0.7879
39,0.099,0.9453,0.8619,0.851,0.8644,0.1951,0.9071,0.8083,0.8333,0.7879
40,0.0995,0.9442,0.8681,0.8798,0.8655,0.1947,0.9066,0.825,0.8148,0.8333
41,0.0995,0.946,0.8752,0.8894,0.872,0.1951,0.906,0.8167,0.8148,0.8182
42,0.1002,0.9424,0.8743,0.8702,0.8753,0.1942,0.9074,0.8167,0.8519,0.7879
43,0.1019,0.9403,0.8628,0.8702,0.8612,0.1948,0.9063,0.8167,0.8333,0.803
44,0.0968,0.9485,0.8788,0.9087,0.872,0.1946,0.9066,0.8167,0.8333,0.803
45,0.1002,0.9434,0.8646,0.851,0.8677,0.1946,0.9066,0.8167,0.8519,0.7879
46,0.0994,0.9449,0.8743,0.8846,0.872,0.1945,0.9068,0.8167,0.8519,0.7879
47,0.102,0.9403,0.8717,0.875,0.8709,0.1944,0.9068,0.8167,0.8519,0.7879
48,0.1,0.944,0.8673,0.8846,0.8633,0.1944,0.9063,0.8167,0.8333,0.803
49,0.098,0.9486,0.8743,0.875,0.8742,0.1946,0.9063,0.8167,0.8333,0.803
