Threshold,Accuracy,Sensitivity,Specificity
0.0,0.7917,1.0,0.0
0.01,0.7917,1.0,0.0
0.02,0.7917,1.0,0.0
0.03,0.8083,1.0,0.08
0.04,0.8083,1.0,0.08
0.05,0.8083,1.0,0.08
0.06,0.8167,1.0,0.12
0.07,0.825,1.0,0.16
0.08,0.8167,0.9895,0.16
0.09,0.8167,0.9789,0.2
0.1,0.8167,0.9684,0.24
0.11,0.825,0.9684,0.28
0.12,0.825,0.9684,0.28
0.13,0.825,0.9684,0.28
0.14,0.8333,0.9684,0.32
0.15,0.825,0.9579,0.32
0.16,0.825,0.9579,0.32
0.17,0.825,0.9579,0.32
0.18,0.825,0.9579,0.32
0.19,0.825,0.9579,0.32
0.2,0.8333,0.9579,0.36
0.21,0.8333,0.9579,0.36
0.22,0.8417,0.9579,0.4
0.23,0.8417,0.9579,0.4
0.24,0.8333,0.9474,0.4
0.25,0.8333,0.9474,0.4
0.26,0.8417,0.9474,0.44
0.27,0.8417,0.9474,0.44
0.28,0.8417,0.9474,0.44
0.29,0.85,0.9474,0.48
0.3,0.85,0.9474,0.48
0.31,0.8583,0.9474,0.52
0.32,0.8583,0.9474,0.52
0.33,0.85,0.9368,0.52
0.34,0.85,0.9368,0.52
0.35000000000000003,0.8417,0.9263,0.52
0.36,0.8667,0.9263,0.64
0.37,0.8583,0.9158,0.64
0.38,0.8667,0.9158,0.68
0.39,0.8667,0.9158,0.68
0.4,0.8667,0.9158,0.68
0.41000000000000003,0.8667,0.9158,0.68
0.42,0.8583,0.9053,0.68
0.43,0.8583,0.8947,0.72
0.44,0.8583,0.8947,0.72
0.45,0.8417,0.8737,0.72
0.46,0.8333,0.8632,0.72
0.47000000000000003,0.8333,0.8632,0.72
0.48,0.8167,0.8421,0.72
0.49,0.8167,0.8316,0.76
0.5,0.8167,0.8316,0.76
0.51,0.8167,0.8316,0.76
0.52,0.8167,0.8316,0.76
0.53,0.8167,0.8316,0.76
0.54,0.8167,0.8316,0.76
0.55,0.8,0.8105,0.76
0.56,0.7917,0.8,0.76
0.5700000000000001,0.7917,0.8,0.76
0.58,0.7917,0.8,0.76
0.59,0.7917,0.7895,0.8
0.6,0.7833,0.7684,0.84
0.61,0.7833,0.7684,0.84
0.62,0.7833,0.7684,0.84
0.63,0.7833,0.7684,0.84
0.64,0.775,0.7579,0.84
0.65,0.775,0.7474,0.88
0.66,0.7667,0.7368,0.88
0.67,0.7583,0.7263,0.88
0.68,0.7417,0.7053,0.88
0.6900000000000001,0.725,0.6842,0.88
0.7000000000000001,0.7167,0.6737,0.88
0.71,0.7167,0.6737,0.88
0.72,0.725,0.6737,0.92
0.73,0.7083,0.6526,0.92
0.74,0.7167,0.6526,0.96
0.75,0.6917,0.6211,0.96
0.76,0.6833,0.6105,0.96
0.77,0.6833,0.6105,0.96
0.78,0.6667,0.5895,0.96
0.79,0.6583,0.5789,0.96
0.8,0.65,0.5684,0.96
0.81,0.6333,0.5474,0.96
0.8200000000000001,0.6333,0.5474,0.96
0.8300000000000001,0.6083,0.5158,0.96
0.84,0.575,0.4737,0.96
0.85,0.5667,0.4632,0.96
0.86,0.5333,0.4211,0.96
0.87,0.525,0.4105,0.96
0.88,0.5,0.3789,0.96
0.89,0.4833,0.3579,0.96
0.9,0.475,0.3474,0.96
0.91,0.4417,0.2947,1.0
0.92,0.4083,0.2526,1.0
0.93,0.3833,0.2211,1.0
0.9400000000000001,0.3833,0.2211,1.0
0.9500000000000001,0.3583,0.1895,1.0
0.96,0.3417,0.1684,1.0
0.97,0.275,0.0842,1.0
0.98,0.2583,0.0632,1.0
0.99,0.2083,0.0,1.0
1.0,0.2083,0.0,1.0
