Threshold,Accuracy,Sensitivity,Specificity,,Threshold,Accuracy,Sensitivity,Specificity
0,0.7917,1,0,,0,0.7917,1,0
0.01,0.7917,1,0,,0.01,0.8083,1,0.08
0.02,0.7917,1,0,,0.02,0.8167,1,0.12
0.03,0.7917,1,0,,0.03,0.8333,1,0.2
0.04,0.8083,1,0.08,,0.04,0.8417,1,0.24
0.05,0.8083,1,0.08,,0.05,0.8417,1,0.24
0.06,0.8167,1,0.12,,0.06,0.8583,1,0.32
0.07,0.8167,1,0.12,,0.07,0.8667,1,0.36
0.08,0.825,1,0.16,,0.08,0.875,1,0.4
0.09,0.8333,1,0.2,,0.09,0.875,1,0.4
0.1,0.8333,1,0.2,,0.1,0.8917,1,0.48
0.11,0.8333,1,0.2,,0.11,0.8917,1,0.48
0.12,0.8333,1,0.2,,0.12,0.8917,1,0.48
0.13,0.8333,1,0.2,,0.13,0.8833,0.9895,0.48
0.14,0.8333,1,0.2,,0.14,0.8917,0.9895,0.52
0.15,0.8417,1,0.24,,0.15,0.9083,0.9895,0.6
0.16,0.8417,1,0.24,,0.16,0.9167,0.9789,0.68
0.17,0.85,1,0.28,,0.17,0.9,0.9579,0.68
0.18,0.85,1,0.28,,0.18,0.9,0.9579,0.68
0.19,0.85,1,0.28,,0.19,0.9083,0.9579,0.72
0.2,0.85,1,0.28,,0.2,0.9083,0.9579,0.72
0.21,0.8667,1,0.36,,0.21,0.9083,0.9579,0.72
0.22,0.8667,0.9895,0.4,,0.22,0.9,0.9474,0.72
0.23,0.875,0.9895,0.44,,0.23,0.9,0.9474,0.72
0.24,0.875,0.9895,0.44,,0.24,0.9,0.9474,0.72
0.25,0.875,0.9895,0.44,,0.25,0.9,0.9474,0.72
0.26,0.875,0.9789,0.48,,0.26,0.8917,0.9368,0.72
0.27,0.8833,0.9789,0.52,,0.27,0.9,0.9368,0.76
0.28,0.875,0.9684,0.52,,0.28,0.8917,0.9263,0.76
0.29,0.8833,0.9684,0.56,,0.29,0.8917,0.9263,0.76
0.3,0.8833,0.9684,0.56,,0.3,0.8917,0.9263,0.76
0.31,0.9,0.9684,0.64,,0.31,0.8917,0.9263,0.76
0.32,0.9,0.9684,0.64,,0.32,0.9,0.9263,0.8
0.33,0.9,0.9684,0.64,,0.33,0.9,0.9263,0.8
0.34,0.9,0.9684,0.64,,0.34,0.9,0.9263,0.8
0.35,0.8917,0.9579,0.64,,0.35,0.9,0.9263,0.8
0.36,0.8833,0.9474,0.64,,0.36,0.9,0.9263,0.8
0.37,0.8833,0.9474,0.64,,0.37,0.9,0.9263,0.8
0.38,0.8917,0.9474,0.68,,0.38,0.9,0.9263,0.8
0.39,0.8917,0.9474,0.68,,0.39,0.9,0.9263,0.8
0.4,0.8917,0.9474,0.68,,0.4,0.9,0.9263,0.8
0.41,0.8833,0.9368,0.68,,0.41,0.9,0.9263,0.8
0.42,0.8917,0.9368,0.72,,0.42,0.9083,0.9263,0.84
0.43,0.8917,0.9368,0.72,,0.43,0.9,0.9158,0.84
0.44,0.8917,0.9368,0.72,,0.44,0.8917,0.9053,0.84
0.45,0.8917,0.9368,0.72,,0.45,0.9,0.9053,0.88
0.46,0.8917,0.9368,0.72,,0.46,0.9,0.9053,0.88
0.47,0.8917,0.9368,0.72,,0.47,0.9,0.9053,0.88
0.48,0.8917,0.9368,0.72,,0.48,0.9,0.9053,0.88
0.49,0.9,0.9368,0.76,,0.49,0.9,0.9053,0.88
0.5,0.9,0.9368,0.76,,0.5,0.9,0.9053,0.88
0.51,0.9083,0.9368,0.8,,0.51,0.9,0.9053,0.88
0.52,0.9083,0.9368,0.8,,0.52,0.9,0.9053,0.88
0.53,0.9083,0.9368,0.8,,0.53,0.9,0.9053,0.88
0.54,0.9083,0.9368,0.8,,0.54,0.8917,0.8947,0.88
0.55,0.9083,0.9263,0.84,,0.55,0.9,0.8947,0.92
0.56,0.9083,0.9263,0.84,,0.56,0.8917,0.8842,0.92
0.57,0.9083,0.9263,0.84,,0.57,0.8833,0.8737,0.92
0.58,0.9083,0.9263,0.84,,0.58,0.8833,0.8737,0.92
0.59,0.9083,0.9263,0.84,,0.59,0.8833,0.8737,0.92
0.6,0.9083,0.9263,0.84,,0.6,0.8833,0.8737,0.92
0.61,0.9083,0.9263,0.84,,0.61,0.8833,0.8737,0.92
0.62,0.9083,0.9263,0.84,,0.62,0.8833,0.8737,0.92
0.63,0.9083,0.9263,0.84,,0.63,0.875,0.8632,0.92
