Threshold,Accuracy,Sensitivity,Specificity,,Threshold,Accuracy,Sensitivity,Specificity
0,0.45,1,0,,0,0.45,1,0
0.01,0.45,1,0,,0.01,0.45,1,0
0.02,0.45,1,0,,0.02,0.45,1,0
0.03,0.45,1,0,,0.03,0.4583,1,0.0152
0.04,0.4583,1,0.0152,,0.04,0.475,1,0.0455
0.05,0.4667,1,0.0303,,0.05,0.475,1,0.0455
0.06,0.475,1,0.0455,,0.06,0.475,1,0.0455
0.07,0.475,1,0.0455,,0.07,0.5,1,0.0909
0.08,0.475,1,0.0455,,0.08,0.5083,1,0.1061
0.09,0.4917,1,0.0758,,0.09,0.5083,1,0.1061
0.1,0.5,1,0.0909,,0.1,0.5167,1,0.1212
0.11,0.5083,1,0.1061,,0.11,0.525,1,0.1364
0.12,0.5083,1,0.1061,,0.12,0.5417,1,0.1667
0.13,0.5167,1,0.1212,,0.13,0.55,1,0.1818
0.14,0.5167,1,0.1212,,0.14,0.55,0.9815,0.197
0.15,0.525,1,0.1364,,0.15,0.575,0.9815,0.2424
0.16,0.525,1,0.1364,,0.16,0.6,0.9815,0.2879
0.17,0.5333,1,0.1515,,0.17,0.6167,0.9815,0.3182
0.18,0.5583,1,0.197,,0.18,0.625,0.9815,0.3333
0.19,0.55,0.9815,0.197,,0.19,0.6333,0.9815,0.3485
0.2,0.5583,0.9815,0.2121,,0.2,0.6667,0.9815,0.4091
0.21,0.5667,0.9815,0.2273,,0.21,0.7,0.9815,0.4697
0.22,0.575,0.9815,0.2424,,0.22,0.7083,0.9815,0.4848
0.23,0.6083,0.9815,0.303,,0.23,0.725,0.9815,0.5152
0.24,0.6167,0.9815,0.3182,,0.24,0.7167,0.963,0.5152
0.25,0.6333,0.9815,0.3485,,0.25,0.7333,0.963,0.5455
0.26,0.6333,0.9815,0.3485,,0.26,0.7417,0.963,0.5606
0.27,0.6667,0.9815,0.4091,,0.27,0.7583,0.963,0.5909
0.28,0.6917,0.9815,0.4545,,0.28,0.7583,0.963,0.5909
0.29,0.7083,0.9815,0.4848,,0.29,0.7583,0.963,0.5909
0.3,0.7083,0.9815,0.4848,,0.3,0.7667,0.963,0.6061
0.31,0.7167,0.963,0.5152,,0.31,0.7833,0.963,0.6364
0.32,0.725,0.963,0.5303,,0.32,0.775,0.9444,0.6364
0.33,0.725,0.963,0.5303,,0.33,0.7833,0.9444,0.6515
0.34,0.725,0.963,0.5303,,0.34,0.8,0.9444,0.6818
0.35,0.7417,0.963,0.5606,,0.35,0.8,0.9444,0.6818
0.36,0.75,0.963,0.5758,,0.36,0.8083,0.9444,0.697
0.37,0.7583,0.963,0.5909,,0.37,0.8167,0.9444,0.7121
0.38,0.7667,0.963,0.6061,,0.38,0.825,0.9444,0.7273
0.39,0.7667,0.963,0.6061,,0.39,0.85,0.9444,0.7727
0.4,0.775,0.963,0.6212,,0.4,0.85,0.9444,0.7727
0.41,0.775,0.963,0.6212,,0.41,0.85,0.9444,0.7727
0.42,0.775,0.963,0.6212,,0.42,0.85,0.9259,0.7879
0.43,0.7917,0.9444,0.6667,,0.43,0.8333,0.8889,0.7879
0.44,0.8,0.9444,0.6818,,0.44,0.8333,0.8889,0.7879
0.45,0.8083,0.9444,0.697,,0.45,0.85,0.8889,0.8182
0.46,0.8167,0.9444,0.7121,,0.46,0.8583,0.8889,0.8333
0.47,0.8167,0.9444,0.7121,,0.47,0.85,0.8704,0.8333
0.48,0.825,0.9444,0.7273,,0.48,0.85,0.8704,0.8333
0.49,0.825,0.9444,0.7273,,0.49,0.8417,0.8519,0.8333
0.5,0.825,0.9444,0.7273,,0.5,0.8417,0.8519,0.8333
0.51,0.8417,0.9444,0.7576,,0.51,0.8417,0.8519,0.8333
0.52,0.85,0.9444,0.7727,,0.52,0.8583,0.8519,0.8636
0.53,0.8417,0.9259,0.7727,,0.53,0.8667,0.8519,0.8788
0.54,0.8583,0.9259,0.803,,0.54,0.8583,0.8333,0.8788
0.55,0.8667,0.9074,0.8333,,0.55,0.8583,0.8333,0.8788
0.56,0.8583,0.8889,0.8333,,0.56,0.85,0.8148,0.8788
0.57,0.85,0.8704,0.8333,,0.57,0.85,0.8148,0.8788
0.58,0.85,0.8704,0.8333,,0.58,0.85,0.7963,0.8939
0.59,0.8417,0.8519,0.8333,,0.59,0.8417,0.7778,0.8939
0.6,0.8417,0.8519,0.8333,,0.6,0.8417,0.7778,0.8939
0.61,0.8417,0.8519,0.8333,,0.61,0.85,0.7778,0.9091
0.62,0.85,0.8519,0.8485,,0.62,0.85,0.7593,0.9242
0.63,0.85,0.8519,0.8485,,0.63,0.8417,0.7407,0.9242
0.64,0.8583,0.8519,0.8636,,0.64,0.8333,0.7222,0.9242
0.65,0.85,0.8333,0.8636,,0.65,0.8333,0.7222,0.9242
0.66,0.85,0.8148,0.8788,,0.66,0.8417,0.7222,0.9394
0.67,0.85,0.7963,0.8939,,0.67,0.8417,0.7222,0.9394
0.68,0.85,0.7963,0.8939,,0.68,0.8417,0.7222,0.9394
0.69,0.85,0.7963,0.8939,,0.69,0.825,0.6852,0.9394
