epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.2874,0.7485,0.6866,0.6818,0.6889,0.2498,0.8331,0.7583,0.8077,0.7206,0.3076,0.7965,0.7353,0.7667,0.7105
1,0.2752,0.8488,0.7612,0.913,0.6818,0.2498,0.8329,0.7583,0.8077,0.7206,0.3193,0.703,0.6471,0.6364,0.6571
2,0.2419,0.8436,0.806,0.5333,0.8846,0.2535,0.8272,0.725,0.6923,0.75,0.3146,0.7628,0.6765,0.6061,0.7429
3,0.2634,0.8644,0.791,0.4286,0.9565,0.2548,0.8266,0.7333,0.6731,0.7794,0.2999,0.8158,0.75,0.6333,0.8421
4,0.2954,0.7055,0.7463,0.5217,0.8636,0.2512,0.8278,0.75,0.75,0.75,0.3116,0.742,0.7353,0.7857,0.7
5,0.2982,0.7213,0.6567,0.6296,0.675,0.2505,0.8329,0.7667,0.8269,0.7206,0.3047,0.7925,0.6912,0.875,0.5278
6,0.2701,0.7676,0.6866,0.7222,0.6735,0.2521,0.8283,0.75,0.7308,0.7647,0.2947,0.857,0.7794,0.6667,0.8684
7,0.2816,0.8964,0.7761,0.6667,0.8649,0.2506,0.8286,0.7417,0.7308,0.75,0.3099,0.7684,0.7353,0.7,0.7632
8,0.2946,0.7995,0.7313,0.6207,0.8158,0.2499,0.8286,0.7583,0.7885,0.7353,0.2975,0.8351,0.75,0.9333,0.6053
9,0.2825,0.8302,0.7761,0.7308,0.8049,0.2498,0.8281,0.7667,0.8269,0.7206,0.3117,0.7483,0.7059,0.8438,0.5833
10,0.284,0.7871,0.7015,0.6538,0.7317,0.25,0.8278,0.775,0.8462,0.7206,0.3073,0.7772,0.7353,0.8621,0.641
11,0.2986,0.7781,0.6866,0.8529,0.5152,0.251,0.8275,0.7583,0.8462,0.6912,0.3107,0.7796,0.5294,0.8889,0.2927
12,0.2706,0.8804,0.6418,0.913,0.5,0.2504,0.8275,0.7583,0.8462,0.6912,0.3017,0.7977,0.5882,0.8148,0.439
13,0.2828,0.7952,0.6567,0.84,0.5476,0.2504,0.8275,0.7583,0.8462,0.6912,0.2932,0.8559,0.6471,0.9375,0.3889
14,0.2782,0.8306,0.7612,0.8214,0.7179,0.2505,0.8275,0.7583,0.8462,0.6912,0.299,0.8179,0.6324,0.8929,0.45
15,0.2587,0.8996,0.7164,0.9048,0.6304,0.2503,0.8281,0.7583,0.8462,0.6912,0.3051,0.7778,0.5882,0.8148,0.439
16,0.259,0.8899,0.6716,0.9091,0.5556,0.2501,0.8275,0.7667,0.8462,0.7059,0.3203,0.6892,0.5882,0.8125,0.3889
17,0.2844,0.7955,0.6567,0.875,0.5349,0.25,0.8278,0.7667,0.8462,0.7059,0.3228,0.6861,0.5588,0.8276,0.359
18,0.2744,0.8159,0.6866,0.7917,0.6279,0.25,0.8275,0.7667,0.8462,0.7059,0.3069,0.7706,0.6618,0.8182,0.5143
19,0.2806,0.8415,0.7612,0.8846,0.6829,0.25,0.8275,0.7667,0.8462,0.7059,0.3096,0.7563,0.6324,0.8214,0.5
