epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.1899,0.7187,0.6673,0.6824,0.6037,0.2363,0.7709,0.8083,0.9263,0.36
1,0.157,0.8346,0.7646,0.7645,0.765,0.172,0.8451,0.8167,0.8842,0.56
2,0.1416,0.8656,0.7823,0.7755,0.8111,0.1841,0.8846,0.825,0.9158,0.48
3,0.132,0.8842,0.7982,0.793,0.8203,0.1412,0.9107,0.8667,0.9158,0.68
4,0.1269,0.8934,0.8044,0.7996,0.8249,0.1417,0.9255,0.8583,0.9263,0.6
5,0.1238,0.8991,0.7973,0.782,0.8618,0.1424,0.9213,0.8583,0.9368,0.56
6,0.1196,0.9053,0.8159,0.8072,0.8525,0.1593,0.9221,0.8667,0.9579,0.52
7,0.1122,0.9178,0.8327,0.8193,0.8894,0.2353,0.9171,0.8583,0.9789,0.4
8,0.1179,0.9051,0.8097,0.7919,0.8848,0.1605,0.9204,0.8667,0.9474,0.56
9,0.1175,0.9079,0.8142,0.8039,0.8571,0.1347,0.9301,0.8583,0.9263,0.6
10,0.1138,0.9148,0.8186,0.8072,0.8664,0.1703,0.9284,0.8667,0.9684,0.48
11,0.111,0.9185,0.8186,0.8061,0.871,0.1247,0.9406,0.875,0.9263,0.68
12,0.1073,0.9229,0.8389,0.8291,0.8802,0.1314,0.9229,0.8667,0.9053,0.72
13,0.1128,0.9149,0.8239,0.8138,0.8664,0.1183,0.9503,0.8833,0.9368,0.68
14,0.1081,0.9227,0.8336,0.8226,0.8802,0.1276,0.9415,0.8833,0.9474,0.64
15,0.1062,0.9261,0.8363,0.8226,0.894,0.1038,0.9482,0.875,0.8842,0.84
16,0.103,0.932,0.8425,0.8324,0.8848,0.1579,0.9469,0.875,0.9579,0.56
17,0.1056,0.9277,0.8478,0.8324,0.9124,0.1202,0.9469,0.8833,0.9368,0.68
18,0.1046,0.9273,0.8558,0.8357,0.9401,0.1014,0.9554,0.875,0.8737,0.88
19,0.1049,0.9284,0.8363,0.8215,0.8986,0.1346,0.9301,0.8833,0.9474,0.64
20,0.1026,0.9307,0.8363,0.8204,0.9032,0.113,0.9554,0.8833,0.9263,0.72
21,0.1019,0.9309,0.8451,0.828,0.9171,0.1751,0.9314,0.8583,0.9684,0.44
22,0.104,0.9299,0.8407,0.8335,0.871,0.1016,0.952,0.8833,0.8842,0.88
23,0.103,0.9304,0.8442,0.828,0.9124,0.1079,0.9503,0.8917,0.9158,0.8
24,0.1025,0.9323,0.8442,0.8335,0.8894,0.161,0.9381,0.875,0.9684,0.52
25,0.094,0.9439,0.8566,0.8412,0.9217,0.1241,0.9495,0.8833,0.9474,0.64
26,0.0923,0.9458,0.8655,0.8543,0.9124,0.1006,0.9478,0.8917,0.9053,0.84
27,0.0916,0.9474,0.8628,0.8488,0.9217,0.1067,0.9549,0.8917,0.9263,0.76
28,0.0907,0.9483,0.8637,0.8521,0.9124,0.1044,0.9512,0.8917,0.9263,0.76
29,0.0901,0.9487,0.8655,0.8532,0.9171,0.11,0.9528,0.8833,0.9368,0.68
30,0.088,0.9514,0.8619,0.8478,0.9217,0.1096,0.9507,0.8917,0.9263,0.76
31,0.0918,0.9459,0.8637,0.8499,0.9217,0.1006,0.9507,0.8917,0.9053,0.84
32,0.095,0.9437,0.8531,0.8412,0.9032,0.1372,0.9503,0.875,0.9579,0.56
33,0.087,0.9528,0.877,0.8609,0.9447,0.1104,0.9499,0.8833,0.9263,0.72
34,0.087,0.9525,0.8735,0.8576,0.9401,0.1442,0.9478,0.8833,0.9684,0.56
35,0.0886,0.9485,0.8717,0.8576,0.9309,0.1189,0.9453,0.8833,0.9368,0.68
36,0.0884,0.9498,0.8664,0.8488,0.9401,0.1262,0.9495,0.8833,0.9474,0.64
37,0.0854,0.9549,0.8673,0.8499,0.9401,0.1366,0.9486,0.9,0.9684,0.64
38,0.0863,0.9532,0.8726,0.8653,0.9032,0.1396,0.9474,0.8917,0.9684,0.6
39,0.0847,0.9551,0.8708,0.8554,0.9355,0.138,0.9491,0.9,0.9684,0.64
40,0.0836,0.9577,0.8761,0.862,0.9355,0.1272,0.9491,0.8833,0.9474,0.64
41,0.0855,0.954,0.8699,0.8565,0.9263,0.1178,0.9486,0.8833,0.9368,0.68
42,0.0824,0.9581,0.8752,0.8587,0.9447,0.1335,0.9491,0.9,0.9684,0.64
43,0.0827,0.9596,0.8743,0.8609,0.9309,0.1368,0.9486,0.9,0.9684,0.64
44,0.0838,0.9565,0.885,0.8697,0.9493,0.1228,0.9491,0.8833,0.9474,0.64
45,0.0851,0.9555,0.8681,0.8499,0.9447,0.1284,0.9486,0.8917,0.9579,0.64
46,0.085,0.9554,0.8708,0.8576,0.9263,0.1271,0.9495,0.8833,0.9474,0.64
47,0.0841,0.9563,0.8761,0.8609,0.9401,0.1293,0.9486,0.8917,0.9579,0.64
48,0.0853,0.9545,0.877,0.862,0.9401,0.1292,0.9478,0.8917,0.9579,0.64
49,0.0833,0.9581,0.877,0.8609,0.9447,0.1294,0.9478,0.8833,0.9474,0.64
