FPR,TPR,Threshold
0.0,0.0,1.7144693732261658
0.0,0.010526315789473684,0.7144693732261658
0.0,0.031578947368421054,0.6820594668388367
0.04,0.031578947368421054,0.6798621416091919
0.04,0.042105263157894736,0.6776334047317505
0.08,0.042105263157894736,0.6688104271888733
0.08,0.23157894736842105,0.6264802813529968
0.16,0.23157894736842105,0.6218512058258057
0.16,0.2736842105263158,0.6182351112365723
0.2,0.2736842105263158,0.6172850728034973
0.2,0.35789473684210527,0.5929633378982544
0.24,0.35789473684210527,0.5899161696434021
0.24,0.37894736842105264,0.5878008604049683
0.32,0.37894736842105264,0.5873478651046753
0.32,0.4,0.5853599905967712
0.36,0.4,0.5849369764328003
0.36,0.4631578947368421,0.582309901714325
0.44,0.4631578947368421,0.57787024974823
0.44,0.4842105263157895,0.575127899646759
0.48,0.4842105263157895,0.572654664516449
0.48,0.5157894736842106,0.5660372972488403
0.52,0.5157894736842106,0.5646703839302063
0.52,0.5263157894736842,0.5636212229728699
0.56,0.5263157894736842,0.5589881539344788
0.56,0.5578947368421052,0.5542359352111816
0.6,0.5578947368421052,0.5540499687194824
0.6,0.5789473684210527,0.5519355535507202
0.64,0.5789473684210527,0.5494005680084229
0.64,0.6421052631578947,0.5397962927818298
0.68,0.6421052631578947,0.5397757887840271
0.68,0.7052631578947368,0.5323011875152588
0.72,0.7052631578947368,0.5300388932228088
0.72,0.7157894736842105,0.5261222720146179
0.76,0.7157894736842105,0.5233674049377441
0.76,0.7473684210526316,0.5183567404747009
0.8,0.7473684210526316,0.5151127576828003
0.8,0.8,0.5022768378257751
0.84,0.8,0.49736547470092773
0.84,0.9157894736842105,0.4811905324459076
0.88,0.9157894736842105,0.4791516661643982
0.88,0.968421052631579,0.4530324637889862
0.92,0.968421052631579,0.44899505376815796
0.92,0.9894736842105263,0.43450620770454407
0.96,0.9894736842105263,0.4202158749103546
0.96,1.0,0.4196604788303375
1.0,1.0,0.3903732895851135
