epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.1864,0.6316,0.7111,0.4286,0.7632,0.2275,0.8822,0.7833,0.8333,0.7424
1,0.2039,0.5946,0.6889,0.25,0.7838,0.2297,0.8813,0.775,0.8333,0.7273
2,0.193,0.6926,0.6222,0.75,0.5946,0.231,0.8816,0.7833,0.8519,0.7273
3,0.1717,0.8195,0.8444,0.7143,0.8684,0.2258,0.8822,0.7833,0.8148,0.7576
4,0.177,0.7519,0.7111,0.5714,0.7368,0.2305,0.8813,0.775,0.8333,0.7273
5,0.2307,0.6283,0.6,0.7273,0.5588,0.2385,0.881,0.7667,0.8704,0.6818
6,0.1922,0.7963,0.6667,0.7778,0.6389,0.2383,0.881,0.7667,0.8704,0.6818
7,0.1808,0.7331,0.5778,0.7143,0.5526,0.2299,0.8813,0.7667,0.8333,0.7121
8,0.1848,0.7838,0.6,0.625,0.5946,0.2296,0.8816,0.7667,0.8333,0.7121
9,0.1837,0.8176,0.7778,0.75,0.7838,0.2303,0.8808,0.7667,0.8333,0.7121
10,0.1568,0.86,0.7333,1.0,0.7,0.227,0.8813,0.775,0.8333,0.7273
11,0.2045,0.598,0.6889,0.5,0.7297,0.2278,0.881,0.775,0.8333,0.7273
12,0.2213,0.8365,0.7556,0.7692,0.75,0.231,0.8808,0.7583,0.8333,0.697
13,0.1672,0.4878,0.6222,0.25,0.6585,0.2306,0.8808,0.7667,0.8333,0.7121
14,0.1736,0.782,0.6667,0.5714,0.6842,0.2287,0.8808,0.775,0.8333,0.7273
15,0.1609,0.5488,0.5556,0.5,0.561,0.2257,0.881,0.7833,0.8333,0.7424
16,0.1789,0.8302,0.7778,0.6667,0.8056,0.2261,0.881,0.7833,0.8333,0.7424
17,0.1962,0.6453,0.6889,0.5,0.7297,0.2261,0.881,0.775,0.8333,0.7273
18,0.2035,0.6975,0.7333,0.3333,0.8333,0.2284,0.8808,0.775,0.8333,0.7273
19,0.182,0.7939,0.6889,0.625,0.7027,0.2287,0.8808,0.775,0.8333,0.7273
