epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.2887,0.6313,0.5111,0.6667,0.4545,0.2793,0.7678,0.7167,0.6731,0.75
1,0.2874,0.625,0.6,0.5385,0.625,0.2824,0.7687,0.6917,0.5962,0.7647
2,0.2573,0.7406,0.7556,0.5455,0.8235,0.2963,0.7689,0.6583,0.4615,0.8088
3,0.2593,0.6629,0.7333,0.1,0.9143,0.3197,0.7656,0.6583,0.3462,0.8971
4,0.3111,0.6875,0.6444,0.1875,0.8966,0.2917,0.7687,0.6833,0.5385,0.7941
5,0.2807,0.7333,0.7556,0.6667,0.8,0.2797,0.7698,0.6917,0.6154,0.75
6,0.3129,0.6239,0.6444,0.5882,0.6786,0.2787,0.7701,0.7083,0.6538,0.75
7,0.2643,0.6286,0.6889,0.4,0.7714,0.2881,0.7704,0.6833,0.5577,0.7794
8,0.3045,0.7045,0.7111,0.5789,0.8077,0.2769,0.7715,0.6917,0.6731,0.7059
9,0.2614,0.7246,0.6889,0.7273,0.6765,0.2855,0.7704,0.675,0.5577,0.7647
10,0.273,0.7733,0.7111,0.5333,0.8,0.2833,0.7712,0.6833,0.5769,0.7647
11,0.2901,0.6822,0.6444,0.6,0.6667,0.2812,0.7735,0.6833,0.5769,0.7647
12,0.3313,0.6462,0.5778,0.5455,0.6087,0.2778,0.776,0.7167,0.8077,0.6471
13,0.2859,0.7097,0.5556,0.7857,0.4516,0.2761,0.7743,0.6833,0.6731,0.6912
14,0.3026,0.5922,0.5333,0.5,0.5484,0.2775,0.7732,0.7083,0.6538,0.75
15,0.3189,0.6071,0.5778,0.4118,0.6786,0.2768,0.7738,0.7,0.6538,0.7353
16,0.2942,0.7263,0.6667,0.5,0.7586,0.2757,0.7743,0.7,0.7308,0.6765
17,0.3032,0.6333,0.6,0.6667,0.5667,0.2759,0.7749,0.7,0.6731,0.7206
18,0.259,0.798,0.7778,0.75,0.7879,0.284,0.776,0.675,0.5577,0.7647
19,0.2674,0.7956,0.6667,0.6,0.7,0.2861,0.7749,0.6667,0.5385,0.7647
