epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.3338,0.5631,0.4444,1.0,0.2424,0.3395,0.7559,0.6667,0.3269,0.9265
1,0.2536,0.7981,0.7111,0.6923,0.7188,0.37,0.7559,0.65,0.2308,0.9706
2,0.276,0.6444,0.6889,0.7273,0.6765,0.4271,0.7514,0.6167,0.1538,0.9706
3,0.2308,0.8057,0.8,0.3,0.9429,0.4843,0.7506,0.6083,0.1154,0.9853
4,0.286,0.7716,0.6889,0.3125,0.8966,0.4191,0.7525,0.6167,0.1538,0.9706
5,0.2607,0.82,0.7556,0.6667,0.8,0.3662,0.7559,0.65,0.25,0.9559
6,0.2847,0.7374,0.6889,0.5294,0.7857,0.3573,0.7565,0.6583,0.2692,0.9559
7,0.2399,0.8286,0.7111,0.8,0.6857,0.3761,0.7554,0.6333,0.1923,0.9706
8,0.3048,0.7247,0.6667,0.5789,0.7308,0.3677,0.7559,0.6583,0.25,0.9706
9,0.2561,0.7727,0.6889,0.7273,0.6765,0.3831,0.7545,0.6333,0.1923,0.9706
10,0.2927,0.6622,0.6889,0.5333,0.7667,0.3836,0.7548,0.6333,0.1923,0.9706
11,0.2763,0.74,0.7111,0.6667,0.7333,0.3812,0.7551,0.6333,0.1923,0.9706
12,0.3015,0.7431,0.6444,0.5455,0.7391,0.3624,0.7562,0.6583,0.2692,0.9559
13,0.2571,0.7834,0.6667,0.5714,0.7097,0.3621,0.7565,0.6583,0.2692,0.9559
14,0.2627,0.7673,0.6889,0.7143,0.6774,0.3642,0.7562,0.6583,0.2692,0.9559
15,0.284,0.7521,0.6889,0.5882,0.75,0.3652,0.7562,0.6583,0.2692,0.9559
16,0.2713,0.7672,0.7111,0.5625,0.7931,0.3637,0.7559,0.6583,0.2692,0.9559
17,0.2796,0.7289,0.6444,0.6667,0.6333,0.3636,0.7562,0.6583,0.2692,0.9559
18,0.2498,0.7677,0.7333,0.5,0.8182,0.3665,0.7554,0.6583,0.2692,0.9559
19,0.2639,0.7756,0.7333,0.8667,0.6667,0.3673,0.7554,0.65,0.25,0.9559
