epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.2419,0.6455,0.8358,1.0,0.0833,0.1314,0.904,0.8583,0.8842,0.76
1,0.2758,0.7433,0.7313,0.8696,0.4286,0.1626,0.9027,0.6417,0.5579,0.96
2,0.1981,0.7035,0.6119,0.5849,0.7143,0.1656,0.9006,0.6333,0.5474,0.96
3,0.1685,0.9051,0.6866,0.6154,0.9333,0.1556,0.9015,0.6583,0.5895,0.92
4,0.186,0.7707,0.6866,0.6852,0.6923,0.1739,0.9015,0.6083,0.5158,0.96
5,0.1946,0.651,0.6866,0.7143,0.5455,0.158,0.9002,0.6667,0.5895,0.96
6,0.1893,0.7756,0.6866,0.6923,0.6667,0.1682,0.9002,0.625,0.5368,0.96
7,0.1827,0.7652,0.6866,0.6545,0.8333,0.1662,0.9002,0.6333,0.5474,0.96
8,0.1875,0.7293,0.597,0.5741,0.6923,0.159,0.8998,0.6667,0.5895,0.96
9,0.1957,0.7423,0.6866,0.6923,0.6667,0.1699,0.8994,0.625,0.5368,0.96
10,0.169,0.7299,0.6866,0.6724,0.7778,0.1569,0.9006,0.675,0.6,0.96
11,0.1914,0.748,0.7313,0.7547,0.6429,0.1579,0.9002,0.6667,0.5895,0.96
12,0.1933,0.7179,0.6567,0.6667,0.6154,0.1579,0.8989,0.6667,0.5895,0.96
13,0.1809,0.7175,0.7164,0.7193,0.7,0.1587,0.8994,0.6667,0.5895,0.96
14,0.1622,0.7701,0.7612,0.8103,0.4444,0.1576,0.8989,0.675,0.6,0.96
15,0.2195,0.6103,0.597,0.6538,0.4,0.1587,0.8985,0.6667,0.5895,0.96
16,0.2072,0.822,0.6716,0.6327,0.7778,0.1627,0.8981,0.65,0.5684,0.96
17,0.1766,0.8836,0.791,0.7647,0.875,0.1646,0.8989,0.6417,0.5579,0.96
18,0.1809,0.7682,0.597,0.5455,0.8333,0.1625,0.8981,0.6583,0.5789,0.96
19,0.1752,0.763,0.7313,0.7857,0.4545,0.1628,0.8981,0.65,0.5684,0.96
