epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.2187,0.4819,0.4549,0.4315,0.553,0.2312,0.5221,0.6917,0.7789,0.36
1,0.2091,0.6321,0.6788,0.7251,0.4839,0.225,0.6168,0.4417,0.3474,0.8
2,0.2001,0.731,0.6611,0.6517,0.7005,0.2185,0.6804,0.675,0.7053,0.56
3,0.1933,0.764,0.7124,0.7284,0.6452,0.2138,0.7078,0.725,0.7579,0.6
4,0.184,0.8055,0.7646,0.7809,0.6959,0.212,0.7137,0.525,0.4421,0.84
5,0.1799,0.8057,0.7212,0.7141,0.7512,0.206,0.7297,0.6833,0.6947,0.64
6,0.1731,0.8179,0.7478,0.7481,0.7465,0.2048,0.7381,0.6833,0.7053,0.6
7,0.1697,0.8253,0.7381,0.7327,0.7604,0.2046,0.7402,0.7,0.7263,0.6
8,0.1677,0.8256,0.7611,0.7612,0.7604,0.2035,0.7457,0.7083,0.7263,0.64
9,0.1649,0.8308,0.7558,0.7503,0.7788,0.2017,0.7528,0.7083,0.7263,0.64
10,0.162,0.837,0.7593,0.7492,0.8018,0.2017,0.7541,0.7083,0.7263,0.64
11,0.1585,0.8419,0.769,0.7678,0.7742,0.2006,0.7592,0.65,0.6421,0.68
12,0.1573,0.8449,0.7575,0.747,0.8018,0.2042,0.7596,0.75,0.7895,0.6
13,0.1574,0.8414,0.7664,0.7601,0.7926,0.1991,0.7613,0.7083,0.7158,0.68
14,0.153,0.8535,0.754,0.7437,0.7972,0.1996,0.7634,0.725,0.7474,0.64
15,0.1537,0.8516,0.7611,0.7536,0.7926,0.1977,0.7629,0.675,0.6737,0.68
16,0.1492,0.8609,0.7602,0.7415,0.8387,0.2177,0.7629,0.8,0.8947,0.44
17,0.1462,0.8682,0.792,0.7853,0.8203,0.1969,0.7663,0.7333,0.7474,0.68
18,0.146,0.8689,0.7867,0.7733,0.8433,0.194,0.7705,0.7167,0.7263,0.68
19,0.1482,0.8627,0.7796,0.7656,0.8387,0.1997,0.7739,0.7667,0.8105,0.6
20,0.1417,0.8775,0.7796,0.7722,0.8111,0.1948,0.7764,0.7417,0.7579,0.68
21,0.1438,0.8721,0.7752,0.7623,0.8295,0.2001,0.7798,0.775,0.8211,0.6
22,0.1394,0.8811,0.7867,0.7831,0.8018,0.1937,0.7811,0.6583,0.6316,0.76
23,0.1392,0.8814,0.777,0.7656,0.8249,0.1894,0.7844,0.7167,0.7263,0.68
24,0.1383,0.884,0.7894,0.7755,0.8479,0.1981,0.7844,0.8,0.8421,0.64
25,0.1366,0.8868,0.7947,0.7875,0.8249,0.193,0.7857,0.775,0.8,0.68
26,0.1359,0.8867,0.7973,0.7842,0.8525,0.1879,0.7903,0.7583,0.7789,0.68
27,0.1344,0.8897,0.8,0.7842,0.8664,0.1865,0.7928,0.7583,0.7789,0.68
28,0.1345,0.887,0.7947,0.7842,0.8387,0.1929,0.7945,0.7917,0.8316,0.64
29,0.1322,0.8951,0.7965,0.782,0.8571,0.1883,0.7954,0.8,0.8316,0.68
30,0.1305,0.8952,0.8009,0.7864,0.8618,0.1862,0.7954,0.7917,0.8211,0.68
31,0.1305,0.8983,0.8053,0.7919,0.8618,0.1849,0.7971,0.775,0.8,0.68
32,0.1262,0.9065,0.7991,0.7842,0.8618,0.1987,0.7996,0.8083,0.8737,0.56
33,0.1274,0.9014,0.8088,0.8018,0.8387,0.1818,0.8008,0.775,0.7789,0.76
34,0.13,0.8965,0.8044,0.7908,0.8618,0.1903,0.7983,0.8,0.8316,0.68
35,0.1278,0.9005,0.8053,0.7919,0.8618,0.1828,0.8008,0.7833,0.8105,0.68
36,0.1289,0.8998,0.8009,0.7886,0.8525,0.2061,0.8038,0.8167,0.8947,0.52
37,0.1273,0.9016,0.808,0.7952,0.8618,0.1967,0.8051,0.8333,0.8842,0.64
38,0.1263,0.901,0.8088,0.7963,0.8618,0.195,0.8042,0.825,0.8737,0.64
39,0.1226,0.9088,0.8088,0.7864,0.9032,0.2069,0.8051,0.8167,0.9053,0.48
40,0.1228,0.9111,0.8283,0.8182,0.871,0.1888,0.8034,0.8083,0.8526,0.64
41,0.1191,0.9191,0.8195,0.8094,0.8618,0.1823,0.8059,0.7917,0.8211,0.68
42,0.1196,0.9178,0.815,0.7974,0.8894,0.1953,0.8038,0.8333,0.8842,0.64
43,0.1196,0.9173,0.8283,0.816,0.8802,0.1943,0.8042,0.8333,0.8842,0.64
44,0.1211,0.9143,0.8274,0.8138,0.8848,0.1878,0.8042,0.8167,0.8632,0.64
45,0.1211,0.9158,0.8133,0.7952,0.8894,0.202,0.8059,0.825,0.9053,0.52
46,0.1193,0.9181,0.8478,0.8423,0.871,0.1904,0.8059,0.8167,0.8632,0.64
47,0.1208,0.9147,0.8204,0.8072,0.8756,0.1879,0.8067,0.8167,0.8632,0.64
48,0.1195,0.9165,0.8212,0.8083,0.8756,0.1886,0.8067,0.8167,0.8632,0.64
49,0.1181,0.9209,0.8354,0.8149,0.9217,0.1899,0.8059,0.8167,0.8632,0.64
