epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.2118,0.4844,0.4469,0.5144,0.4317,0.3425,0.5264,0.4833,0.5556,0.4242
1,0.2069,0.5586,0.5221,0.5721,0.5108,0.3364,0.5828,0.525,0.6296,0.4394
2,0.2039,0.6011,0.5566,0.6202,0.5423,0.331,0.6361,0.5833,0.3889,0.7424
3,0.2021,0.6232,0.6053,0.5529,0.6171,0.3259,0.6953,0.625,0.7778,0.5
4,0.1981,0.6873,0.6239,0.6923,0.6085,0.3208,0.7346,0.6667,0.7778,0.5758
5,0.1959,0.705,0.5885,0.7212,0.5586,0.3191,0.7593,0.6417,0.2963,0.9242
6,0.1928,0.7348,0.708,0.6587,0.7191,0.3099,0.7884,0.7417,0.7222,0.7576
7,0.1907,0.755,0.7035,0.7308,0.6974,0.3057,0.8033,0.725,0.7963,0.6667
8,0.1876,0.7699,0.6788,0.774,0.6573,0.3006,0.8168,0.7833,0.6852,0.8636
9,0.183,0.807,0.7354,0.7067,0.7419,0.2946,0.8249,0.7833,0.7593,0.803
10,0.1819,0.7988,0.7177,0.774,0.705,0.2901,0.8347,0.8,0.7222,0.8636
11,0.1797,0.8032,0.7212,0.7452,0.7158,0.2866,0.8395,0.8,0.7222,0.8636
12,0.1779,0.809,0.7628,0.7404,0.7679,0.2838,0.8432,0.7583,0.8148,0.7121
13,0.1742,0.8164,0.7566,0.7644,0.7549,0.2779,0.8454,0.8,0.7963,0.803
14,0.1719,0.8268,0.7496,0.7885,0.7408,0.274,0.844,0.7917,0.7593,0.8182
15,0.1685,0.8298,0.7584,0.7885,0.7516,0.2761,0.844,0.7583,0.5556,0.9242
16,0.1665,0.8325,0.7619,0.7548,0.7636,0.2666,0.8479,0.7917,0.7778,0.803
17,0.1623,0.8475,0.7761,0.7644,0.7787,0.2634,0.8516,0.7917,0.7778,0.803
18,0.1605,0.8484,0.7726,0.7885,0.769,0.2622,0.8549,0.775,0.7222,0.8182
19,0.1608,0.8412,0.7717,0.7596,0.7744,0.2578,0.8563,0.8,0.8148,0.7879
20,0.1578,0.85,0.7796,0.7644,0.7831,0.254,0.8597,0.8,0.7963,0.803
21,0.1559,0.8551,0.785,0.7596,0.7907,0.2544,0.8631,0.8083,0.8519,0.7727
22,0.1556,0.8499,0.7735,0.7837,0.7711,0.2496,0.8636,0.8,0.7963,0.803
23,0.1502,0.8667,0.7947,0.7933,0.795,0.2481,0.8639,0.7833,0.7407,0.8182
24,0.1517,0.8577,0.7912,0.774,0.795,0.2447,0.8659,0.7833,0.7593,0.803
25,0.152,0.8564,0.7814,0.7788,0.782,0.2458,0.8709,0.7917,0.7037,0.8636
26,0.1462,0.8702,0.8035,0.7885,0.8069,0.2395,0.8743,0.7917,0.7778,0.803
27,0.1491,0.8591,0.7982,0.7837,0.8015,0.2393,0.8763,0.8,0.8148,0.7879
28,0.1478,0.8576,0.8053,0.7837,0.8102,0.2382,0.8785,0.8083,0.8333,0.7879
29,0.1449,0.8672,0.7947,0.7981,0.7939,0.2345,0.8805,0.7833,0.7593,0.803
30,0.1457,0.8648,0.7956,0.7788,0.7993,0.232,0.8808,0.7833,0.7593,0.803
31,0.1426,0.873,0.8044,0.7788,0.8102,0.2301,0.8822,0.7833,0.7593,0.803
32,0.144,0.8684,0.8035,0.7788,0.8091,0.2325,0.8872,0.8,0.8333,0.7727
33,0.1437,0.867,0.7982,0.7885,0.8004,0.2268,0.8889,0.7833,0.7593,0.803
34,0.1374,0.8864,0.8204,0.8125,0.8221,0.2257,0.8872,0.7833,0.7593,0.803
35,0.1373,0.8796,0.8159,0.7981,0.82,0.2258,0.8895,0.7833,0.7407,0.8182
36,0.1387,0.8781,0.8186,0.7692,0.8297,0.2264,0.8939,0.7917,0.8148,0.7727
37,0.1374,0.8809,0.8088,0.7837,0.8145,0.2211,0.8937,0.7833,0.7593,0.803
38,0.1373,0.8786,0.8097,0.8029,0.8113,0.2273,0.8956,0.8,0.8519,0.7576
39,0.1358,0.884,0.8274,0.7933,0.8351,0.2222,0.8937,0.7917,0.8148,0.7727
40,0.1339,0.8887,0.8212,0.8029,0.8254,0.2173,0.8967,0.7917,0.7963,0.7879
41,0.1318,0.8933,0.8265,0.8029,0.8319,0.2184,0.8987,0.8,0.7222,0.8636
42,0.1324,0.8885,0.8186,0.7885,0.8254,0.216,0.9001,0.7917,0.7963,0.7879
43,0.1285,0.9014,0.8274,0.8029,0.833,0.2152,0.8987,0.8,0.8148,0.7879
44,0.1282,0.9018,0.8168,0.8125,0.8178,0.2279,0.8987,0.8,0.6667,0.9091
45,0.13,0.8953,0.8407,0.7981,0.8503,0.2194,0.9004,0.7917,0.8333,0.7576
46,0.1288,0.8981,0.8336,0.8173,0.8373,0.2119,0.899,0.7917,0.7778,0.803
47,0.1265,0.9028,0.8292,0.8221,0.8308,0.212,0.9001,0.8,0.8148,0.7879
48,0.1275,0.8979,0.8327,0.8173,0.8362,0.2118,0.8998,0.7833,0.7407,0.8182
49,0.1262,0.9017,0.8327,0.8077,0.8384,0.2146,0.9001,0.7833,0.8148,0.7576
