epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.175,0.8485,0.8209,0.9273,0.3333,0.1461,0.8804,0.8167,0.8316,0.76
1,0.2139,0.8571,0.7313,0.7609,0.6667,0.1453,0.8842,0.7917,0.7684,0.88
2,0.1795,0.841,0.791,0.7358,1.0,0.1458,0.8829,0.7917,0.7684,0.88
3,0.1719,0.9026,0.7612,0.7308,0.8667,0.1458,0.8829,0.7833,0.7579,0.88
4,0.1672,0.8818,0.806,0.8148,0.7692,0.1481,0.8842,0.75,0.7158,0.88
5,0.1438,0.9432,0.791,0.7679,0.9091,0.1443,0.8813,0.8,0.7895,0.84
6,0.177,0.8846,0.791,0.7692,0.8667,0.1448,0.8817,0.775,0.7579,0.84
7,0.1625,0.8667,0.806,0.8,0.8333,0.1453,0.8804,0.775,0.7579,0.84
8,0.1608,0.8647,0.791,0.7778,0.8462,0.1447,0.88,0.8,0.7895,0.84
9,0.1632,0.8987,0.7761,0.75,0.8667,0.1462,0.8796,0.775,0.7579,0.84
10,0.1645,0.7433,0.6716,0.6724,0.6667,0.1454,0.8779,0.8,0.8,0.8
11,0.1442,0.9447,0.8806,0.8679,0.9286,0.1455,0.8775,0.8,0.7895,0.84
12,0.1565,0.8618,0.7463,0.7407,0.7692,0.1457,0.8771,0.8,0.7895,0.84
13,0.1517,0.8228,0.7761,0.807,0.6,0.1457,0.8775,0.7833,0.7684,0.84
14,0.1233,0.9425,0.8358,0.8276,0.8889,0.1457,0.8771,0.8,0.7895,0.84
15,0.1675,0.9026,0.8657,0.8846,0.8,0.1459,0.8771,0.7833,0.7684,0.84
16,0.1766,0.8946,0.806,0.8163,0.7778,0.1468,0.8775,0.775,0.7579,0.84
17,0.18,0.8652,0.791,0.7843,0.8125,0.1479,0.8771,0.775,0.7474,0.88
18,0.1858,0.697,0.5821,0.5818,0.5833,0.1478,0.8771,0.775,0.7474,0.88
