epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.1956,0.7818,0.7761,0.9455,0.0,0.1104,0.9478,0.9083,0.9368,0.8
1,0.2466,0.7961,0.7612,0.8043,0.6667,0.0982,0.9482,0.9167,0.9263,0.88
2,0.2095,0.6173,0.6119,0.6415,0.5,0.0971,0.9491,0.9083,0.9158,0.88
3,0.2031,0.7487,0.597,0.5577,0.7333,0.0966,0.9503,0.9083,0.9158,0.88
4,0.1923,0.7934,0.7015,0.6852,0.7692,0.0953,0.952,0.9083,0.9158,0.88
5,0.1633,0.8685,0.7761,0.7679,0.8182,0.0991,0.9503,0.9083,0.9263,0.84
6,0.1869,0.8731,0.8209,0.8077,0.8667,0.0968,0.9516,0.9083,0.9263,0.84
7,0.1765,0.8061,0.6866,0.6909,0.6667,0.0961,0.952,0.9083,0.9263,0.84
8,0.1843,0.812,0.7612,0.8148,0.5385,0.0976,0.9516,0.9083,0.9263,0.84
9,0.1911,0.8141,0.6716,0.6346,0.8,0.0948,0.9516,0.9083,0.9158,0.88
10,0.1665,0.7989,0.7015,0.7069,0.6667,0.1005,0.9528,0.9083,0.9263,0.84
11,0.1858,0.8423,0.8358,0.8679,0.7143,0.0979,0.9533,0.9083,0.9263,0.84
12,0.1793,0.8063,0.7463,0.7593,0.6923,0.0981,0.9545,0.9083,0.9263,0.84
13,0.1805,0.6386,0.791,0.8246,0.6,0.0959,0.9537,0.9083,0.9263,0.84
14,0.1519,0.8314,0.8806,0.8966,0.7778,0.0994,0.9541,0.9083,0.9263,0.84
15,0.2036,0.7987,0.8358,0.9038,0.6,0.0938,0.9528,0.9,0.9158,0.84
16,0.1967,0.8549,0.7463,0.7143,0.8333,0.0938,0.9537,0.8833,0.8737,0.92
17,0.2121,0.7071,0.5821,0.5098,0.8125,0.0936,0.9545,0.875,0.8632,0.92
18,0.1707,0.8924,0.6418,0.5818,0.9167,0.0917,0.9549,0.9,0.9053,0.88
19,0.1678,0.8588,0.8358,0.875,0.6364,0.0918,0.9562,0.9,0.9053,0.88
