epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.2459,0.819,0.7727,0.7143,0.8,0.2535,0.8348,0.7583,0.8846,0.6618
1,0.1758,0.9143,0.8182,0.7143,0.8667,0.2522,0.8346,0.7417,0.8462,0.6618
2,0.1734,0.9487,0.8636,1.0,0.7692,0.2543,0.8348,0.7083,0.8846,0.5735
3,0.1116,1.0,0.9091,1.0,0.8947,0.2516,0.8317,0.75,0.8462,0.6765
4,0.1686,0.9429,0.8636,0.8571,0.8667,0.2501,0.8298,0.75,0.8077,0.7059
5,0.1645,0.9402,0.8636,0.8889,0.8462,0.2507,0.8314,0.75,0.8462,0.6765
6,0.227,0.8333,0.7727,0.5,0.875,0.2518,0.832,0.7417,0.8462,0.6618
7,0.1562,0.85,0.7273,0.5,0.75,0.2495,0.8312,0.75,0.8077,0.7059
8,0.2471,0.7607,0.7273,0.7778,0.6923,0.249,0.8312,0.75,0.8077,0.7059
9,0.1538,0.9792,0.8636,1.0,0.8125,0.2491,0.8309,0.75,0.8077,0.7059
10,0.1764,0.9643,0.8636,0.75,0.9286,0.2496,0.8314,0.7667,0.8462,0.7059
11,0.3213,0.6752,0.5909,0.4444,0.6923,0.2537,0.8323,0.7167,0.8654,0.6029
12,0.2208,0.8917,0.7727,0.7,0.8333,0.2585,0.8317,0.6833,0.9038,0.5147
13,0.1484,0.9658,0.8182,0.8889,0.7692,0.2608,0.8295,0.675,0.9038,0.5
14,0.2597,0.7778,0.6818,1.0,0.4615,0.2607,0.8289,0.675,0.9038,0.5
15,0.192,0.9145,0.7727,0.7778,0.7692,0.2604,0.8286,0.675,0.9038,0.5
16,0.2132,0.7882,0.6818,0.4,0.7647,0.2601,0.8283,0.675,0.9038,0.5
17,0.1664,0.9464,0.9091,1.0,0.8571,0.2611,0.8283,0.675,0.9038,0.5
18,0.093,1.0,1.0,1.0,1.0,0.2602,0.8286,0.675,0.9038,0.5
19,0.1539,0.9333,0.8182,0.8571,0.8,0.258,0.8289,0.6917,0.9038,0.5294
