epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.1274,0.8929,0.8485,0.8,0.8571,0.1953,0.9228,0.8417,0.9259,0.7727
1,0.0827,0.9857,0.9091,1.0,0.8929,0.1902,0.922,0.85,0.8704,0.8333
2,0.0769,0.9786,0.9091,1.0,0.8929,0.189,0.9217,0.8417,0.8519,0.8333
3,0.1072,0.8621,0.8485,0.5,0.8966,0.1889,0.9217,0.8583,0.8519,0.8636
4,0.0698,1.0,0.9697,1.0,0.9615,0.1889,0.9209,0.8667,0.8519,0.8788
5,0.1003,0.9826,0.8788,0.9,0.8696,0.1887,0.9217,0.8417,0.8519,0.8333
6,0.0902,0.9835,0.9697,0.8571,1.0,0.1886,0.9214,0.8417,0.8519,0.8333
7,0.137,0.8017,0.7879,0.5,0.8276,0.1892,0.9195,0.8417,0.8519,0.8333
8,0.1379,0.8956,0.7879,0.8571,0.7692,0.191,0.9195,0.85,0.8704,0.8333
9,0.0918,0.9753,0.8788,1.0,0.8519,0.1902,0.9209,0.85,0.8704,0.8333
10,0.0766,1.0,0.7879,1.0,0.7667,0.1883,0.9203,0.8583,0.8519,0.8636
11,0.1607,0.8462,0.9091,0.8571,0.9231,0.1884,0.9206,0.8417,0.8519,0.8333
12,0.111,0.9676,0.8788,0.8889,0.875,0.1896,0.9206,0.85,0.8704,0.8333
13,0.0696,0.9741,0.8788,1.0,0.8621,0.1888,0.9195,0.85,0.8704,0.8333
14,0.1161,0.9341,0.8485,0.8571,0.8462,0.189,0.9198,0.8583,0.8333,0.8788
15,0.0645,0.9889,0.9091,1.0,0.9,0.1885,0.9195,0.8667,0.8519,0.8788
16,0.0811,0.985,0.9091,0.875,0.92,0.1888,0.9186,0.8667,0.8519,0.8788
17,0.0981,0.9383,0.9394,0.8333,0.963,0.1888,0.9186,0.8667,0.8519,0.8788
18,0.09,0.989,0.9697,1.0,0.9615,0.1886,0.9192,0.8667,0.8519,0.8788
19,0.0888,0.9877,0.9394,1.0,0.9259,0.1885,0.9186,0.8583,0.8519,0.8636
