epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.1637,0.8272,0.7556,0.7222,0.8889,0.1537,0.8808,0.8583,0.8947,0.72
1,0.162,0.8678,0.7333,0.6875,0.8462,0.1516,0.8804,0.8583,0.8947,0.72
2,0.1349,0.8686,0.7333,0.6571,1.0,0.1538,0.8817,0.8667,0.9053,0.72
3,0.1018,0.9543,0.8444,0.8286,0.9,0.1552,0.8821,0.8667,0.9158,0.68
4,0.0847,0.9759,0.9111,0.8824,1.0,0.1584,0.8813,0.8667,0.9158,0.68
5,0.0888,0.9829,0.7333,0.6923,1.0,0.1736,0.8808,0.85,0.9474,0.48
6,0.1321,0.8682,0.7111,0.7027,0.75,0.1759,0.8808,0.85,0.9474,0.48
7,0.128,0.8981,0.7778,0.7778,0.7778,0.1781,0.8796,0.85,0.9474,0.48
8,0.1016,0.9426,0.8667,0.8919,0.75,0.1775,0.88,0.85,0.9474,0.48
9,0.1172,0.9371,0.8667,0.8571,0.9,0.1743,0.88,0.85,0.9368,0.52
10,0.1279,0.8534,0.7778,0.7632,0.8571,0.176,0.8792,0.8583,0.9474,0.52
11,0.09,0.963,0.8444,0.8056,1.0,0.1785,0.8792,0.85,0.9474,0.48
12,0.0979,0.9359,0.8667,0.8718,0.8333,0.1823,0.8796,0.85,0.9474,0.48
13,0.1203,0.9155,0.8222,0.8649,0.625,0.1782,0.8787,0.85,0.9474,0.48
14,0.0831,0.9696,0.8667,0.8649,0.875,0.1781,0.8787,0.85,0.9474,0.48
15,0.1381,0.8858,0.8222,0.8056,0.8889,0.1778,0.8779,0.85,0.9474,0.48
16,0.1065,0.9596,0.8667,0.8788,0.8333,0.1769,0.8779,0.85,0.9474,0.48
17,0.1284,0.8914,0.8222,0.8286,0.8,0.1759,0.8779,0.8583,0.9474,0.52
18,0.1598,0.8007,0.6889,0.6486,0.875,0.177,0.8787,0.85,0.9474,0.48
19,0.0987,0.9324,0.8222,0.8108,0.875,0.1769,0.8783,0.85,0.9474,0.48
