epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.1195,0.9286,0.8667,0.8571,0.8684,0.1924,0.9228,0.8583,0.8889,0.8333
1,0.131,0.8885,0.8444,0.75,0.8649,0.1922,0.922,0.85,0.8704,0.8333
2,0.0978,0.9527,0.8667,0.875,0.8649,0.1919,0.9206,0.85,0.8704,0.8333
3,0.102,0.9211,0.8667,0.7143,0.8947,0.1906,0.922,0.85,0.8704,0.8333
4,0.0662,1.0,0.9111,1.0,0.8947,0.1895,0.9209,0.8417,0.8519,0.8333
5,0.0929,0.9813,0.9333,1.0,0.9118,0.1896,0.9209,0.8417,0.8519,0.8333
6,0.091,0.9938,0.9778,0.8889,1.0,0.1905,0.92,0.85,0.8704,0.8333
7,0.1483,0.8083,0.7556,0.5714,0.7895,0.1919,0.9203,0.8333,0.8704,0.803
8,0.1214,0.902,0.7778,0.875,0.7568,0.1909,0.9206,0.85,0.8704,0.8333
9,0.1109,0.9257,0.8222,0.875,0.8108,0.1906,0.9209,0.85,0.8704,0.8333
10,0.0976,0.9,0.8,0.8,0.8,0.1882,0.9206,0.8667,0.8519,0.8788
11,0.1442,0.8547,0.8889,0.875,0.8919,0.1879,0.9223,0.8417,0.8519,0.8333
12,0.1101,0.9688,0.8889,0.9231,0.875,0.1895,0.9212,0.85,0.8704,0.8333
13,0.0712,0.9817,0.8667,1.0,0.8537,0.1882,0.9212,0.8417,0.8519,0.8333
14,0.0919,0.9511,0.9111,0.8571,0.9211,0.1886,0.9223,0.85,0.8148,0.8788
15,0.0842,0.9329,0.8667,0.75,0.878,0.1898,0.9212,0.8417,0.7963,0.8788
16,0.0742,0.9907,0.9111,0.8889,0.9167,0.1911,0.9198,0.8583,0.7963,0.9091
17,0.101,0.9493,0.9556,0.875,0.973,0.1898,0.9198,0.8417,0.7963,0.8788
18,0.0959,0.9877,0.9778,1.0,0.9722,0.1888,0.9198,0.85,0.8333,0.8636
19,0.0951,0.9662,0.9111,1.0,0.8919,0.1888,0.9195,0.85,0.8333,0.8636
