epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.1099,0.9451,0.8036,0.75,1.0,0.1056,0.9554,0.9083,0.9158,0.88
1,0.1163,0.9276,0.8571,0.8205,0.9412,0.1055,0.9541,0.9083,0.9158,0.88
2,0.1284,0.8768,0.7857,0.7556,0.9091,0.1075,0.9537,0.8833,0.9158,0.76
3,0.0879,0.9616,0.8571,0.8222,1.0,0.1141,0.9541,0.8917,0.9474,0.68
4,0.0692,0.9911,0.9286,0.907,1.0,0.1107,0.9541,0.875,0.9263,0.68
5,0.0874,0.9583,0.8036,0.7917,0.875,0.1254,0.9528,0.9,0.9579,0.68
6,0.1316,0.8958,0.8393,0.8182,0.9167,0.1226,0.9533,0.9,0.9579,0.68
7,0.0853,0.9773,0.8393,0.7955,1.0,0.1264,0.9545,0.9,0.9579,0.68
8,0.0808,0.963,0.8929,0.8696,1.0,0.1283,0.9545,0.9083,0.9684,0.68
9,0.1077,0.9374,0.875,0.8605,0.9231,0.124,0.9537,0.9,0.9579,0.68
10,0.094,0.9427,0.8393,0.8125,1.0,0.1282,0.9545,0.9083,0.9684,0.68
11,0.0786,0.9674,0.8571,0.8478,0.9,0.1304,0.9545,0.9,0.9684,0.64
12,0.0851,0.9661,0.8929,0.875,1.0,0.1336,0.9545,0.9,0.9684,0.64
13,0.1049,0.9141,0.8214,0.8542,0.625,0.1337,0.9541,0.9,0.9684,0.64
14,0.0961,0.9385,0.8214,0.8085,0.8889,0.1338,0.9541,0.9,0.9684,0.64
15,0.1235,0.899,0.875,0.8889,0.8182,0.1331,0.9541,0.9,0.9684,0.64
16,0.0935,0.9789,0.9286,0.9231,0.9412,0.1318,0.9537,0.9,0.9684,0.64
17,0.1186,0.9337,0.8393,0.8095,0.9286,0.1299,0.9537,0.9,0.9684,0.64
18,0.1169,0.9007,0.7321,0.6809,1.0,0.1309,0.9541,0.9,0.9684,0.64
19,0.0987,0.9253,0.875,0.8667,0.9091,0.1311,0.9541,0.9,0.9684,0.64
