epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.1237,0.9072,0.8393,0.8409,0.8333,0.1164,0.9474,0.9,0.9368,0.76
1,0.1537,0.8899,0.8214,0.7949,0.8824,0.1072,0.9482,0.9167,0.9368,0.84
2,0.142,0.8364,0.7857,0.7556,0.9091,0.1055,0.9482,0.9083,0.9263,0.84
3,0.1019,0.9253,0.8214,0.8,0.9091,0.1105,0.9478,0.9083,0.9368,0.8
4,0.0749,0.9857,0.8929,0.8837,0.9231,0.1061,0.9469,0.9083,0.9263,0.84
5,0.0892,0.9375,0.8214,0.8125,0.875,0.1138,0.9486,0.8917,0.9368,0.72
6,0.1254,0.9034,0.7679,0.7273,0.9167,0.1121,0.9478,0.9083,0.9368,0.8
7,0.095,0.9602,0.8571,0.8409,0.9167,0.1132,0.9478,0.9,0.9368,0.76
8,0.107,0.9239,0.8036,0.8043,0.8,0.1133,0.9474,0.9,0.9368,0.76
9,0.0948,0.9481,0.875,0.8605,0.9231,0.1117,0.9474,0.9083,0.9368,0.8
10,0.1339,0.8385,0.7679,0.7708,0.75,0.1139,0.9474,0.8917,0.9368,0.72
11,0.0837,0.963,0.8929,0.8696,1.0,0.1147,0.9474,0.8917,0.9368,0.72
12,0.0989,0.9219,0.8571,0.8333,1.0,0.1165,0.9474,0.8917,0.9368,0.72
13,0.1086,0.901,0.8036,0.8333,0.625,0.1158,0.9474,0.8917,0.9368,0.72
14,0.1077,0.9173,0.8036,0.7872,0.8889,0.1173,0.9474,0.8917,0.9368,0.72
15,0.0949,0.9717,0.9107,0.8889,1.0,0.1171,0.9474,0.8917,0.9368,0.72
16,0.1112,0.9502,0.8571,0.8462,0.8824,0.116,0.9474,0.8917,0.9368,0.72
17,0.1382,0.881,0.75,0.7143,0.8571,0.1148,0.9474,0.8917,0.9368,0.72
18,0.1073,0.948,0.7321,0.6809,1.0,0.1161,0.9474,0.8917,0.9368,0.72
19,0.0973,0.9091,0.9107,0.8889,1.0,0.1159,0.9474,0.8917,0.9368,0.72
