epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.1018,0.947,0.8507,0.9167,0.8364,0.1469,0.9568,0.8667,0.8519,0.8788
1,0.092,0.9485,0.9104,0.8333,0.9273,0.1465,0.9548,0.8667,0.8519,0.8788
2,0.0805,0.9687,0.8806,0.8462,0.8889,0.1465,0.9543,0.8667,0.8519,0.8788
3,0.065,0.9886,0.9701,0.9091,0.9821,0.1462,0.9545,0.8667,0.8519,0.8788
4,0.0676,0.997,0.8657,1.0,0.8364,0.1479,0.954,0.8583,0.8333,0.8788
5,0.0927,0.9669,0.9254,0.875,0.9412,0.1461,0.9545,0.8667,0.8519,0.8788
6,0.0772,0.9852,0.9552,0.9286,0.9623,0.1456,0.9537,0.8667,0.8519,0.8788
7,0.1386,0.9056,0.8507,0.8125,0.8627,0.1483,0.9545,0.9,0.9444,0.8636
8,0.1011,0.9485,0.8806,0.9167,0.8727,0.1501,0.9551,0.9167,0.9815,0.8636
9,0.1022,0.9348,0.791,0.8333,0.7818,0.1455,0.9543,0.8667,0.8704,0.8636
10,0.0868,0.964,0.8806,1.0,0.8644,0.1456,0.954,0.8667,0.8519,0.8788
11,0.0826,0.9801,0.8657,0.8462,0.8704,0.1464,0.9534,0.8667,0.8519,0.8788
12,0.0902,0.9865,0.9403,0.9375,0.9412,0.1464,0.9543,0.875,0.8889,0.8636
13,0.0699,0.9751,0.9104,0.8889,0.9138,0.1455,0.9543,0.8583,0.8519,0.8636
14,0.0637,0.99,0.9254,1.0,0.9074,0.1459,0.9534,0.8583,0.8519,0.8636
15,0.1017,0.9119,0.8806,0.5556,0.931,0.1458,0.9537,0.8583,0.8519,0.8636
16,0.1093,0.9302,0.8507,0.8462,0.8519,0.1458,0.9537,0.8583,0.8519,0.8636
17,0.0871,0.9591,0.9254,0.8333,0.9455,0.1458,0.9537,0.8583,0.8519,0.8636
18,0.0944,0.9609,0.8507,0.8571,0.8491,0.1457,0.9534,0.8583,0.8519,0.8636
19,0.0811,0.9744,0.8955,1.0,0.8679,0.1457,0.9534,0.8583,0.8519,0.8636
