epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.1411,0.8572,0.8319,0.6842,0.8617,0.172,0.9436,0.875,0.8148,0.9242
1,0.12,0.9156,0.8496,0.85,0.8495,0.1706,0.945,0.875,0.8148,0.9242
2,0.0967,0.9602,0.8673,0.9,0.8602,0.17,0.9453,0.875,0.8148,0.9242
3,0.0974,0.952,0.8673,0.8889,0.8632,0.1707,0.945,0.875,0.8148,0.9242
4,0.1035,0.9373,0.8584,0.8421,0.8617,0.1727,0.9444,0.8667,0.7963,0.9242
5,0.125,0.9332,0.8319,0.7143,0.8706,0.1654,0.943,0.8417,0.8148,0.8636
6,0.1119,0.9296,0.823,0.8182,0.8242,0.1663,0.943,0.85,0.8148,0.8788
7,0.1249,0.9156,0.8319,0.8462,0.8276,0.1653,0.9436,0.8417,0.8148,0.8636
8,0.0967,0.9792,0.8053,1.0,0.7708,0.1721,0.943,0.875,0.8148,0.9242
9,0.1181,0.9186,0.8496,0.7727,0.8681,0.1696,0.9436,0.8667,0.8148,0.9091
10,0.1139,0.9291,0.8496,0.8095,0.8587,0.1676,0.9425,0.8583,0.8148,0.8939
11,0.1195,0.8975,0.8319,0.8421,0.8298,0.1681,0.9402,0.8583,0.8148,0.8939
12,0.1186,0.9426,0.8584,0.9032,0.8415,0.1658,0.9405,0.8417,0.8148,0.8636
13,0.0934,0.9585,0.8407,0.8889,0.8316,0.1672,0.9414,0.85,0.8148,0.8788
14,0.1057,0.9485,0.8142,0.8947,0.7979,0.1684,0.9419,0.8583,0.8148,0.8939
15,0.1216,0.8544,0.8142,0.6,0.8469,0.1704,0.9414,0.8583,0.8148,0.8939
16,0.1235,0.9297,0.8407,0.8077,0.8506,0.1685,0.9414,0.8583,0.8148,0.8939
17,0.1006,0.9677,0.885,1.0,0.8523,0.1671,0.9419,0.85,0.8148,0.8788
18,0.123,0.9068,0.7788,0.8095,0.7717,0.1663,0.9422,0.85,0.8148,0.8788
19,0.0903,0.9669,0.8496,0.9524,0.8261,0.167,0.9422,0.8583,0.8148,0.8939
