epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.2215,0.8413,0.8142,0.75,0.8442,0.2868,0.7641,0.6833,0.7308,0.6471
1,0.1749,0.9138,0.8496,0.8889,0.8312,0.2854,0.7644,0.6583,0.6346,0.6765
2,0.1993,0.845,0.7699,0.6786,0.8,0.2876,0.7641,0.65,0.5769,0.7059
3,0.1789,0.9174,0.8407,0.75,0.8765,0.2864,0.7613,0.6583,0.6346,0.6765
4,0.2149,0.8598,0.7345,0.7778,0.7059,0.2939,0.759,0.6833,0.8462,0.5588
5,0.1923,0.8945,0.7965,0.825,0.7808,0.299,0.7593,0.6833,0.8654,0.5441
6,0.1995,0.8953,0.7788,0.8409,0.7391,0.3038,0.759,0.675,0.8654,0.5294
7,0.2201,0.8435,0.7611,0.7568,0.7632,0.3023,0.7633,0.675,0.8654,0.5294
8,0.2135,0.859,0.7699,0.8958,0.6769,0.3015,0.763,0.675,0.8654,0.5294
9,0.2176,0.8489,0.708,0.8205,0.6486,0.293,0.7633,0.6917,0.8462,0.5735
10,0.2062,0.8885,0.823,0.8723,0.7879,0.2956,0.7624,0.6833,0.8654,0.5441
11,0.2257,0.8385,0.7522,0.8462,0.7027,0.2918,0.7627,0.6917,0.8462,0.5735
12,0.2258,0.8507,0.7345,0.7843,0.6935,0.2971,0.7627,0.6833,0.8654,0.5441
13,0.2313,0.8183,0.7257,0.8286,0.6795,0.2917,0.763,0.6917,0.8462,0.5735
14,0.2183,0.8438,0.6814,0.7419,0.6585,0.2892,0.763,0.6917,0.8077,0.6029
15,0.1832,0.9235,0.8053,0.8333,0.7887,0.2892,0.7644,0.6917,0.8077,0.6029
16,0.2201,0.8621,0.7788,0.7333,0.8088,0.2909,0.7636,0.6917,0.8462,0.5735
17,0.1977,0.886,0.7965,0.7632,0.8133,0.2907,0.7636,0.7,0.8462,0.5882
18,0.2012,0.8987,0.823,0.8125,0.8308,0.2926,0.7627,0.7,0.8654,0.5735
19,0.2197,0.849,0.7257,0.825,0.6712,0.2918,0.763,0.6917,0.8462,0.5735
