epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.3336,0.6,0.7273,0.8333,0.6,0.2525,0.834,0.7333,0.8269,0.6618,0.3137,0.75,0.8333,0.875,0.75
1,0.2876,0.8571,0.6364,1.0,0.4286,0.2526,0.834,0.7333,0.8269,0.6618,0.3273,0.45,0.75,0.9,0.0
2,0.264,0.7222,0.5455,1.0,0.4444,0.2523,0.8343,0.7333,0.8269,0.6618,0.3326,0.5143,0.5,0.6,0.4286
3,0.254,0.9167,0.8182,1.0,0.75,0.2513,0.8326,0.7417,0.8269,0.6765,0.3077,0.8,0.6667,0.8,0.5714
4,0.298,0.5,0.6364,0.6667,0.625,0.2506,0.832,0.7417,0.8077,0.6912,0.3057,0.7714,0.8333,0.8,0.8571
5,0.269,0.8571,0.7273,0.75,0.7143,0.2503,0.8317,0.75,0.8077,0.7059,0.2945,0.8125,0.8333,0.75,1.0
6,0.2531,0.9,0.8182,1.0,0.6667,0.2502,0.832,0.75,0.8077,0.7059,0.2851,0.8889,0.5833,1.0,0.4444
7,0.288,0.8667,0.9091,1.0,0.8,0.2507,0.8331,0.7417,0.8269,0.6765,0.3381,0.35,0.4167,0.5,0.4
8,0.2843,0.9,0.8182,0.8,0.8333,0.2511,0.834,0.7333,0.8269,0.6618,0.3209,0.8889,0.5833,1.0,0.4444
9,0.2643,1.0,0.9091,1.0,0.8,0.2527,0.8348,0.7417,0.8462,0.6618,0.3098,0.7714,0.5833,0.8,0.4286
10,0.2694,0.7857,0.7273,0.75,0.7143,0.2545,0.8346,0.7167,0.8846,0.5882,0.2953,0.9259,0.75,0.8889,0.3333
11,0.3022,0.8,0.5455,0.6667,0.4,0.2567,0.8334,0.7,0.9038,0.5441,0.322,0.7812,0.4167,1.0,0.125
12,0.2678,0.9333,0.9091,1.0,0.8333,0.2576,0.8329,0.675,0.9038,0.5,0.3241,0.9,0.3333,1.0,0.2
13,0.2771,0.7917,0.6364,1.0,0.5,0.2574,0.8329,0.675,0.9038,0.5,0.311,0.6571,0.5833,0.8571,0.2
14,0.2806,0.7857,0.6364,0.75,0.5714,0.2569,0.8329,0.7,0.9038,0.5441,0.2737,0.8519,0.75,1.0,0.0
15,0.2539,0.8889,0.7273,1.0,0.6667,0.2561,0.8326,0.7083,0.9038,0.5588,0.3007,0.75,0.5833,0.8333,0.3333
16,0.2945,0.5556,0.5455,1.0,0.4444,0.255,0.832,0.7,0.8846,0.5588,0.3268,0.6571,0.5,0.8,0.2857
17,0.2941,0.9286,0.8182,1.0,0.5,0.2551,0.832,0.7,0.8846,0.5588,0.3192,0.8438,0.4167,1.0,0.125
18,0.2571,0.8333,0.5455,1.0,0.4444,0.2547,0.8317,0.7167,0.8846,0.5882,0.3217,0.6,0.5833,0.8571,0.2
19,0.2732,0.9167,0.5455,1.0,0.375,0.2546,0.8317,0.7083,0.8654,0.5882,0.2761,1.0,0.9167,0.9091,1.0
