epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.1651,0.7778,0.7273,0.5,0.7778,0.148,0.9565,0.875,0.8704,0.8788,0.2995,0.7714,0.75,0.7143,0.8
1,0.1682,0.8889,0.9091,1.0,0.8889,0.1477,0.9568,0.875,0.8704,0.8788,0.3585,0.7037,0.5,0.4444,0.6667
2,0.1546,1.0,0.9091,1.0,0.8889,0.1474,0.9568,0.875,0.8704,0.8788,0.2459,0.9143,0.8333,0.8571,0.8
3,0.1413,1.0,1.0,1.0,1.0,0.1472,0.9562,0.875,0.8704,0.8788,0.2304,0.9143,0.75,0.6,0.8571
4,0.1524,0.8889,0.9091,0.5,1.0,0.1469,0.9565,0.875,0.8704,0.8788,0.2337,1.0,0.75,0.4,1.0
5,0.1245,0.8,0.8182,1.0,0.8,0.1468,0.9568,0.875,0.8704,0.8788,0.2401,1.0,0.9167,0.8333,1.0
6,0.1667,1.0,0.9091,1.0,0.875,0.1467,0.9565,0.875,0.8704,0.8788,0.2229,1.0,0.9167,0.75,1.0
7,0.1794,0.9583,0.8182,0.6667,0.875,0.1468,0.9559,0.875,0.8704,0.8788,0.2118,1.0,0.9167,1.0,0.8333
8,0.1336,1.0,0.8182,1.0,0.8,0.1466,0.9554,0.875,0.8704,0.8788,0.241,1.0,0.9167,1.0,0.8889
9,0.1398,1.0,1.0,1.0,1.0,0.1464,0.9557,0.875,0.8704,0.8788,0.1928,1.0,0.9167,1.0,0.9
10,0.1709,0.2,0.8182,0.0,0.9,0.1462,0.9554,0.8667,0.8519,0.8788,0.2573,1.0,0.9167,0.8571,1.0
11,0.1727,0.7778,0.7273,0.5,0.7778,0.1462,0.9557,0.8667,0.8519,0.8788,0.2781,0.9143,0.6667,0.4,0.8571
12,0.1886,0.7222,0.6364,0.5,0.6667,0.1461,0.9562,0.8667,0.8519,0.8788,0.2495,0.9375,0.75,0.25,1.0
13,0.2074,0.8333,0.8182,0.6667,0.875,0.1461,0.9559,0.8667,0.8519,0.8788,0.2814,0.7429,0.75,0.6,0.8571
14,0.1371,1.0,0.7273,1.0,0.6667,0.1461,0.9554,0.8667,0.8519,0.8788,0.2632,1.0,0.8333,0.75,1.0
15,0.1673,0.9583,0.9091,1.0,0.875,0.1462,0.9551,0.875,0.8889,0.8636,0.2427,1.0,0.8333,0.6,1.0
16,0.1845,0.875,0.8182,0.6667,0.875,0.1463,0.9545,0.875,0.8889,0.8636,0.2457,0.65,0.75,0.0,0.9
17,0.2457,0.75,0.6364,0.5,0.7143,0.1471,0.9545,0.875,0.8889,0.8636,0.2389,0.9722,0.9167,1.0,0.8333
18,0.1942,0.6667,0.7273,0.0,0.8889,0.1479,0.9551,0.9,0.9444,0.8636,0.2491,1.0,1.0,1.0,1.0
19,0.1061,1.0,0.7273,1.0,0.7,0.1479,0.9551,0.9,0.9444,0.8636,0.2533,0.9429,0.8333,0.8,0.8571
