epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.2,0.7647,0.3636,1.0,0.1765,0.1974,0.922,0.85,0.9444,0.7727,0.2813,0.9015,0.6522,0.9167,0.3636
1,0.1809,0.7917,0.4545,1.0,0.3333,0.1939,0.9226,0.85,0.9074,0.803,0.2706,0.9231,0.7391,0.9231,0.5
2,0.162,0.7368,0.5455,0.6667,0.5263,0.1912,0.9228,0.85,0.8704,0.8333,0.2792,0.9091,0.6522,1.0,0.3333
3,0.1738,0.9444,0.3636,1.0,0.2222,0.1896,0.9228,0.8417,0.8519,0.8333,0.2953,0.8571,0.6522,1.0,0.4286
4,0.1574,0.9167,0.7273,1.0,0.6667,0.1892,0.922,0.8417,0.8519,0.8333,0.2723,0.9524,0.6087,1.0,0.3571
5,0.1859,0.8854,0.6818,0.8333,0.625,0.1891,0.9217,0.8417,0.8519,0.8333,0.3105,0.7424,0.6087,0.9167,0.2727
6,0.1718,0.9059,0.6364,1.0,0.5294,0.1892,0.9214,0.8417,0.8519,0.8333,0.2974,0.8824,0.6087,1.0,0.4706
7,0.2035,0.7294,0.5909,0.8,0.5294,0.189,0.9214,0.8417,0.8519,0.8333,0.2563,0.9242,0.8261,0.9091,0.75
8,0.1948,0.8646,0.7273,1.0,0.625,0.1891,0.9209,0.8417,0.8519,0.8333,0.321,0.8214,0.4783,1.0,0.25
9,0.1844,0.8471,0.6818,1.0,0.5882,0.1891,0.9209,0.85,0.8704,0.8333,0.3467,0.65,0.4348,0.875,0.2
10,0.1465,0.9649,0.5909,1.0,0.5263,0.1885,0.9214,0.8417,0.8519,0.8333,0.3182,0.7273,0.6087,0.75,0.4545
11,0.2171,0.7429,0.6364,1.0,0.4667,0.1884,0.9214,0.8417,0.8519,0.8333,0.2766,0.9077,0.7391,1.0,0.5385
12,0.1876,0.6667,0.5455,0.75,0.5,0.1884,0.9209,0.8417,0.8519,0.8333,0.3256,0.675,0.5217,0.625,0.4667
13,0.1639,0.9479,0.8636,1.0,0.8125,0.1884,0.9212,0.85,0.8704,0.8333,0.2723,0.8846,0.7391,1.0,0.5385
14,0.1427,0.9474,0.7727,1.0,0.7368,0.188,0.9209,0.8667,0.8519,0.8788,0.2945,0.7955,0.6087,0.8182,0.4167
15,0.1805,0.8958,0.8636,1.0,0.8125,0.1882,0.92,0.8667,0.8519,0.8788,0.2975,0.7576,0.6522,0.9167,0.3636
16,0.1734,0.8889,0.8636,0.75,0.8889,0.1881,0.9206,0.8667,0.8519,0.8788,0.284,0.881,0.6087,1.0,0.3571
17,0.1907,0.8333,0.6364,1.0,0.5,0.1882,0.92,0.85,0.8704,0.8333,0.2425,0.9545,0.7826,0.9091,0.6667
18,0.1864,0.7882,0.5909,1.0,0.4706,0.1882,0.9192,0.875,0.8704,0.8788,0.2887,0.8462,0.6957,0.9,0.5385
19,0.2317,0.6667,0.5909,1.0,0.4,0.1884,0.9195,0.875,0.8704,0.8788,0.3086,0.7121,0.6957,0.9091,0.5
