epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.1639,0.8947,0.5909,0.5263,1.0,0.1028,0.9554,0.9083,0.9158,0.88,0.146,0.7857,0.7826,0.8095,0.5
1,0.1836,0.9765,0.8636,0.8824,0.8,0.1025,0.9554,0.9083,0.9158,0.88,0.1383,0.8571,0.8696,0.9048,0.5
2,0.2306,0.8482,0.7727,0.7143,0.875,0.1008,0.9558,0.9,0.9053,0.88,0.1734,0.9342,0.8696,0.8421,1.0
3,0.2066,0.8333,0.5909,0.4375,1.0,0.1003,0.9558,0.8917,0.8947,0.88,0.1696,0.8667,0.6957,0.7,0.6667
4,0.1914,0.8588,0.7273,0.6471,1.0,0.1003,0.9558,0.8917,0.8947,0.88,0.1781,0.9778,0.8261,0.7778,1.0
5,0.1839,0.8941,0.7273,0.6471,1.0,0.1001,0.9558,0.8833,0.8842,0.88,0.1507,0.9833,0.7391,0.7,1.0
6,0.2113,0.9048,0.8636,0.8,1.0,0.1,0.9558,0.8833,0.8842,0.88,0.2123,0.8137,0.6957,0.6471,0.8333
7,0.1678,0.8421,0.5455,0.4737,1.0,0.0996,0.9554,0.8833,0.8842,0.88,0.2186,0.875,0.7826,0.75,0.8571
8,0.1793,0.7018,0.5455,0.4737,1.0,0.0998,0.9545,0.8917,0.8947,0.88,0.1932,0.8556,0.8261,0.8889,0.6
9,0.1928,0.9375,0.6818,0.5625,1.0,0.0997,0.9541,0.9,0.9053,0.88,0.1753,0.8684,0.7391,0.7368,0.75
10,0.1803,0.6842,0.6818,0.6842,0.6667,0.0996,0.9528,0.9,0.9053,0.88,0.1472,0.9048,0.8261,0.8095,1.0
11,0.1452,0.9,0.7727,0.75,1.0,0.1016,0.9533,0.9083,0.9158,0.88,0.1765,0.8684,0.8261,0.8421,0.75
12,0.1729,0.8611,0.7727,0.7778,0.75,0.1022,0.9533,0.9083,0.9158,0.88,0.2216,0.8529,0.7826,0.9412,0.3333
13,0.199,0.8353,0.8636,0.9412,0.6,0.1024,0.9524,0.9083,0.9158,0.88,0.1757,0.8816,0.8696,0.8947,0.75
14,0.1995,0.9062,0.8182,0.8125,0.8333,0.1022,0.9516,0.9083,0.9158,0.88,0.1677,0.8553,0.8261,0.8947,0.5
15,0.1662,0.9167,0.8182,0.7778,1.0,0.1019,0.9524,0.9083,0.9158,0.88,0.1968,0.9608,0.8696,1.0,0.5
16,0.1316,0.8571,0.6818,0.6667,1.0,0.1026,0.9512,0.9083,0.9158,0.88,0.1644,0.8553,0.8696,1.0,0.25
17,0.1745,0.8194,0.8182,0.8333,0.75,0.1031,0.9516,0.9083,0.9158,0.88,0.2134,0.9196,0.8696,1.0,0.5714
18,0.1442,0.9474,0.8182,0.7895,1.0,0.1032,0.9516,0.9083,0.9158,0.88,0.2133,0.9375,0.8261,0.9375,0.5714
19,0.1476,1.0,0.9091,0.8947,1.0,0.1034,0.9516,0.9083,0.9158,0.88,0.1299,0.8333,0.913,0.9524,0.5
