epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.2218,0.7765,0.8182,0.2,1.0,0.1751,0.9433,0.875,0.8148,0.9242,0.321,0.9091,0.6522,0.3333,1.0
1,0.1936,0.75,0.7727,0.5,0.8333,0.1742,0.9436,0.875,0.8148,0.9242,0.3356,0.8615,0.6087,0.3077,1.0
2,0.167,0.8596,0.9091,0.3333,1.0,0.1736,0.9442,0.875,0.8148,0.9242,0.3268,0.75,0.6957,0.5455,0.8333
3,0.1944,0.8611,0.7273,0.0,0.8889,0.1733,0.9439,0.875,0.8148,0.9242,0.2824,0.9286,0.7391,0.4444,0.9286
4,0.1853,0.8889,0.8182,0.5,0.8889,0.1724,0.9444,0.875,0.8148,0.9242,0.2926,0.9286,0.8696,0.6667,1.0
5,0.2287,0.875,0.7727,0.5,0.875,0.1707,0.9442,0.875,0.8148,0.9242,0.3271,0.803,0.6522,0.4167,0.9091
6,0.2067,0.8235,0.8636,0.8,0.8824,0.1689,0.9439,0.8583,0.8148,0.8939,0.2823,0.8137,0.7391,0.3333,0.8824
7,0.203,0.7882,0.6818,0.6,0.7059,0.1681,0.9442,0.8583,0.8148,0.8939,0.2838,0.9924,0.8261,0.6364,1.0
8,0.2061,0.9896,0.8636,1.0,0.8125,0.1677,0.9425,0.85,0.8148,0.8788,0.2768,0.9107,0.7391,0.4286,0.875
9,0.2257,0.5529,0.6364,0.4,0.7059,0.1672,0.9428,0.85,0.8148,0.8788,0.2956,0.85,0.7826,0.75,0.8
10,0.1738,0.8246,0.7273,0.6667,0.7368,0.1674,0.943,0.85,0.8148,0.8788,0.305,0.8409,0.6087,0.4167,0.8182
11,0.2255,0.9429,0.7727,1.0,0.6667,0.1671,0.9436,0.85,0.8148,0.8788,0.2977,0.8385,0.6957,0.7,0.6923
12,0.1941,0.6528,0.6364,0.5,0.6667,0.1672,0.943,0.8417,0.8148,0.8636,0.2888,0.8583,0.8261,0.625,0.9333
13,0.1985,0.9479,0.7727,0.8333,0.75,0.167,0.9428,0.85,0.8333,0.8636,0.3269,0.6538,0.6087,0.7,0.5385
14,0.1651,0.9298,0.6364,1.0,0.5789,0.1673,0.9428,0.8417,0.8148,0.8636,0.286,0.9394,0.8696,0.8182,0.9167
15,0.2105,0.7812,0.5455,0.8333,0.4375,0.1669,0.943,0.85,0.8333,0.8636,0.2858,0.947,0.8696,0.9167,0.8182
16,0.1791,0.8194,0.8182,0.75,0.8333,0.1671,0.9433,0.85,0.8333,0.8636,0.2879,0.8413,0.7391,0.6667,0.7857
17,0.2209,0.75,0.5909,0.8333,0.5,0.1678,0.9433,0.85,0.8333,0.8636,0.3068,0.8106,0.7391,0.8182,0.6667
18,0.212,0.6706,0.5455,0.8,0.4706,0.1683,0.9419,0.85,0.8333,0.8636,0.2836,0.9231,0.8261,1.0,0.6923
19,0.237,0.7143,0.5,0.7143,0.4,0.1683,0.9414,0.8417,0.8333,0.8485,0.2842,0.9545,0.8696,0.9091,0.8333
