epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.2405,0.815,0.7273,0.96,0.0,0.1171,0.9478,0.8917,0.9368,0.72,0.1537,0.9881,0.9412,1.0,0.6667
1,0.243,0.8519,0.8182,1.0,0.3333,0.1048,0.9478,0.9083,0.9263,0.84,0.142,0.9167,0.8824,0.9,0.75
2,0.2355,0.7546,0.8485,0.9583,0.5556,0.099,0.9486,0.9167,0.9263,0.88,0.1786,0.875,0.7941,0.8214,0.6667
3,0.2036,0.8657,0.7879,0.75,0.8889,0.0981,0.9486,0.9083,0.9158,0.88,0.1774,0.8069,0.6176,0.5862,0.8
4,0.1816,0.8272,0.6364,0.5926,0.8333,0.0977,0.9486,0.9083,0.9158,0.88,0.1963,0.88,0.6471,0.56,0.8889
5,0.2114,0.6978,0.7273,0.8077,0.4286,0.0971,0.9495,0.9083,0.9158,0.88,0.1678,0.9167,0.7353,0.7143,0.8333
6,0.2075,0.8609,0.7879,0.7391,0.9,0.0968,0.9503,0.8917,0.8947,0.88,0.2113,0.7822,0.5588,0.48,0.7778
7,0.1484,0.8444,0.6667,0.6333,1.0,0.0971,0.9503,0.9083,0.9158,0.88,0.2275,0.75,0.5882,0.5417,0.7
8,0.1656,0.681,0.7576,0.7931,0.5,0.0996,0.9503,0.9083,0.9263,0.84,0.1487,0.9517,0.8824,0.8621,1.0
9,0.2009,0.9167,0.8485,0.8333,0.8889,0.0979,0.9503,0.9167,0.9263,0.88,0.1585,0.9034,0.7941,0.7931,0.8
10,0.185,0.6429,0.697,0.75,0.4,0.0971,0.9512,0.9167,0.9263,0.88,0.1413,0.9032,0.7941,0.7742,1.0
11,0.1439,0.7556,0.7879,0.8333,0.3333,0.102,0.9512,0.9083,0.9263,0.84,0.1938,0.8254,0.8235,0.8519,0.7143
12,0.1802,0.8457,0.7879,0.8519,0.5,0.1002,0.9528,0.9083,0.9263,0.84,0.2036,0.9111,0.8529,0.92,0.6667
13,0.1875,0.7716,0.7576,0.8519,0.3333,0.1002,0.9533,0.9083,0.9263,0.84,0.2029,0.7725,0.7353,0.8148,0.4286
14,0.1997,0.9491,0.8485,0.9583,0.5556,0.0987,0.9537,0.9083,0.9263,0.84,0.2042,0.7513,0.7353,0.7778,0.5714
15,0.1995,0.86,0.8485,0.88,0.75,0.0979,0.9541,0.9083,0.9263,0.84,0.1879,0.8571,0.8235,0.8519,0.7143
16,0.1493,0.8879,0.8182,0.8276,0.75,0.0981,0.9533,0.9083,0.9263,0.84,0.1634,0.9048,0.8824,0.9286,0.6667
17,0.1751,0.8025,0.8788,0.9259,0.6667,0.0977,0.9537,0.9083,0.9263,0.84,0.2161,0.8133,0.7941,0.88,0.5556
18,0.1188,0.9889,0.9394,0.9333,1.0,0.0987,0.9528,0.9083,0.9263,0.84,0.2135,0.8833,0.8235,0.8333,0.8
19,0.1667,0.8519,0.8788,0.9259,0.6667,0.0989,0.9528,0.9083,0.9263,0.84,0.1657,0.8552,0.8235,0.8276,0.8
20,0.1852,0.65,0.7879,0.8929,0.2,0.0988,0.9528,0.9083,0.9263,0.84,0.1933,0.9289,0.8529,0.88,0.7778
21,0.204,0.7857,0.7576,0.8846,0.2857,0.0984,0.9528,0.9083,0.9263,0.84,0.1938,0.7083,0.7353,0.7857,0.5
22,0.1714,0.8143,0.8485,0.8571,0.8,0.0985,0.9528,0.9083,0.9263,0.84,0.1691,0.9808,0.8824,0.8462,1.0
23,0.1389,0.5806,0.7576,0.8065,0.0,0.0991,0.9528,0.9083,0.9263,0.84,0.1677,0.9464,0.8824,0.8571,1.0
24,0.1348,0.9857,0.9394,0.9643,0.8,0.0994,0.9528,0.9083,0.9263,0.84,0.1794,0.8624,0.8824,0.963,0.5714
25,0.1751,0.8704,0.8182,0.8519,0.6667,0.0994,0.9528,0.9083,0.9263,0.84,0.1877,0.8393,0.8235,0.8214,0.8333
26,0.1864,0.88,0.7879,0.84,0.625,0.0992,0.9528,0.9083,0.9263,0.84,0.183,0.8571,0.7941,0.8519,0.5714
27,0.2169,0.695,0.697,0.8,0.375,0.0991,0.9528,0.9083,0.9263,0.84,0.163,0.8759,0.7941,0.7931,0.8
28,0.2018,0.912,0.8182,0.875,0.6667,0.099,0.9528,0.9083,0.9263,0.84,0.2094,0.8667,0.8824,0.92,0.7778
29,0.2622,0.7738,0.7273,0.8571,0.5,0.0987,0.9528,0.9083,0.9263,0.84,0.1816,0.8512,0.8235,0.8571,0.6667
30,0.1572,0.7845,0.7576,0.8276,0.25,0.0987,0.9528,0.9083,0.9263,0.84,0.1877,0.8571,0.8235,0.8519,0.7143
31,0.1942,0.8352,0.8182,0.8846,0.5714,0.0987,0.9528,0.9083,0.9263,0.84,0.2094,0.7644,0.7353,0.7692,0.625
32,0.1636,0.7286,0.9091,0.9643,0.6,0.0987,0.9528,0.9083,0.9263,0.84,0.1743,0.8155,0.7353,0.75,0.6667
33,0.1945,0.8462,0.7576,0.8077,0.5714,0.0987,0.9528,0.9083,0.9263,0.84,0.2113,0.8,0.7647,0.8,0.6667
34,0.1552,0.8103,0.697,0.6897,0.75,0.0987,0.9528,0.9083,0.9263,0.84,0.2016,0.8622,0.8529,0.88,0.7778
35,0.1858,0.8516,0.8182,0.8846,0.5714,0.0987,0.9528,0.9083,0.9263,0.84,0.194,0.8702,0.7941,0.8077,0.75
36,0.205,0.5617,0.8182,0.9259,0.3333,0.0987,0.9528,0.9083,0.9263,0.84,0.2004,0.7989,0.7647,0.8148,0.5714
37,0.1586,0.8786,0.8485,0.8929,0.6,0.0987,0.9528,0.9083,0.9263,0.84,0.1746,0.9577,0.9118,0.8889,1.0
38,0.1853,0.8272,0.7576,0.8519,0.3333,0.0987,0.9528,0.9083,0.9263,0.84,0.1523,0.9172,0.8824,0.8966,0.8
39,0.1969,0.875,0.8182,0.84,0.75,0.0987,0.9528,0.9083,0.9263,0.84,0.1615,0.9048,0.8529,0.8571,0.8333
