epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.2866,0.425,0.7576,0.0,1.0,0.2856,0.7644,0.6667,0.6731,0.6618,0.3883,0.5929,0.4118,0.05,0.9286
1,0.2849,0.6296,0.7576,0.1111,1.0,0.2855,0.765,0.6667,0.6538,0.6765,0.4033,0.6179,0.4118,0.0,1.0
2,0.2741,0.478,0.7273,0.0,0.9231,0.2861,0.7653,0.65,0.6154,0.6765,0.3303,0.7357,0.5882,0.0,1.0
3,0.2547,0.755,0.7879,0.125,1.0,0.286,0.7653,0.65,0.6154,0.6765,0.3556,0.6035,0.5588,0.0,1.0
4,0.3209,0.5248,0.697,0.1818,0.9545,0.2854,0.7644,0.6667,0.6538,0.6765,0.3005,0.7614,0.6765,0.0833,1.0
5,0.3224,0.5238,0.6061,0.0,0.9524,0.2917,0.7636,0.7,0.8462,0.5882,0.337,0.6562,0.5882,0.375,0.7778
6,0.2557,0.7198,0.7576,0.2857,0.8846,0.2889,0.7636,0.6917,0.8077,0.6029,0.3212,0.7509,0.5882,0.2,0.8947
7,0.3383,0.7904,0.697,0.4118,1.0,0.2991,0.763,0.6833,0.8654,0.5441,0.29,0.7022,0.7059,0.6667,0.72
8,0.3536,0.4963,0.4545,0.375,0.5294,0.3252,0.7636,0.65,0.9615,0.4118,0.298,0.8168,0.7353,0.8462,0.6667
9,0.319,0.4008,0.3636,0.6364,0.2273,0.3338,0.7636,0.6333,0.9615,0.3824,0.3446,0.5417,0.5294,0.5,0.5556
10,0.3104,0.5873,0.4242,0.6667,0.2857,0.3262,0.7639,0.6417,0.9615,0.3971,0.3274,0.6644,0.5882,0.5882,0.5882
11,0.3314,0.6593,0.5758,0.7778,0.3333,0.3334,0.7636,0.6333,0.9615,0.3824,0.3279,0.663,0.5294,0.6154,0.4762
