epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.2044,0.822,0.7857,0.9318,0.25,0.1458,0.8808,0.8167,0.8316,0.76,0.1751,0.8255,0.8596,0.9362,0.5
1,0.1989,0.852,0.8214,0.8333,0.7857,0.1443,0.8821,0.7917,0.8,0.76,0.1907,0.7905,0.807,0.8696,0.5455
2,0.1777,0.8162,0.7143,0.7333,0.6364,0.1445,0.8825,0.7833,0.7684,0.84,0.168,0.8148,0.8596,0.9167,0.5556
3,0.1995,0.8265,0.7321,0.6667,0.9286,0.1447,0.8821,0.7833,0.7684,0.84,0.1669,0.8787,0.8246,0.8298,0.8
4,0.1934,0.7557,0.6607,0.6364,0.75,0.1451,0.8804,0.7833,0.7684,0.84,0.22,0.7203,0.7895,0.8864,0.4615
5,0.1434,0.9504,0.8929,0.8723,1.0,0.1451,0.8804,0.7833,0.7684,0.84,0.1703,0.8079,0.807,0.875,0.4444
6,0.1788,0.8658,0.75,0.7209,0.8462,0.1457,0.88,0.775,0.7579,0.84,0.1755,0.8951,0.8772,0.8636,0.9231
7,0.1843,0.7239,0.7679,0.8261,0.5,0.1454,0.8783,0.7917,0.7789,0.84,0.1915,0.8287,0.7895,0.7955,0.7692
8,0.1547,0.8125,0.6786,0.6458,0.875,0.1454,0.8783,0.7917,0.7789,0.84,0.1773,0.834,0.8596,0.913,0.6364
9,0.1899,0.8336,0.7857,0.8372,0.6154,0.1459,0.8783,0.775,0.7579,0.84,0.1938,0.6921,0.7719,0.8333,0.4444
10,0.1839,0.798,0.75,0.7556,0.7273,0.146,0.8783,0.775,0.7579,0.84,0.186,0.6556,0.7544,0.7959,0.5
11,0.1503,0.828,0.7857,0.7959,0.7143,0.1456,0.8779,0.7917,0.7789,0.84,0.2003,0.7628,0.807,0.8913,0.4545
12,0.1994,0.5366,0.5536,0.5957,0.3333,0.1456,0.8779,0.7833,0.7684,0.84,0.1789,0.8916,0.8772,0.9318,0.6923
13,0.1628,0.7734,0.6964,0.7083,0.625,0.1454,0.8779,0.7917,0.7789,0.84,0.1951,0.7255,0.8246,0.8936,0.5
14,0.1752,0.932,0.8036,0.7857,0.8571,0.1455,0.8775,0.7917,0.7789,0.84,0.1565,0.9229,0.8421,0.8696,0.7273
15,0.1779,0.8909,0.8214,0.814,0.8462,0.1456,0.8775,0.775,0.7579,0.84,0.1614,0.9249,0.8772,0.913,0.7273
16,0.2018,0.5717,0.5893,0.587,0.6,0.1456,0.8779,0.7917,0.7789,0.84,0.1699,0.7801,0.8246,0.875,0.5556
17,0.1751,0.9159,0.7857,0.814,0.6923,0.1457,0.8775,0.775,0.7579,0.84,0.2022,0.7174,0.8246,0.8913,0.5455
18,0.1556,0.7865,0.8036,0.8333,0.625,0.1456,0.8779,0.775,0.7579,0.84,0.2289,0.7492,0.7895,0.8837,0.5
19,0.1845,0.8144,0.7679,0.7955,0.6667,0.1457,0.8779,0.775,0.7579,0.84,0.1717,0.9248,0.8772,0.9091,0.7692
