epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.214,0.5578,0.6372,0.7021,0.3641,0.2201,0.6552,0.7167,0.8,0.4
1,0.2,0.7176,0.7195,0.7645,0.53,0.2127,0.6842,0.6083,0.6105,0.6
2,0.1886,0.7723,0.7071,0.7174,0.6636,0.207,0.7107,0.7083,0.7684,0.48
3,0.181,0.7878,0.7354,0.7558,0.6498,0.2025,0.7259,0.7333,0.8,0.48
4,0.1735,0.806,0.7513,0.77,0.6728,0.198,0.7461,0.6667,0.6632,0.68
5,0.1684,0.8195,0.7398,0.7448,0.7189,0.1937,0.7625,0.7417,0.7895,0.56
6,0.1626,0.8301,0.7531,0.7601,0.7235,0.1924,0.7768,0.7667,0.8316,0.52
7,0.159,0.8397,0.7602,0.7656,0.7373,0.1886,0.7874,0.7667,0.8316,0.52
8,0.1555,0.8457,0.7673,0.7711,0.7512,0.1835,0.7996,0.7833,0.8316,0.6
9,0.1529,0.8502,0.7681,0.7678,0.7696,0.1818,0.8131,0.7917,0.8526,0.56
10,0.1473,0.8633,0.7796,0.7722,0.8111,0.1769,0.8185,0.8,0.8421,0.64
11,0.1445,0.868,0.7814,0.7744,0.8111,0.1705,0.8274,0.8083,0.8421,0.68
12,0.1435,0.8689,0.7779,0.7678,0.8203,0.179,0.8299,0.8,0.8842,0.48
13,0.1398,0.875,0.792,0.7853,0.8203,0.167,0.832,0.8167,0.8526,0.68
14,0.1369,0.8831,0.7832,0.7733,0.8249,0.1709,0.8392,0.8083,0.8737,0.56
15,0.1364,0.8819,0.7965,0.7853,0.8433,0.1602,0.8442,0.8167,0.8316,0.76
16,0.1305,0.8934,0.7885,0.77,0.8664,0.1966,0.8509,0.8083,0.9053,0.44
17,0.13,0.8954,0.8097,0.7974,0.8618,0.1577,0.8577,0.825,0.8526,0.72
18,0.1294,0.8938,0.8044,0.7875,0.8756,0.1521,0.8632,0.8167,0.8316,0.76
19,0.1288,0.8961,0.8009,0.7831,0.8756,0.1743,0.8611,0.8167,0.9053,0.48
20,0.1259,0.8994,0.8071,0.7919,0.871,0.1597,0.8733,0.825,0.8947,0.56
21,0.1263,0.8984,0.7982,0.7853,0.8525,0.1736,0.8699,0.8167,0.9053,0.48
22,0.1234,0.9031,0.808,0.7941,0.8664,0.146,0.8779,0.8167,0.8316,0.76
23,0.1245,0.9005,0.8088,0.793,0.8756,0.1458,0.8796,0.8333,0.8526,0.76
24,0.1231,0.9022,0.7973,0.7831,0.8571,0.1731,0.8792,0.8167,0.9053,0.48
25,0.1194,0.9093,0.8239,0.8105,0.8802,0.1616,0.8808,0.8417,0.9053,0.6
26,0.1196,0.9087,0.8142,0.7996,0.8756,0.149,0.8834,0.8583,0.8947,0.72
27,0.1203,0.9075,0.8088,0.7908,0.8848,0.1437,0.8863,0.8667,0.8947,0.76
28,0.1192,0.9096,0.8186,0.805,0.8756,0.1519,0.8867,0.8333,0.8947,0.6
29,0.1141,0.9183,0.8345,0.8226,0.8848,0.1523,0.888,0.8333,0.8947,0.6
30,0.1158,0.915,0.8186,0.805,0.8756,0.1446,0.8939,0.85,0.8947,0.68
31,0.1146,0.916,0.8274,0.816,0.8756,0.1425,0.8947,0.85,0.8947,0.68
32,0.1147,0.9163,0.8071,0.7908,0.8756,0.1651,0.8943,0.8417,0.9263,0.52
33,0.1146,0.9165,0.8212,0.8083,0.8756,0.1407,0.8956,0.8583,0.8947,0.72
34,0.1118,0.9196,0.8212,0.8039,0.894,0.1834,0.8935,0.8583,0.9684,0.44
35,0.1117,0.9202,0.8292,0.8138,0.894,0.1464,0.8931,0.85,0.8947,0.68
36,0.1162,0.9113,0.8168,0.8028,0.8756,0.1601,0.8964,0.8583,0.9368,0.56
37,0.1125,0.9174,0.8257,0.8028,0.9217,0.1557,0.8977,0.8583,0.9263,0.6
38,0.1124,0.9182,0.8257,0.8105,0.8894,0.164,0.896,0.8583,0.9368,0.56
39,0.108,0.927,0.8372,0.8182,0.9171,0.1942,0.8994,0.8583,0.9684,0.44
40,0.1095,0.9237,0.8416,0.8291,0.894,0.1568,0.9002,0.8667,0.9368,0.6
41,0.1064,0.9288,0.8345,0.8215,0.8894,0.1425,0.9023,0.875,0.9158,0.72
42,0.1062,0.9293,0.8248,0.8094,0.8894,0.1609,0.9015,0.8667,0.9474,0.56
43,0.1062,0.9288,0.8354,0.8204,0.8986,0.1626,0.9023,0.8667,0.9474,0.56
44,0.105,0.9306,0.8504,0.8324,0.9263,0.1484,0.9036,0.8667,0.9263,0.64
45,0.1062,0.9298,0.831,0.8094,0.9217,0.1734,0.9023,0.875,0.9684,0.52
46,0.1057,0.9308,0.8513,0.8445,0.8802,0.1548,0.904,0.875,0.9368,0.64
47,0.1041,0.933,0.8469,0.8291,0.9217,0.1535,0.904,0.875,0.9368,0.64
48,0.1075,0.9255,0.8301,0.8149,0.894,0.1537,0.904,0.875,0.9368,0.64
49,0.1047,0.932,0.8389,0.8248,0.8986,0.1537,0.904,0.875,0.9368,0.64
