epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.3172,0.5318,0.477,0.6549,0.3806,0.3406,0.5362,0.5083,0.3269,0.6471
1,0.3067,0.6188,0.5841,0.5668,0.5935,0.3332,0.5894,0.5667,0.6346,0.5147
2,0.2992,0.6641,0.6221,0.6272,0.6194,0.3295,0.612,0.5583,0.7308,0.4265
3,0.2943,0.6865,0.6301,0.6297,0.6303,0.3275,0.6312,0.5583,0.7885,0.3824
4,0.2887,0.7107,0.6336,0.7078,0.5935,0.3207,0.6456,0.5667,0.6731,0.4853
5,0.2835,0.724,0.6513,0.6625,0.6453,0.3219,0.6598,0.575,0.8269,0.3824
6,0.2788,0.7391,0.6487,0.728,0.6057,0.3161,0.6632,0.6,0.4615,0.7059
7,0.2762,0.7424,0.6752,0.6725,0.6767,0.3106,0.6753,0.5833,0.5962,0.5735
8,0.272,0.7552,0.6779,0.6877,0.6726,0.3083,0.6867,0.6083,0.5962,0.6176
9,0.2678,0.7667,0.7009,0.7128,0.6944,0.3076,0.6985,0.6,0.7885,0.4559
10,0.2635,0.7748,0.6982,0.7103,0.6917,0.3025,0.7056,0.6333,0.6346,0.6324
11,0.2626,0.7761,0.7053,0.7128,0.7012,0.3002,0.7163,0.65,0.7115,0.6029
12,0.2619,0.7782,0.7018,0.7103,0.6971,0.3004,0.7245,0.65,0.7885,0.5441
13,0.2571,0.7879,0.7124,0.7179,0.7094,0.2979,0.7294,0.65,0.7692,0.5588
14,0.2536,0.796,0.7221,0.7179,0.7244,0.2988,0.7319,0.6417,0.8077,0.5147
15,0.2544,0.7918,0.7212,0.738,0.7121,0.2938,0.7359,0.675,0.75,0.6176
16,0.2522,0.7941,0.7142,0.7229,0.7094,0.2927,0.739,0.6917,0.7692,0.6324
17,0.248,0.8057,0.731,0.7355,0.7285,0.2909,0.7418,0.6833,0.7115,0.6618
18,0.2496,0.8014,0.7354,0.7531,0.7258,0.2911,0.7469,0.6583,0.5962,0.7059
19,0.2475,0.8042,0.7389,0.7355,0.7408,0.2922,0.7483,0.6833,0.8269,0.5735
20,0.2438,0.8133,0.746,0.7456,0.7462,0.2984,0.7483,0.6417,0.8462,0.4853
21,0.2445,0.8113,0.7301,0.7506,0.719,0.2869,0.75,0.6833,0.7115,0.6618
22,0.246,0.8073,0.7478,0.7431,0.7503,0.2878,0.7506,0.7167,0.8077,0.6471
23,0.2421,0.8148,0.7513,0.7582,0.7476,0.2874,0.7514,0.6667,0.6154,0.7059
24,0.2414,0.8164,0.7496,0.7406,0.7544,0.2943,0.7528,0.65,0.8269,0.5147
25,0.2403,0.8192,0.7451,0.7456,0.7449,0.2942,0.7548,0.65,0.8269,0.5147
26,0.2373,0.8265,0.7566,0.7683,0.7503,0.286,0.754,0.7,0.7692,0.6471
27,0.2375,0.8239,0.7469,0.7582,0.7408,0.287,0.7531,0.675,0.6154,0.7206
28,0.2379,0.824,0.7549,0.7506,0.7572,0.2847,0.7571,0.7,0.75,0.6618
29,0.2316,0.8352,0.7593,0.7657,0.7558,0.2837,0.7574,0.6917,0.75,0.6471
30,0.2338,0.83,0.7531,0.7683,0.7449,0.2844,0.759,0.6917,0.7885,0.6176
31,0.2343,0.8283,0.7469,0.7481,0.7462,0.2859,0.7593,0.7,0.8269,0.6029
32,0.2334,0.8313,0.7531,0.7607,0.749,0.2916,0.7613,0.65,0.8269,0.5147
33,0.233,0.8319,0.7531,0.7456,0.7572,0.2947,0.7636,0.6417,0.8269,0.5
34,0.2317,0.8343,0.7575,0.7557,0.7585,0.2996,0.7644,0.6417,0.8846,0.4559
35,0.2303,0.8375,0.7611,0.796,0.7422,0.2828,0.763,0.6917,0.7885,0.6176
36,0.2297,0.8383,0.7584,0.7582,0.7585,0.2844,0.7619,0.675,0.8077,0.5735
37,0.2272,0.8403,0.7628,0.7582,0.7653,0.3006,0.7647,0.65,0.8846,0.4706
38,0.2287,0.8397,0.7602,0.7758,0.7517,0.2928,0.7684,0.6583,0.8462,0.5147
39,0.2279,0.8402,0.7699,0.7582,0.7763,0.286,0.7673,0.675,0.8462,0.5441
40,0.2238,0.8481,0.7708,0.7758,0.7681,0.2883,0.767,0.675,0.8462,0.5441
41,0.2238,0.8467,0.7611,0.7758,0.7531,0.2841,0.7735,0.6583,0.8077,0.5441
42,0.2241,0.846,0.7628,0.7632,0.7626,0.2847,0.7735,0.6583,0.8077,0.5441
43,0.2233,0.8475,0.7646,0.7733,0.7599,0.2862,0.7757,0.6667,0.8462,0.5294
44,0.2214,0.8519,0.7814,0.7834,0.7804,0.2815,0.7749,0.6667,0.8077,0.5588
45,0.2239,0.8475,0.7619,0.7657,0.7599,0.2828,0.7743,0.6583,0.8077,0.5441
46,0.2215,0.8506,0.7699,0.7733,0.7681,0.2832,0.7721,0.6583,0.8077,0.5441
47,0.2225,0.8497,0.769,0.7783,0.764,0.2832,0.7715,0.6583,0.8077,0.5441
48,0.2211,0.8508,0.7708,0.7834,0.764,0.279,0.7695,0.675,0.7692,0.6029
49,0.2202,0.8527,0.7708,0.7859,0.7626,0.2774,0.7712,0.7,0.7692,0.6471
