epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.2,0.6619,0.5982,0.6002,0.5899,0.2478,0.7103,0.8417,0.9789,0.32
1,0.1745,0.7884,0.7372,0.7327,0.7558,0.2024,0.744,0.725,0.7684,0.56
2,0.1614,0.8211,0.7504,0.7371,0.8065,0.2058,0.7815,0.8083,0.8947,0.48
3,0.1541,0.839,0.7531,0.7514,0.7604,0.1864,0.7945,0.7917,0.8211,0.68
4,0.1478,0.8584,0.7611,0.7514,0.8018,0.1895,0.8055,0.8167,0.8842,0.56
5,0.1436,0.8635,0.7717,0.7634,0.8065,0.1756,0.8198,0.8167,0.8632,0.64
6,0.1367,0.8786,0.7894,0.782,0.8203,0.1817,0.8211,0.85,0.9263,0.56
7,0.1333,0.8889,0.7929,0.7755,0.8664,0.2381,0.8202,0.8417,0.9368,0.48
8,0.1347,0.8804,0.7841,0.7733,0.8295,0.1836,0.8488,0.875,0.9368,0.64
9,0.1348,0.8804,0.7814,0.7733,0.8157,0.1509,0.8644,0.8,0.8211,0.72
10,0.1294,0.8926,0.8088,0.7985,0.8525,0.1953,0.8606,0.8417,0.9474,0.44
11,0.1253,0.9007,0.8035,0.7963,0.8341,0.1557,0.8737,0.85,0.8947,0.68
12,0.1246,0.899,0.8027,0.7952,0.8341,0.1607,0.8632,0.8583,0.9053,0.68
13,0.126,0.8976,0.8044,0.7985,0.8295,0.1673,0.8792,0.8417,0.9263,0.52
14,0.1223,0.9065,0.8097,0.7996,0.8525,0.1575,0.872,0.85,0.8947,0.68
15,0.1204,0.9088,0.8106,0.8061,0.8295,0.1467,0.8808,0.8167,0.8316,0.76
16,0.1167,0.9152,0.8142,0.8028,0.8618,0.1799,0.8669,0.8333,0.9263,0.48
17,0.1177,0.9134,0.8177,0.8094,0.8525,0.1754,0.8665,0.875,0.9368,0.64
18,0.1158,0.916,0.831,0.8182,0.8848,0.1453,0.8771,0.7917,0.7895,0.8
19,0.1193,0.9106,0.8142,0.8072,0.8433,0.1536,0.8758,0.8417,0.8737,0.72
20,0.116,0.9165,0.831,0.816,0.894,0.1517,0.8745,0.825,0.8421,0.76
21,0.1137,0.917,0.823,0.8018,0.9124,0.2311,0.8716,0.825,0.9579,0.32
22,0.1137,0.9178,0.8345,0.8237,0.8802,0.1531,0.8741,0.7583,0.7368,0.84
23,0.1146,0.9179,0.8292,0.8215,0.8618,0.1651,0.8682,0.875,0.9158,0.72
24,0.1109,0.924,0.8283,0.8127,0.894,0.2579,0.8577,0.825,0.9579,0.32
25,0.1042,0.9359,0.8496,0.8379,0.8986,0.1823,0.8695,0.8583,0.9368,0.56
26,0.1009,0.9399,0.8478,0.8335,0.9078,0.1701,0.8758,0.8833,0.9368,0.68
27,0.1003,0.9399,0.8469,0.8346,0.8986,0.1721,0.8712,0.875,0.9263,0.68
28,0.1008,0.9408,0.8442,0.8335,0.8894,0.1604,0.8745,0.8583,0.9053,0.68
29,0.0985,0.9439,0.8513,0.8335,0.9263,0.1734,0.8686,0.875,0.9263,0.68
30,0.0987,0.9427,0.854,0.8401,0.9124,0.1867,0.872,0.8667,0.9474,0.56
31,0.0971,0.9468,0.854,0.8423,0.9032,0.1793,0.872,0.8833,0.9368,0.68
32,0.0933,0.952,0.8646,0.8467,0.9401,0.2062,0.8724,0.8417,0.9579,0.4
33,0.0959,0.9476,0.8611,0.8488,0.9124,0.1673,0.8728,0.875,0.9263,0.68
34,0.0957,0.9483,0.8531,0.8335,0.9355,0.1902,0.8703,0.875,0.9474,0.6
35,0.0975,0.9462,0.8522,0.8357,0.9217,0.1783,0.8707,0.8833,0.9368,0.68
36,0.0963,0.9475,0.8513,0.8357,0.9171,0.2067,0.8712,0.8417,0.9579,0.4
37,0.0938,0.9514,0.8646,0.851,0.9217,0.1891,0.8707,0.8667,0.9474,0.56
38,0.0936,0.9514,0.8628,0.8488,0.9217,0.1942,0.872,0.8667,0.9579,0.52
39,0.0936,0.951,0.8575,0.8401,0.9309,0.1961,0.8712,0.8583,0.9579,0.48
40,0.0935,0.9514,0.8664,0.8521,0.9263,0.1866,0.8695,0.875,0.9474,0.6
41,0.0913,0.9543,0.8664,0.8521,0.9263,0.181,0.8695,0.875,0.9263,0.68
42,0.0942,0.95,0.8513,0.8357,0.9171,0.1902,0.8703,0.8583,0.9474,0.52
43,0.0933,0.9527,0.8619,0.8467,0.9263,0.1927,0.8699,0.8583,0.9474,0.52
44,0.0922,0.9545,0.8664,0.8499,0.9355,0.1924,0.8707,0.8583,0.9474,0.52
45,0.0919,0.955,0.8637,0.8488,0.9263,0.1932,0.8703,0.8583,0.9474,0.52
46,0.0937,0.9516,0.8646,0.8499,0.9263,0.1899,0.8712,0.8667,0.9474,0.56
47,0.0928,0.9529,0.8593,0.8434,0.9263,0.1901,0.8707,0.8667,0.9474,0.56
48,0.0924,0.9537,0.8681,0.851,0.9401,0.1911,0.8712,0.8583,0.9474,0.52
49,0.0922,0.954,0.8681,0.8499,0.9447,0.1918,0.8712,0.8583,0.9474,0.52
