epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.2045,0.6439,0.5858,0.5827,0.5991,0.2149,0.7756,0.7667,0.8842,0.32
1,0.1718,0.8007,0.7469,0.7601,0.6912,0.149,0.8931,0.8167,0.8316,0.76
2,0.1459,0.8587,0.7664,0.759,0.7972,0.1358,0.9352,0.8833,0.9474,0.64
3,0.1412,0.8656,0.7761,0.7667,0.8157,0.1365,0.9398,0.8667,0.9474,0.56
4,0.1332,0.8798,0.7876,0.7809,0.8157,0.1314,0.9242,0.875,0.9053,0.76
5,0.1299,0.8876,0.7938,0.7798,0.8525,0.1106,0.9373,0.9083,0.9158,0.88
6,0.1268,0.8935,0.8035,0.7897,0.8618,0.1288,0.9322,0.8917,0.9474,0.68
7,0.1225,0.9028,0.8177,0.8039,0.8756,0.143,0.9347,0.8667,0.9474,0.56
8,0.1263,0.8913,0.7885,0.7798,0.8249,0.1159,0.9331,0.8917,0.9158,0.8
9,0.1207,0.9028,0.8053,0.7963,0.8433,0.1154,0.9389,0.9,0.9368,0.76
10,0.1234,0.898,0.8035,0.7908,0.8571,0.1528,0.9297,0.875,0.9579,0.56
11,0.1177,0.9084,0.808,0.7996,0.8433,0.132,0.9432,0.875,0.9368,0.64
12,0.1041,0.9308,0.8398,0.8258,0.8986,0.1311,0.9347,0.875,0.9368,0.64
13,0.1095,0.9203,0.823,0.8116,0.871,0.1136,0.9478,0.9,0.9368,0.76
14,0.105,0.9273,0.8345,0.8149,0.9171,0.1284,0.9398,0.8917,0.9474,0.68
15,0.1044,0.9289,0.8381,0.8182,0.9217,0.1048,0.9432,0.8917,0.9053,0.84
16,0.103,0.9324,0.8354,0.8182,0.9078,0.1353,0.9469,0.9083,0.9579,0.72
17,0.1022,0.9315,0.8442,0.8302,0.9032,0.1139,0.9461,0.8917,0.9368,0.72
18,0.0997,0.9341,0.8434,0.8291,0.9032,0.1045,0.9436,0.8833,0.8947,0.84
19,0.1014,0.9339,0.8451,0.8302,0.9078,0.1244,0.9448,0.9,0.9474,0.72
20,0.1009,0.9319,0.8442,0.8291,0.9078,0.1292,0.9457,0.9,0.9474,0.72
21,0.1014,0.932,0.8363,0.8215,0.8986,0.1479,0.9432,0.8833,0.9579,0.6
22,0.0974,0.939,0.8469,0.8346,0.8986,0.1023,0.9465,0.8667,0.8632,0.88
23,0.0989,0.9373,0.8407,0.8226,0.9171,0.1097,0.9415,0.9083,0.9368,0.8
24,0.0968,0.9399,0.846,0.8335,0.8986,0.1266,0.9436,0.9083,0.9474,0.76
25,0.0966,0.9395,0.8584,0.8467,0.9078,0.117,0.9402,0.9083,0.9474,0.76
26,0.0984,0.937,0.8513,0.8357,0.9171,0.112,0.9377,0.9083,0.9474,0.76
27,0.0982,0.9367,0.8487,0.8302,0.9263,0.11,0.9343,0.9083,0.9263,0.84
28,0.094,0.9447,0.8611,0.8456,0.9263,0.1133,0.9314,0.8833,0.9053,0.8
29,0.0909,0.9504,0.8637,0.8456,0.9401,0.1288,0.9368,0.9,0.9474,0.72
30,0.0925,0.9446,0.8496,0.8324,0.9217,0.1258,0.9377,0.9083,0.9474,0.76
31,0.0892,0.9512,0.8655,0.851,0.9263,0.1132,0.9368,0.9167,0.9474,0.8
32,0.0922,0.9462,0.8619,0.8467,0.9263,0.1384,0.9385,0.9,0.9474,0.72
33,0.0902,0.9501,0.8708,0.8543,0.9401,0.1112,0.9377,0.9167,0.9474,0.8
34,0.0895,0.9504,0.8575,0.8401,0.9309,0.1361,0.9368,0.9,0.9474,0.72
35,0.0877,0.9542,0.8655,0.8467,0.9447,0.1288,0.9373,0.9083,0.9474,0.76
36,0.0869,0.9554,0.8717,0.8543,0.9447,0.1331,0.9377,0.9083,0.9474,0.76
37,0.0895,0.95,0.8611,0.8456,0.9263,0.1353,0.9385,0.9,0.9474,0.72
38,0.0878,0.9527,0.8708,0.8576,0.9263,0.1303,0.9381,0.9083,0.9474,0.76
39,0.0873,0.9538,0.8566,0.8357,0.9447,0.1402,0.9381,0.9083,0.9579,0.72
40,0.0901,0.9489,0.8743,0.8598,0.9355,0.1223,0.9398,0.9083,0.9474,0.76
41,0.0896,0.9503,0.8558,0.8368,0.9355,0.1263,0.9385,0.9083,0.9474,0.76
42,0.0851,0.9572,0.8673,0.8488,0.9447,0.1322,0.9385,0.9083,0.9474,0.76
43,0.0873,0.9527,0.8717,0.8576,0.9309,0.1327,0.9381,0.9083,0.9474,0.76
44,0.0896,0.9496,0.8717,0.8554,0.9401,0.1281,0.9389,0.9083,0.9474,0.76
45,0.0869,0.9546,0.8611,0.8401,0.9493,0.1332,0.9394,0.9083,0.9474,0.76
46,0.0869,0.953,0.8752,0.8576,0.9493,0.1322,0.9389,0.9083,0.9474,0.76
47,0.087,0.9541,0.8699,0.8554,0.9309,0.1313,0.9389,0.9083,0.9474,0.76
48,0.088,0.9525,0.869,0.8521,0.9401,0.1307,0.9389,0.9083,0.9474,0.76
49,0.0876,0.9532,0.8726,0.8565,0.9401,0.1301,0.9394,0.9083,0.9474,0.76
