epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.3093,0.5946,0.5575,0.5995,0.5348,0.3376,0.6711,0.6167,0.1538,0.9706
1,0.2864,0.7055,0.6372,0.6448,0.633,0.307,0.7178,0.65,0.4038,0.8382
2,0.2677,0.7572,0.6903,0.6826,0.6944,0.2915,0.7497,0.675,0.7115,0.6471
3,0.2602,0.7749,0.7088,0.7003,0.7135,0.3135,0.7514,0.6333,0.9423,0.3971
4,0.2546,0.7877,0.7204,0.728,0.7162,0.2952,0.7435,0.6417,0.7115,0.5882
5,0.2482,0.8013,0.731,0.7406,0.7258,0.294,0.7593,0.675,0.8077,0.5735
6,0.2461,0.8012,0.7239,0.7531,0.708,0.3158,0.7398,0.65,0.3846,0.8529
7,0.2434,0.8077,0.7274,0.7531,0.7135,0.3104,0.7452,0.6667,0.4038,0.8676
8,0.2422,0.811,0.7274,0.7456,0.7176,0.2928,0.7469,0.7,0.7115,0.6912
9,0.2285,0.8378,0.7619,0.7809,0.7517,0.2898,0.7579,0.6917,0.8462,0.5735
10,0.2228,0.8472,0.7726,0.7935,0.7613,0.2844,0.7639,0.6667,0.6923,0.6471
11,0.2241,0.8413,0.7504,0.7859,0.7312,0.2894,0.7624,0.6917,0.8269,0.5882
12,0.2217,0.8463,0.7575,0.7884,0.7408,0.3141,0.7565,0.6667,0.9038,0.4853
13,0.2245,0.8426,0.7619,0.7884,0.7476,0.2906,0.7607,0.7083,0.8654,0.5882
14,0.2177,0.8513,0.7602,0.7809,0.749,0.2976,0.7624,0.675,0.8654,0.5294
15,0.2183,0.8519,0.754,0.7859,0.7367,0.2989,0.7568,0.6667,0.8462,0.5294
16,0.2169,0.8538,0.7673,0.8136,0.7422,0.2886,0.7554,0.6833,0.75,0.6324
17,0.2105,0.8693,0.7796,0.8161,0.7599,0.2864,0.7593,0.6583,0.6923,0.6324
18,0.2123,0.8647,0.7805,0.8212,0.7585,0.2867,0.7588,0.6667,0.6731,0.6618
19,0.2113,0.867,0.7814,0.8111,0.7653,0.2961,0.7593,0.6833,0.8654,0.5441
20,0.2096,0.8682,0.7717,0.7985,0.7572,0.3022,0.761,0.6833,0.8846,0.5294
21,0.2057,0.8748,0.777,0.8111,0.7585,0.2855,0.765,0.6667,0.6731,0.6618
22,0.2075,0.8699,0.7814,0.8136,0.764,0.2871,0.7619,0.6833,0.75,0.6324
23,0.2061,0.8726,0.7708,0.7935,0.7585,0.2862,0.7622,0.6833,0.7308,0.6471
24,0.2051,0.8738,0.7814,0.8111,0.7653,0.2862,0.7633,0.6833,0.7308,0.6471
25,0.2041,0.8765,0.7858,0.8186,0.7681,0.2905,0.7616,0.6917,0.8269,0.5882
26,0.2063,0.8731,0.7779,0.8161,0.7572,0.2882,0.7622,0.6667,0.75,0.6029
27,0.2049,0.8751,0.792,0.8463,0.7626,0.2859,0.7627,0.6667,0.6731,0.6618
28,0.2028,0.8788,0.7779,0.7935,0.7694,0.287,0.761,0.675,0.7308,0.6324
29,0.2023,0.8796,0.7858,0.8186,0.7681,0.2866,0.7619,0.6833,0.7308,0.6471
30,0.2046,0.8754,0.7805,0.7935,0.7735,0.2878,0.7616,0.6667,0.75,0.6029
31,0.2049,0.8759,0.7858,0.8111,0.7722,0.2879,0.761,0.6667,0.75,0.6029
32,0.207,0.8718,0.7743,0.8035,0.7585,0.2876,0.7622,0.675,0.75,0.6176
33,0.2035,0.8774,0.7956,0.8262,0.779,0.2879,0.7624,0.6667,0.75,0.6029
34,0.2054,0.8734,0.7885,0.806,0.779,0.2881,0.7624,0.6667,0.75,0.6029
35,0.2036,0.8773,0.7788,0.8136,0.7599,0.288,0.7622,0.6667,0.75,0.6029
36,0.2034,0.8784,0.7885,0.8237,0.7694,0.2879,0.7619,0.6667,0.75,0.6029
37,0.2031,0.879,0.7858,0.8161,0.7694,0.2879,0.7622,0.6667,0.75,0.6029
38,0.2053,0.8738,0.7743,0.8035,0.7585,0.2879,0.7622,0.6667,0.75,0.6029
39,0.1994,0.8845,0.792,0.8363,0.7681,0.2878,0.7619,0.6667,0.75,0.6029
40,0.2043,0.8756,0.7858,0.8212,0.7667,0.2878,0.7619,0.6667,0.75,0.6029
41,0.2017,0.8812,0.785,0.8237,0.764,0.2878,0.7619,0.6667,0.75,0.6029
42,0.2002,0.8845,0.7938,0.8312,0.7735,0.2878,0.7619,0.6667,0.75,0.6029
43,0.2055,0.8747,0.7876,0.8111,0.7749,0.2878,0.7619,0.6667,0.75,0.6029
44,0.2012,0.8814,0.7929,0.8136,0.7817,0.2878,0.7619,0.6667,0.75,0.6029
45,0.2031,0.8786,0.7814,0.801,0.7708,0.2878,0.7619,0.6667,0.75,0.6029
46,0.2041,0.8759,0.7876,0.8388,0.7599,0.2879,0.7619,0.6667,0.75,0.6029
47,0.2018,0.8805,0.792,0.8212,0.7763,0.2879,0.7619,0.6667,0.75,0.6029
48,0.2033,0.8773,0.7885,0.8161,0.7735,0.2879,0.7619,0.6667,0.75,0.6029
49,0.2032,0.8777,0.7912,0.8237,0.7735,0.2879,0.7616,0.6667,0.75,0.6029
