task,dimension,eps,percent,LOSS,AUC-best,Accuracy-best,Sensitivity-best,Specifity-best
acl,coronal,0,0.8,0.1928,0.9184,0.8417,0.8148,0.8636
acl,sagittal,0,0.8,0.186,0.9357,0.85,0.7778,0.9091
acl,axial,0,0.8,0.1432,0.952,0.8583,0.8519,0.8636
meniscus,coronal,0,0.8,0.2601,0.8207,0.75,0.7885,0.7206
abnormal,sagittal,0,0.8,0.0954,0.9537,0.8583,0.8421,0.92
meniscus,sagittal,0,0.8,0.28,0.7921,0.6917,0.9423,0.5
abnormal,coronal,0,0.8,0.1474,0.88,0.8083,0.8211,0.76
meniscus,axial,0,0.8,0.2468,0.8323,0.7667,0.8269,0.7206
abnormal,axial,0,0.8,0.1066,0.9406,0.8667,0.8842,0.8
acl,coronal,0,0.1,0.1916,0.9248,0.825,0.9074,0.7576
acl,sagittal,0,0.1,0.1698,0.9439,0.875,0.8519,0.8939
acl,axial,0,0.1,0.1419,0.9585,0.8833,0.8889,0.8788
meniscus,coronal,0,0.1,0.2589,0.832,0.75,0.8462,0.6765
abnormal,sagittal,0,0.1,0.0926,0.9537,0.8167,0.7895,0.92
meniscus,sagittal,0,0.1,0.2871,0.7701,0.675,0.9423,0.4706
abnormal,coronal,0,0.1,0.145,0.8829,0.7833,0.7789,0.8
meniscus,axial,0,0.1,0.2446,0.8428,0.7583,0.75,0.7647
abnormal,axial,0,0.1,0.1002,0.952,0.875,0.9158,0.72
acl,coronal,0,0.2,0.1923,0.9231,0.8583,0.8889,0.8333
acl,sagittal,0,0.2,0.1816,0.9411,0.85,0.7778,0.9091
acl,axial,0,0.2,0.1423,0.9565,0.875,0.8519,0.8939
meniscus,coronal,0,0.2,0.2593,0.8255,0.7333,0.7115,0.75
abnormal,sagittal,0,0.2,0.0926,0.9549,0.825,0.8,0.92
meniscus,sagittal,0,0.2,0.2862,0.7732,0.6917,0.9423,0.5
abnormal,coronal,0,0.2,0.145,0.8834,0.7833,0.7895,0.76
meniscus,axial,0,0.2,0.2475,0.8394,0.7417,0.6923,0.7794
abnormal,axial,0,0.2,0.1015,0.9516,0.875,0.9158,0.72
acl,coronal,0.00001,0.6,0.1911,0.9189,0.85,0.8519,0.8485
acl,sagittal,0.00001,0.6,0.1751,0.9366,0.8417,0.7407,0.9242
acl,axial,0.00001,0.6,0.1431,0.9531,0.8667,0.8519,0.8788
meniscus,coronal,0.00001,0.6,0.2599,0.8235,0.75,0.75,0.75
