epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.1692,0.8212,0.7761,0.75,0.7818,0.1474,0.9568,0.875,0.8704,0.8788
1,0.1615,0.8712,0.8209,0.8333,0.8182,0.1471,0.9568,0.875,0.8704,0.8788
2,0.1521,0.953,0.8657,0.9231,0.8519,0.1461,0.9562,0.875,0.8704,0.8788
3,0.1539,0.8896,0.8507,0.7273,0.875,0.146,0.9559,0.875,0.8704,0.8788
4,0.1498,0.9136,0.7761,0.8333,0.7636,0.1457,0.9548,0.875,0.8704,0.8788
5,0.163,0.9191,0.791,0.875,0.7647,0.146,0.9545,0.8667,0.8704,0.8636
6,0.17,0.8612,0.7612,0.7143,0.7736,0.1462,0.9543,0.8667,0.8704,0.8636
7,0.1907,0.7904,0.7015,0.75,0.6863,0.1471,0.954,0.875,0.8889,0.8636
8,0.1693,0.7955,0.7164,0.9167,0.6727,0.1487,0.9554,0.9083,0.963,0.8636
9,0.1593,0.8576,0.7015,0.75,0.6909,0.1465,0.9557,0.8833,0.9074,0.8636
10,0.1441,0.8835,0.6866,0.875,0.661,0.1448,0.9551,0.8667,0.8519,0.8788
11,0.1711,0.8262,0.7313,0.7692,0.7222,0.1454,0.9551,0.8667,0.8519,0.8788
12,0.1763,0.8738,0.7761,0.875,0.7451,0.1466,0.9554,0.8917,0.9259,0.8636
13,0.1281,0.9579,0.8507,0.7778,0.8621,0.1455,0.9543,0.8583,0.8519,0.8636
14,0.1352,0.9487,0.8955,0.9231,0.8889,0.1458,0.9534,0.8667,0.8519,0.8788
15,0.1589,0.7452,0.8209,0.5556,0.8621,0.1471,0.9529,0.8667,0.8519,0.8788
16,0.1661,0.8248,0.7313,0.6923,0.7407,0.1458,0.9534,0.8667,0.8519,0.8788
17,0.1526,0.8803,0.791,0.75,0.8,0.1459,0.9534,0.8667,0.8519,0.8788
18,0.1636,0.8854,0.7164,0.7857,0.6981,0.1457,0.9534,0.8583,0.8519,0.8636
19,0.1487,0.9353,0.8209,0.9286,0.7925,0.1462,0.9526,0.8667,0.8519,0.8788
