epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.2803,0.6414,0.7333,0.0,1.0,0.2853,0.7656,0.6667,0.6538,0.6765
1,0.283,0.7091,0.6889,0.0,0.9688,0.2866,0.7647,0.675,0.75,0.6176
2,0.2657,0.7299,0.8,0.1818,1.0,0.2857,0.7653,0.6833,0.7308,0.6471
3,0.2646,0.64,0.7111,0.0,0.9143,0.2851,0.7667,0.65,0.6154,0.6765
4,0.3105,0.7478,0.6444,0.0625,0.9655,0.2873,0.7653,0.6667,0.75,0.6029
5,0.2937,0.7644,0.7333,0.3333,0.9333,0.2997,0.7661,0.6833,0.8846,0.5294
6,0.3065,0.6891,0.6444,0.4118,0.7857,0.3054,0.7673,0.675,0.8846,0.5147
7,0.2627,0.7514,0.8222,0.5,0.9143,0.2935,0.767,0.7,0.8654,0.5735
8,0.3139,0.753,0.6444,0.3158,0.8846,0.3115,0.7678,0.675,0.9038,0.5
9,0.2758,0.6845,0.6444,0.6364,0.6471,0.2995,0.7687,0.6833,0.8846,0.5294
10,0.2849,0.8467,0.7333,0.3333,0.9333,0.3012,0.7689,0.6833,0.8846,0.5294
11,0.3008,0.6578,0.6889,0.4,0.8333,0.3032,0.7687,0.675,0.8846,0.5147
12,0.3504,0.6008,0.4889,0.2273,0.7391,0.3112,0.7658,0.6833,0.9231,0.5
13,0.2843,0.7558,0.6667,0.7857,0.6129,0.3139,0.7658,0.6833,0.9231,0.5
14,0.2973,0.6359,0.6222,0.5714,0.6452,0.312,0.7661,0.675,0.9038,0.5
15,0.3028,0.6996,0.7333,0.5882,0.8214,0.3108,0.7664,0.675,0.9038,0.5
16,0.3004,0.6897,0.7111,0.5,0.8276,0.3115,0.7664,0.675,0.9038,0.5
17,0.3041,0.6111,0.5556,0.4,0.6333,0.3119,0.7661,0.675,0.9038,0.5
18,0.2779,0.6944,0.6444,0.4167,0.7273,0.3107,0.7667,0.675,0.9038,0.5
19,0.2715,0.9111,0.8222,1.0,0.7333,0.31,0.7664,0.675,0.8846,0.5147
20,0.2766,0.738,0.6889,0.3846,0.8125,0.3091,0.7664,0.675,0.8846,0.5147
21,0.3063,0.7593,0.7111,0.5556,0.8148,0.3106,0.7664,0.6833,0.9038,0.5147
22,0.2767,0.6257,0.6222,0.3636,0.7059,0.3101,0.7667,0.675,0.8846,0.5147
23,0.2985,0.8522,0.8,0.7368,0.8462,0.3107,0.7664,0.6833,0.9038,0.5147
24,0.2837,0.7043,0.6667,0.6154,0.6875,0.3102,0.7667,0.675,0.8846,0.5147
25,0.2562,0.8057,0.8,0.7,0.8286,0.3098,0.7667,0.675,0.8846,0.5147
26,0.2505,0.9394,0.8222,0.9167,0.7879,0.3092,0.7667,0.675,0.8846,0.5147
27,0.3256,0.5309,0.4889,0.4444,0.5185,0.3096,0.7667,0.675,0.8846,0.5147
28,0.3099,0.5991,0.4889,0.25,0.6207,0.3097,0.7664,0.675,0.8846,0.5147
29,0.2984,0.7004,0.6667,0.5625,0.7241,0.3097,0.7664,0.675,0.8846,0.5147
30,0.3093,0.6366,0.6,0.5294,0.6429,0.3097,0.7664,0.675,0.8846,0.5147
31,0.2847,0.6731,0.6667,0.4615,0.75,0.3097,0.7664,0.675,0.8846,0.5147
32,0.2951,0.7069,0.6222,0.5,0.6897,0.3097,0.7664,0.675,0.8846,0.5147
33,0.3146,0.6366,0.6222,0.5294,0.6786,0.3097,0.7664,0.675,0.8846,0.5147
34,0.2795,0.8444,0.8889,0.7333,0.9667,0.3098,0.7667,0.675,0.8846,0.5147
35,0.2821,0.8477,0.7111,0.7778,0.6667,0.3099,0.7667,0.675,0.8846,0.5147
36,0.3324,0.7063,0.6667,0.625,0.7143,0.3102,0.7667,0.675,0.8846,0.5147
37,0.2783,0.8341,0.8,0.875,0.7586,0.3103,0.7667,0.675,0.8846,0.5147
38,0.3123,0.792,0.6667,0.55,0.76,0.3105,0.7667,0.6833,0.9038,0.5147
39,0.3118,0.4263,0.6222,0.2857,0.7742,0.3105,0.7667,0.6833,0.9038,0.5147
40,0.2816,0.819,0.7333,0.5625,0.8276,0.3105,0.7667,0.6833,0.9038,0.5147
41,0.3082,0.6513,0.6,0.4706,0.6786,0.3105,0.7667,0.6833,0.9038,0.5147
42,0.3003,0.6983,0.7111,0.5,0.8276,0.3106,0.7667,0.6833,0.9038,0.5147
43,0.2937,0.6889,0.6444,0.6429,0.6452,0.3106,0.7667,0.6833,0.9038,0.5147
44,0.2673,0.746,0.6667,0.5455,0.7059,0.3104,0.7667,0.6833,0.9038,0.5147
45,0.3067,0.818,0.7111,0.55,0.84,0.3106,0.7667,0.6833,0.9038,0.5147
46,0.3113,0.766,0.6889,0.6,0.76,0.3108,0.7667,0.675,0.9038,0.5
47,0.2682,0.7406,0.7556,0.6364,0.7941,0.3107,0.7667,0.6833,0.9038,0.5147
48,0.2892,0.6641,0.7111,0.5833,0.7576,0.3106,0.7667,0.6833,0.9038,0.5147
49,0.2886,0.8151,0.7333,0.7647,0.7143,0.3106,0.7667,0.6833,0.9038,0.5147
50,0.3025,0.7112,0.6889,0.4375,0.8276,0.3107,0.7667,0.6833,0.9038,0.5147
51,0.2802,0.7911,0.7778,0.5333,0.9,0.3107,0.7664,0.6833,0.9038,0.5147
52,0.2784,0.7236,0.7111,0.6154,0.75,0.3106,0.7664,0.6833,0.9038,0.5147
53,0.2907,0.7963,0.7778,0.7222,0.8148,0.3107,0.7664,0.6833,0.9038,0.5147
