epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.3213,0.4867,0.485,0.5441,0.4529,0.348,0.4842,0.525,0.1346,0.8235
1,0.3139,0.5565,0.546,0.5088,0.5662,0.3396,0.5376,0.5333,0.3654,0.6618
2,0.3095,0.5954,0.5743,0.534,0.5962,0.3338,0.5755,0.5167,0.5577,0.4853
3,0.3025,0.6464,0.608,0.6071,0.6085,0.3297,0.608,0.5333,0.6731,0.4265
4,0.2994,0.678,0.6195,0.7028,0.5744,0.3253,0.6318,0.575,0.5577,0.5882
5,0.2942,0.6997,0.6558,0.6877,0.6385,0.3216,0.6513,0.5667,0.75,0.4265
6,0.288,0.7302,0.6451,0.7657,0.5798,0.3223,0.6609,0.6333,0.3462,0.8529
7,0.2857,0.7229,0.6611,0.6877,0.6467,0.3134,0.6751,0.6083,0.5769,0.6324
8,0.2804,0.7478,0.6761,0.7154,0.6548,0.3112,0.6844,0.6417,0.5,0.75
9,0.2784,0.7471,0.6796,0.6952,0.6712,0.3077,0.6917,0.6333,0.6346,0.6324
10,0.2739,0.7549,0.6788,0.7003,0.6671,0.3046,0.7053,0.65,0.5962,0.6912
11,0.2707,0.7652,0.6894,0.7305,0.6671,0.3023,0.7084,0.6667,0.5962,0.7206
12,0.2675,0.7745,0.7035,0.7204,0.6944,0.3013,0.7149,0.65,0.7308,0.5882
13,0.266,0.7721,0.6894,0.7229,0.6712,0.2995,0.7197,0.65,0.7115,0.6029
14,0.2627,0.7775,0.7071,0.7229,0.6985,0.2993,0.7209,0.6333,0.7308,0.5588
15,0.2625,0.7775,0.7018,0.7305,0.6862,0.2977,0.7226,0.6667,0.7308,0.6176
16,0.2617,0.7738,0.7071,0.7355,0.6917,0.2976,0.7203,0.6833,0.7308,0.6471
17,0.2562,0.7908,0.7159,0.7406,0.7026,0.2971,0.7192,0.6833,0.7115,0.6618
18,0.2536,0.7977,0.7283,0.7557,0.7135,0.2971,0.7214,0.6583,0.6154,0.6912
19,0.2557,0.7879,0.7142,0.7254,0.708,0.2997,0.7237,0.6583,0.75,0.5882
20,0.2538,0.7916,0.7221,0.733,0.7162,0.3019,0.7214,0.65,0.7692,0.5588
21,0.2494,0.8025,0.7319,0.7531,0.7203,0.2965,0.7212,0.675,0.7115,0.6471
22,0.2505,0.7977,0.7257,0.7506,0.7121,0.2981,0.7226,0.6667,0.75,0.6029
23,0.2489,0.8,0.7212,0.728,0.7176,0.2943,0.7257,0.6583,0.6538,0.6618
24,0.2463,0.8048,0.7354,0.7431,0.7312,0.2971,0.7243,0.6667,0.75,0.6029
25,0.2468,0.8032,0.7292,0.7683,0.708,0.3018,0.7217,0.625,0.7692,0.5147
26,0.2471,0.804,0.7221,0.7355,0.7149,0.2978,0.7237,0.6667,0.7308,0.6176
27,0.2425,0.8134,0.7239,0.7531,0.708,0.297,0.7226,0.6333,0.5962,0.6618
28,0.2416,0.8148,0.746,0.7406,0.749,0.2969,0.7229,0.6667,0.7308,0.6176
29,0.24,0.8172,0.7442,0.7809,0.7244,0.2954,0.7262,0.6583,0.6731,0.6471
30,0.2429,0.8104,0.7389,0.7557,0.7299,0.2978,0.726,0.65,0.7308,0.5882
31,0.2395,0.8175,0.7354,0.7557,0.7244,0.2977,0.7254,0.65,0.7308,0.5882
32,0.2437,0.8084,0.7363,0.7632,0.7217,0.2972,0.726,0.65,0.7308,0.5882
33,0.2378,0.8211,0.7611,0.7708,0.7558,0.3003,0.7262,0.6417,0.75,0.5588
34,0.2392,0.8188,0.7442,0.7607,0.7353,0.2995,0.7265,0.65,0.75,0.5735
35,0.2383,0.8205,0.7496,0.7809,0.7326,0.2982,0.7257,0.65,0.7308,0.5882
36,0.236,0.8256,0.7434,0.7783,0.7244,0.2972,0.7254,0.6583,0.7308,0.6029
37,0.2389,0.8193,0.7434,0.7406,0.7449,0.299,0.726,0.65,0.7308,0.5882
38,0.2389,0.8194,0.7442,0.7935,0.7176,0.2986,0.726,0.65,0.7308,0.5882
39,0.2351,0.8263,0.7416,0.7607,0.7312,0.2984,0.7262,0.65,0.7308,0.5882
40,0.2382,0.8195,0.7416,0.7758,0.7231,0.2977,0.726,0.65,0.7308,0.5882
41,0.2388,0.8193,0.7469,0.7708,0.734,0.2984,0.726,0.65,0.7308,0.5882
42,0.2379,0.8215,0.7451,0.7783,0.7271,0.2983,0.7257,0.65,0.7308,0.5882
43,0.2368,0.8227,0.7469,0.7683,0.7353,0.2983,0.726,0.65,0.7308,0.5882
44,0.2386,0.8189,0.7345,0.7557,0.7231,0.2983,0.726,0.65,0.7308,0.5882
45,0.2367,0.8241,0.7389,0.7582,0.7285,0.2982,0.726,0.65,0.7308,0.5882
46,0.2396,0.8162,0.7398,0.7657,0.7258,0.2983,0.7265,0.65,0.7308,0.5882
47,0.235,0.8282,0.7575,0.7783,0.7462,0.2983,0.7268,0.65,0.7308,0.5882
48,0.2368,0.8229,0.7407,0.7683,0.7258,0.2983,0.7268,0.65,0.7308,0.5882
49,0.24,0.8163,0.7416,0.7683,0.7271,0.2983,0.7268,0.65,0.7308,0.5882
