epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.2156,0.4151,0.4566,0.4231,0.4642,0.3529,0.4108,0.425,0.3704,0.4697
1,0.2096,0.509,0.4929,0.5433,0.4816,0.3436,0.5379,0.5,0.2407,0.7121
2,0.2056,0.5753,0.5584,0.5433,0.5618,0.3361,0.6333,0.5833,0.2593,0.8485
3,0.2025,0.615,0.6018,0.5192,0.6204,0.3266,0.6894,0.65,0.6481,0.6515
4,0.1987,0.6617,0.6115,0.6202,0.6095,0.3193,0.7276,0.6667,0.6667,0.6667
5,0.1937,0.7116,0.631,0.7212,0.6106,0.3157,0.7522,0.725,0.4444,0.9545
6,0.1917,0.7162,0.6841,0.625,0.6974,0.3032,0.7708,0.7083,0.6481,0.7576
7,0.1885,0.738,0.6867,0.6875,0.6866,0.2955,0.7862,0.6917,0.7407,0.6515
8,0.1845,0.7528,0.6681,0.7356,0.6529,0.2891,0.7991,0.75,0.6481,0.8333
9,0.1814,0.7633,0.7195,0.726,0.718,0.2809,0.8109,0.7333,0.7037,0.7576
10,0.1806,0.7587,0.6965,0.7356,0.6876,0.2761,0.8207,0.75,0.6852,0.803
11,0.1765,0.7778,0.7088,0.7308,0.7039,0.2716,0.8258,0.7583,0.6852,0.8182
12,0.1745,0.7814,0.7142,0.6779,0.7223,0.2674,0.8356,0.7583,0.7778,0.7424
13,0.1704,0.7969,0.7186,0.7308,0.7158,0.2617,0.8401,0.7667,0.7407,0.7879
14,0.169,0.8001,0.7442,0.7452,0.744,0.2572,0.8423,0.7667,0.7407,0.7879
15,0.1663,0.8046,0.7204,0.7356,0.7169,0.2587,0.8446,0.775,0.6667,0.8636
16,0.1671,0.7979,0.7407,0.7308,0.743,0.2513,0.844,0.7417,0.6852,0.7879
17,0.1653,0.8055,0.7504,0.7548,0.7495,0.2486,0.8468,0.7583,0.7222,0.7879
18,0.1629,0.8103,0.7389,0.7452,0.7375,0.2459,0.8521,0.775,0.6852,0.8485
19,0.1625,0.8107,0.7549,0.75,0.756,0.2454,0.8558,0.7667,0.8148,0.7273
20,0.1601,0.8179,0.746,0.7548,0.744,0.2422,0.8558,0.7583,0.7593,0.7576
21,0.161,0.8136,0.7575,0.726,0.7646,0.2457,0.8583,0.775,0.8333,0.7273
22,0.1603,0.8158,0.7451,0.7548,0.743,0.2397,0.8605,0.7583,0.7963,0.7273
23,0.1585,0.8196,0.746,0.7596,0.743,0.2366,0.8617,0.7833,0.7593,0.803
24,0.1566,0.8232,0.7531,0.7356,0.757,0.2352,0.8622,0.7667,0.7222,0.803
25,0.1558,0.8291,0.7522,0.75,0.7527,0.2357,0.865,0.7917,0.7222,0.8485
26,0.1543,0.8315,0.7664,0.7692,0.7657,0.2346,0.865,0.75,0.7593,0.7424
27,0.1545,0.8313,0.7743,0.7548,0.7787,0.2431,0.8695,0.7917,0.8889,0.7121
28,0.156,0.8257,0.7566,0.7548,0.757,0.239,0.8704,0.775,0.8519,0.7121
29,0.1527,0.8375,0.7575,0.774,0.7538,0.2318,0.8715,0.7917,0.7407,0.8333
30,0.1511,0.8394,0.7664,0.7692,0.7657,0.2298,0.8718,0.7667,0.7593,0.7727
31,0.1522,0.835,0.7655,0.7548,0.7679,0.2293,0.8737,0.7583,0.7593,0.7576
32,0.1543,0.8293,0.7655,0.7356,0.7722,0.2363,0.8754,0.7667,0.8333,0.7121
33,0.1491,0.8466,0.7699,0.7692,0.7701,0.2276,0.8768,0.75,0.7593,0.7424
34,0.1488,0.845,0.7673,0.7788,0.7646,0.227,0.8765,0.775,0.7593,0.7879
35,0.1513,0.8375,0.7619,0.726,0.7701,0.2267,0.8782,0.775,0.7593,0.7879
36,0.1484,0.8472,0.7726,0.7404,0.7798,0.2341,0.8791,0.775,0.8519,0.7121
37,0.15,0.8399,0.7558,0.7548,0.756,0.2262,0.8788,0.7833,0.8148,0.7576
38,0.1492,0.8428,0.7708,0.7452,0.7766,0.2341,0.8796,0.775,0.8519,0.7121
39,0.1476,0.8477,0.7779,0.7548,0.7831,0.2312,0.8819,0.7833,0.8519,0.7273
40,0.1466,0.8492,0.7752,0.7885,0.7722,0.2241,0.8796,0.7667,0.7593,0.7727
41,0.1469,0.8473,0.7805,0.7644,0.7842,0.2235,0.8813,0.8083,0.7593,0.8485
42,0.1431,0.8585,0.7876,0.7885,0.7874,0.2264,0.8796,0.7833,0.8148,0.7576
43,0.1446,0.8561,0.7867,0.7885,0.7863,0.2258,0.8802,0.7833,0.8148,0.7576
44,0.1425,0.8621,0.7708,0.7788,0.769,0.2323,0.8774,0.8,0.6852,0.8939
45,0.1423,0.8619,0.7805,0.774,0.782,0.2313,0.8808,0.7583,0.8333,0.697
46,0.1439,0.8565,0.7673,0.7644,0.7679,0.2227,0.8788,0.775,0.7963,0.7576
47,0.1416,0.8622,0.7832,0.7692,0.7863,0.2256,0.8768,0.7833,0.8148,0.7576
48,0.1404,0.8668,0.785,0.8029,0.7809,0.2231,0.8774,0.8083,0.7222,0.8788
49,0.1415,0.8622,0.7876,0.7885,0.7874,0.2291,0.8779,0.7833,0.8333,0.7424
