epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.3192,0.5074,0.5177,0.4484,0.5553,0.3447,0.5057,0.525,0.2308,0.75
1,0.3091,0.5961,0.5637,0.5491,0.5716,0.3365,0.5696,0.5333,0.4615,0.5882
2,0.3034,0.6511,0.6133,0.5743,0.6344,0.3312,0.612,0.575,0.6538,0.5147
3,0.297,0.6901,0.6274,0.5919,0.6467,0.3282,0.6287,0.55,0.7692,0.3824
4,0.2935,0.7078,0.6398,0.6675,0.6248,0.3229,0.6431,0.5667,0.5192,0.6029
5,0.2885,0.7268,0.6743,0.6574,0.6835,0.322,0.6581,0.5833,0.7885,0.4265
6,0.2842,0.7377,0.6699,0.738,0.633,0.3238,0.6527,0.65,0.3654,0.8676
7,0.2822,0.7373,0.6673,0.6297,0.6876,0.3149,0.6632,0.55,0.5,0.5882
8,0.2784,0.7505,0.6876,0.6977,0.6821,0.3137,0.67,0.6,0.4615,0.7059
9,0.2759,0.7534,0.6991,0.7003,0.6985,0.3108,0.6821,0.575,0.6346,0.5294
10,0.2723,0.7582,0.7044,0.7078,0.7026,0.3091,0.6844,0.5833,0.5,0.6471
11,0.2699,0.7651,0.6903,0.6952,0.6876,0.3081,0.6895,0.6,0.4808,0.6912
12,0.2668,0.7753,0.7142,0.6801,0.7326,0.3068,0.6906,0.5833,0.6731,0.5147
13,0.2681,0.7669,0.7018,0.7028,0.7012,0.3054,0.6954,0.5833,0.6923,0.5
14,0.263,0.7795,0.7142,0.7103,0.7162,0.3029,0.6997,0.5917,0.6538,0.5441
15,0.2636,0.7769,0.6912,0.6952,0.6889,0.3018,0.7042,0.5833,0.5192,0.6324
16,0.2615,0.7825,0.7195,0.7154,0.7217,0.3009,0.7053,0.5833,0.5385,0.6176
17,0.2559,0.7944,0.7239,0.7229,0.7244,0.3003,0.7096,0.625,0.5192,0.7059
18,0.2557,0.7956,0.731,0.7481,0.7217,0.3057,0.7138,0.6417,0.4423,0.7941
19,0.2568,0.7889,0.7159,0.7103,0.719,0.298,0.7146,0.6333,0.6346,0.6324
20,0.2532,0.7965,0.7159,0.6952,0.7271,0.3002,0.7166,0.6167,0.75,0.5147
21,0.2522,0.7991,0.7283,0.7179,0.734,0.2976,0.7234,0.625,0.5,0.7206
22,0.2497,0.8046,0.7354,0.7229,0.7422,0.2958,0.726,0.6,0.5,0.6765
23,0.2491,0.8048,0.7212,0.7103,0.7271,0.2987,0.7285,0.6583,0.4808,0.7941
24,0.2469,0.8089,0.7398,0.7355,0.7422,0.2959,0.7316,0.6417,0.75,0.5588
25,0.2461,0.8129,0.7522,0.7657,0.7449,0.2956,0.7347,0.65,0.7885,0.5441
26,0.2452,0.8138,0.7451,0.7406,0.7476,0.2938,0.7316,0.6417,0.6154,0.6618
27,0.2389,0.8253,0.7442,0.7683,0.7312,0.3036,0.7353,0.6583,0.4423,0.8235
28,0.2442,0.8139,0.746,0.7355,0.7517,0.2925,0.739,0.6417,0.5577,0.7059
29,0.2383,0.826,0.7496,0.7456,0.7517,0.2923,0.7393,0.6417,0.5769,0.6912
30,0.239,0.8238,0.7425,0.7582,0.734,0.2921,0.7412,0.6583,0.6154,0.6912
31,0.2382,0.8254,0.7434,0.7305,0.7503,0.291,0.7429,0.6583,0.6346,0.6765
32,0.2351,0.8311,0.7504,0.7657,0.7422,0.2915,0.746,0.6583,0.75,0.5882
33,0.2388,0.8235,0.7584,0.7506,0.7626,0.2924,0.7494,0.6417,0.7885,0.5294
34,0.2358,0.8295,0.7575,0.7456,0.764,0.2955,0.7508,0.6667,0.8462,0.5294
35,0.233,0.8355,0.7593,0.7859,0.7449,0.2901,0.7494,0.675,0.5769,0.75
36,0.2317,0.8367,0.7566,0.7582,0.7558,0.288,0.7503,0.6583,0.6538,0.6618
37,0.2322,0.8334,0.7478,0.7431,0.7503,0.295,0.75,0.65,0.8077,0.5294
38,0.2293,0.8394,0.7549,0.7531,0.7558,0.2911,0.7506,0.65,0.7885,0.5441
39,0.2303,0.8389,0.7593,0.7632,0.7572,0.2865,0.7545,0.675,0.7115,0.6471
40,0.229,0.8414,0.7628,0.7632,0.7626,0.2895,0.7525,0.6667,0.75,0.6029
41,0.2277,0.8423,0.7584,0.7607,0.7572,0.2889,0.7525,0.6667,0.75,0.6029
42,0.2255,0.8468,0.7611,0.7708,0.7558,0.2898,0.7508,0.6583,0.75,0.5882
43,0.2242,0.8475,0.7673,0.7758,0.7626,0.2906,0.7548,0.6583,0.7885,0.5588
44,0.2239,0.8487,0.769,0.7657,0.7708,0.2871,0.7542,0.6583,0.75,0.5882
45,0.2237,0.8484,0.754,0.738,0.7626,0.2867,0.7574,0.6583,0.75,0.5882
46,0.2193,0.856,0.7708,0.7809,0.7653,0.2864,0.7576,0.6583,0.75,0.5882
47,0.2193,0.8575,0.769,0.7632,0.7722,0.2858,0.7582,0.6667,0.7115,0.6324
48,0.2216,0.8506,0.7655,0.7733,0.7613,0.2856,0.7613,0.6833,0.6538,0.7059
49,0.2189,0.8568,0.7726,0.7733,0.7722,0.2858,0.7599,0.6917,0.6538,0.7206
