epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.3882,0.6818,0.8209,1.0,0.0,0.1838,0.8114,0.675,0.6421,0.8
1,0.4291,0.7474,0.6866,1.0,0.0,0.3264,0.8164,0.325,0.1474,1.0
2,0.2017,0.7763,0.7463,0.8679,0.2857,0.4263,0.8189,0.25,0.0526,1.0
3,0.1939,0.7974,0.7612,0.8077,0.6,0.4754,0.8156,0.2417,0.0421,1.0
4,0.1905,0.7593,0.7612,0.7778,0.6923,0.539,0.8185,0.2333,0.0316,1.0
5,0.1519,0.9075,0.7612,0.75,0.8182,0.4734,0.816,0.2417,0.0421,1.0
6,0.1818,0.8474,0.7313,0.7115,0.8,0.4867,0.8168,0.2417,0.0421,1.0
7,0.1784,0.7576,0.7313,0.7455,0.6667,0.4922,0.8164,0.2417,0.0421,1.0
8,0.1771,0.8063,0.7313,0.7222,0.7692,0.4842,0.8168,0.2417,0.0421,1.0
9,0.1663,0.8962,0.7761,0.75,0.8667,0.4961,0.816,0.2333,0.0316,1.0
10,0.1754,0.6437,0.5672,0.569,0.5556,0.4749,0.8164,0.2417,0.0421,1.0
11,0.1705,0.8733,0.791,0.7736,0.8571,0.4753,0.8168,0.2417,0.0421,1.0
12,0.1745,0.8333,0.7463,0.7407,0.7692,0.477,0.8168,0.2417,0.0421,1.0
13,0.1708,0.7439,0.6866,0.6842,0.7,0.4798,0.8168,0.2417,0.0421,1.0
14,0.1343,0.8927,0.806,0.8103,0.7778,0.4759,0.8173,0.2417,0.0421,1.0
15,0.1769,0.8731,0.7761,0.7308,0.9333,0.4771,0.8173,0.2417,0.0421,1.0
16,0.1825,0.881,0.791,0.7347,0.9444,0.4861,0.8164,0.2417,0.0421,1.0
17,0.193,0.8174,0.7015,0.7059,0.6875,0.4945,0.8164,0.2417,0.0421,1.0
18,0.1927,0.6455,0.6119,0.6,0.6667,0.4926,0.8164,0.2417,0.0421,1.0
19,0.1728,0.7549,0.7313,0.75,0.6364,0.4928,0.8164,0.2417,0.0421,1.0
