epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.2091,0.75,0.8358,1.0,0.0833,0.1166,0.9356,0.85,0.8632,0.8
1,0.2639,0.7464,0.7612,0.8478,0.5714,0.1358,0.9381,0.7417,0.6737,1.0
2,0.2246,0.5593,0.6119,0.6415,0.5,0.1517,0.9402,0.6417,0.5474,1.0
3,0.2036,0.7103,0.6716,0.6346,0.8,0.1503,0.9389,0.6667,0.5789,1.0
4,0.1959,0.7393,0.5672,0.5,0.8462,0.1571,0.9389,0.6167,0.5158,1.0
5,0.1667,0.8442,0.806,0.7857,0.9091,0.1393,0.9389,0.7333,0.6632,1.0
6,0.1927,0.7846,0.6866,0.6731,0.7333,0.1476,0.9364,0.6833,0.6,1.0
7,0.1899,0.6939,0.6418,0.6364,0.6667,0.1472,0.9364,0.6833,0.6,1.0
8,0.21,0.6068,0.5373,0.5741,0.3846,0.1435,0.936,0.7083,0.6316,1.0
9,0.2001,0.741,0.6716,0.6923,0.6,0.1492,0.9364,0.675,0.5895,1.0
10,0.1696,0.7625,0.7313,0.7069,0.8889,0.1418,0.9356,0.7167,0.6421,1.0
11,0.194,0.7493,0.7313,0.717,0.7857,0.1407,0.9352,0.7333,0.6632,1.0
12,0.1975,0.6652,0.6567,0.6667,0.6154,0.1398,0.9356,0.7333,0.6632,1.0
13,0.1795,0.6754,0.7612,0.7895,0.6,0.14,0.9352,0.7333,0.6632,1.0
14,0.1636,0.7663,0.7761,0.7931,0.6667,0.1391,0.9352,0.7333,0.6632,1.0
15,0.2245,0.6462,0.6866,0.7692,0.4,0.1404,0.9352,0.7333,0.6632,1.0
16,0.2148,0.7653,0.7164,0.7347,0.6667,0.1434,0.9356,0.7167,0.6421,1.0
17,0.2203,0.7047,0.6866,0.6863,0.6875,0.1456,0.9356,0.6917,0.6105,1.0
18,0.1893,0.7227,0.6866,0.6909,0.6667,0.1453,0.9356,0.7,0.6211,1.0
19,0.1753,0.8133,0.791,0.8393,0.5455,0.1454,0.9356,0.7,0.6211,1.0
