epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.186,0.7242,0.5522,0.9167,0.4727,0.2569,0.8457,0.75,0.5741,0.8939
1,0.1856,0.7197,0.6866,0.5833,0.7091,0.2483,0.8462,0.7333,0.6111,0.8333
2,0.1693,0.8875,0.7612,0.9231,0.7222,0.2508,0.8451,0.7333,0.6111,0.8333
3,0.1621,0.8409,0.7164,0.8182,0.6964,0.2568,0.8448,0.75,0.5741,0.8939
4,0.1781,0.803,0.6716,0.8333,0.6364,0.2571,0.8443,0.75,0.5741,0.8939
5,0.1869,0.8358,0.7463,0.9375,0.6863,0.2483,0.846,0.7333,0.6111,0.8333
6,0.1716,0.841,0.7612,0.8571,0.7358,0.2459,0.8476,0.75,0.6667,0.8182
7,0.1991,0.7426,0.6269,0.8125,0.5686,0.2444,0.8471,0.7417,0.6852,0.7879
8,0.1701,0.8318,0.6866,0.8333,0.6545,0.2494,0.846,0.7333,0.6111,0.8333
9,0.1741,0.7773,0.7015,0.75,0.6909,0.2644,0.8454,0.7333,0.537,0.8939
10,0.1551,0.7119,0.7612,0.625,0.7797,0.2923,0.8446,0.7333,0.463,0.9545
11,0.2172,0.6097,0.6418,0.3846,0.7037,0.2753,0.844,0.75,0.537,0.9242
12,0.1904,0.8199,0.7313,0.9375,0.6667,0.2443,0.8457,0.7417,0.6852,0.7879
13,0.1486,0.8602,0.7313,0.8889,0.7069,0.274,0.8423,0.7333,0.537,0.8939
14,0.1678,0.8048,0.806,0.6154,0.8519,0.2674,0.8437,0.7333,0.537,0.8939
15,0.156,0.8027,0.806,0.4444,0.8621,0.2927,0.8412,0.7333,0.463,0.9545
16,0.1789,0.7877,0.791,0.6154,0.8333,0.2708,0.8423,0.7333,0.537,0.8939
17,0.1853,0.7227,0.7463,0.5833,0.7818,0.2681,0.8418,0.7333,0.537,0.8939
18,0.1924,0.7547,0.7612,0.7143,0.7736,0.2473,0.8448,0.7417,0.6481,0.8182
19,0.1735,0.8275,0.6269,0.8571,0.566,0.2508,0.8451,0.7333,0.6111,0.8333
