epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.1513,0.8824,0.8636,0.8,0.8824,0.1983,0.9226,0.8417,0.9444,0.7576
1,0.089,1.0,0.8182,1.0,0.7895,0.1927,0.9228,0.85,0.8889,0.8182
2,0.0895,0.9765,0.8636,1.0,0.8235,0.1902,0.922,0.85,0.8704,0.8333
3,0.1305,0.8246,0.8636,0.3333,0.9474,0.1899,0.9226,0.85,0.8704,0.8333
4,0.0731,1.0,0.9545,1.0,0.9412,0.1899,0.9228,0.85,0.8704,0.8333
5,0.1016,0.9792,0.9091,1.0,0.875,0.1896,0.922,0.85,0.8704,0.8333
6,0.0672,1.0,1.0,1.0,1.0,0.1891,0.9217,0.8417,0.8519,0.8333
7,0.1215,0.8772,0.7727,0.6667,0.7895,0.1893,0.9212,0.85,0.8704,0.8333
8,0.1529,0.8854,0.8182,0.8333,0.8125,0.1897,0.9212,0.85,0.8704,0.8333
9,0.0941,1.0,0.9091,1.0,0.8824,0.1897,0.9214,0.85,0.8704,0.8333
10,0.0591,1.0,0.9091,1.0,0.9,0.189,0.9214,0.85,0.8704,0.8333
11,0.2007,0.7882,0.9091,0.8,0.9412,0.1895,0.9214,0.85,0.8704,0.8333
12,0.0883,0.9896,0.9545,1.0,0.9375,0.1898,0.9214,0.85,0.8704,0.8333
13,0.0742,0.9649,0.9091,1.0,0.8947,0.1893,0.9209,0.85,0.8704,0.8333
14,0.0743,1.0,0.8636,1.0,0.8421,0.1889,0.9206,0.8667,0.8519,0.8788
15,0.0729,1.0,0.9091,1.0,0.8947,0.1897,0.9195,0.85,0.8148,0.8788
16,0.0829,1.0,0.9545,0.75,1.0,0.1897,0.9198,0.85,0.8148,0.8788
17,0.1317,0.9167,0.9091,0.8333,0.9375,0.1892,0.9186,0.8583,0.8704,0.8485
18,0.0883,0.9861,0.9091,1.0,0.8889,0.1889,0.9203,0.8583,0.8704,0.8485
19,0.0801,1.0,0.9545,1.0,0.9474,0.189,0.9186,0.8583,0.8704,0.8485
