epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.1292,0.8951,0.8444,0.8611,0.7778,0.1183,0.9469,0.8917,0.9368,0.72
1,0.1705,0.875,0.8222,0.8125,0.8462,0.1083,0.9491,0.9083,0.9368,0.8
2,0.1464,0.8171,0.7556,0.6857,1.0,0.1057,0.9478,0.9083,0.9263,0.84
3,0.1054,0.9314,0.8,0.7714,0.9,0.1088,0.9482,0.9083,0.9368,0.8
4,0.068,0.9973,0.9111,0.8824,1.0,0.1087,0.9478,0.9083,0.9368,0.8
5,0.0852,0.953,0.8222,0.7949,1.0,0.117,0.9486,0.8917,0.9368,0.72
6,0.1318,0.8784,0.7778,0.7568,0.875,0.1149,0.9478,0.8917,0.9368,0.72
7,0.0999,0.9444,0.8444,0.8611,0.7778,0.1167,0.9482,0.8917,0.9368,0.72
8,0.116,0.902,0.7778,0.7838,0.75,0.114,0.9474,0.9,0.9368,0.76
9,0.0888,0.9571,0.9111,0.9143,0.9,0.1121,0.9478,0.9083,0.9368,0.8
10,0.151,0.812,0.7556,0.7632,0.7143,0.1133,0.9474,0.9,0.9368,0.76
11,0.0888,0.9691,0.8889,0.8611,1.0,0.1137,0.9474,0.9,0.9368,0.76
12,0.091,0.9316,0.8444,0.8205,1.0,0.1156,0.9469,0.8917,0.9368,0.72
13,0.1193,0.8953,0.7778,0.8108,0.625,0.1142,0.9469,0.9,0.9368,0.76
14,0.0982,0.9527,0.8222,0.8108,0.875,0.1138,0.9469,0.9,0.9368,0.76
15,0.0963,0.963,0.8667,0.8333,1.0,0.1138,0.9469,0.9,0.9368,0.76
16,0.0996,0.9571,0.8444,0.8182,0.9167,0.1137,0.9469,0.9,0.9368,0.76
17,0.1347,0.8771,0.8,0.7429,1.0,0.1132,0.9474,0.9,0.9368,0.76
18,0.1291,0.9291,0.6667,0.5946,1.0,0.1144,0.9469,0.9,0.9368,0.76
19,0.0953,0.9088,0.9111,0.8919,1.0,0.1147,0.9469,0.9,0.9368,0.76
