epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.1549,0.8195,0.8222,0.5714,0.8684,0.1756,0.9436,0.875,0.8148,0.9242
1,0.1164,0.9189,0.9111,0.75,0.9459,0.1722,0.9436,0.875,0.8148,0.9242
2,0.083,0.9865,0.9111,1.0,0.8919,0.1714,0.9439,0.875,0.8148,0.9242
3,0.0847,0.9586,0.8667,0.8571,0.8684,0.1724,0.9442,0.875,0.8148,0.9242
4,0.0851,0.9962,0.8444,1.0,0.8158,0.1728,0.9436,0.875,0.8148,0.9242
5,0.1132,0.9492,0.8444,0.8182,0.8529,0.1725,0.9433,0.8667,0.7963,0.9242
6,0.0888,0.9907,0.9111,1.0,0.8889,0.1732,0.9433,0.8667,0.7963,0.9242
7,0.1439,0.8233,0.8222,0.7143,0.8421,0.1738,0.943,0.8667,0.7963,0.9242
8,0.0992,0.9764,0.8889,1.0,0.8649,0.1728,0.9428,0.875,0.8148,0.9242
9,0.0972,0.9459,0.8889,0.875,0.8919,0.1728,0.943,0.875,0.8148,0.9242
10,0.098,0.945,0.7778,1.0,0.75,0.1752,0.9433,0.8667,0.7963,0.9242
11,0.13,0.8818,0.8444,0.75,0.8649,0.1742,0.943,0.875,0.8148,0.9242
12,0.1408,0.9351,0.9111,0.9231,0.9062,0.1722,0.9428,0.875,0.8148,0.9242
13,0.0846,0.9512,0.8667,0.75,0.878,0.172,0.9428,0.875,0.8148,0.9242
14,0.1096,0.9361,0.8444,0.8571,0.8421,0.1725,0.943,0.875,0.8148,0.9242
15,0.1382,0.6402,0.8,0.5,0.8293,0.1727,0.943,0.875,0.8148,0.9242
16,0.0879,0.9907,0.8667,1.0,0.8333,0.1727,0.943,0.875,0.8148,0.9242
17,0.0955,0.9899,0.9333,0.875,0.9459,0.1726,0.943,0.875,0.8148,0.9242
18,0.1451,0.8858,0.8444,0.7778,0.8611,0.1721,0.943,0.875,0.8148,0.9242
19,0.098,0.9527,0.8222,0.875,0.8108,0.1719,0.943,0.875,0.8148,0.9242
