epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.1071,0.9193,0.8571,0.875,0.8542,0.147,0.9565,0.8667,0.8519,0.8788
1,0.1008,0.9394,0.8929,0.8182,0.9111,0.1468,0.9548,0.8667,0.8519,0.8788
2,0.0769,0.9754,0.875,0.9167,0.8636,0.1466,0.9548,0.8667,0.8519,0.8788
3,0.0716,0.9879,0.9464,0.9091,0.9556,0.1462,0.9545,0.8667,0.8519,0.8788
4,0.0738,0.996,0.8571,1.0,0.8222,0.147,0.9543,0.8667,0.8519,0.8788
5,0.0859,0.9728,0.9286,0.9286,0.9286,0.1462,0.9543,0.8667,0.8519,0.8788
6,0.0784,0.983,0.9464,0.9167,0.9545,0.1458,0.9537,0.8667,0.8519,0.8788
7,0.1351,0.8717,0.8393,0.8,0.8478,0.1458,0.9548,0.875,0.8889,0.8636
8,0.1089,0.9374,0.875,0.9091,0.8667,0.1467,0.9545,0.8833,0.9074,0.8636
9,0.0955,0.948,0.7679,0.8889,0.7447,0.1455,0.9543,0.8667,0.8704,0.8636
10,0.0927,0.9475,0.8571,0.8571,0.8571,0.1467,0.9537,0.8667,0.8519,0.8788
11,0.0823,0.9716,0.875,0.7778,0.8936,0.1462,0.9534,0.8667,0.8519,0.8788
12,0.0958,0.9935,0.9286,0.8667,0.9512,0.1464,0.954,0.875,0.8889,0.8636
13,0.0796,0.9661,0.8929,0.875,0.8958,0.1455,0.954,0.8583,0.8519,0.8636
14,0.0665,0.9899,0.9107,1.0,0.8889,0.1456,0.9537,0.8583,0.8519,0.8636
15,0.1131,0.8533,0.8571,0.3333,0.92,0.1458,0.9537,0.8583,0.8519,0.8636
16,0.0997,0.9413,0.8571,0.9,0.8478,0.1459,0.9537,0.8583,0.8519,0.8636
17,0.0881,0.9433,0.9286,0.7778,0.9574,0.1457,0.954,0.8583,0.8519,0.8636
18,0.0915,0.9678,0.8929,0.9167,0.8864,0.1457,0.954,0.8583,0.8519,0.8636
19,0.0823,0.9717,0.8929,1.0,0.8696,0.1459,0.9537,0.8583,0.8519,0.8636
