epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.2396,0.8222,0.7164,0.8636,0.6444,0.264,0.8278,0.75,0.8654,0.6618
1,0.1849,0.9079,0.7612,0.7619,0.7609,0.2633,0.8275,0.75,0.8654,0.6618
2,0.1802,0.9161,0.8209,0.8889,0.7959,0.2596,0.8272,0.7583,0.7692,0.75
3,0.1837,0.8821,0.8209,0.7333,0.8462,0.2639,0.8249,0.7167,0.6346,0.7794
4,0.2146,0.8991,0.8507,0.8519,0.85,0.2591,0.8258,0.775,0.8077,0.75
5,0.1929,0.9118,0.8209,0.8333,0.814,0.2597,0.8247,0.7583,0.8077,0.7206
6,0.1951,0.913,0.8657,0.8261,0.8864,0.265,0.8255,0.7333,0.8654,0.6324
7,0.1846,0.9025,0.8209,0.7778,0.8367,0.2591,0.8255,0.7667,0.8077,0.7353
8,0.2131,0.8685,0.7612,0.7778,0.75,0.2643,0.8269,0.75,0.8654,0.6618
9,0.1885,0.89,0.806,0.8333,0.7959,0.2598,0.823,0.75,0.75,0.75
10,0.238,0.8266,0.7761,0.75,0.7907,0.2611,0.8224,0.7667,0.8077,0.7353
11,0.2345,0.8182,0.7761,0.7727,0.7778,0.2611,0.8221,0.7667,0.8077,0.7353
12,0.2173,0.8857,0.791,0.7241,0.8421,0.2632,0.8232,0.75,0.8269,0.6912
13,0.201,0.8862,0.806,0.85,0.7872,0.2615,0.8232,0.7667,0.8269,0.7206
14,0.2025,0.8766,0.8209,0.8,0.8298,0.2608,0.8215,0.7667,0.8077,0.7353
15,0.1818,0.9381,0.8657,0.7692,0.9268,0.2614,0.8221,0.7583,0.8077,0.7206
16,0.2413,0.8358,0.7463,0.5769,0.8537,0.2631,0.823,0.75,0.8269,0.6912
17,0.2045,0.8851,0.8358,0.8571,0.8261,0.2632,0.8224,0.75,0.8269,0.6912
18,0.1446,0.9812,0.9254,0.913,0.9318,0.263,0.823,0.75,0.8269,0.6912
19,0.2175,0.8614,0.7313,0.7917,0.6977,0.2627,0.823,0.75,0.8269,0.6912
