epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.1074,0.9434,0.823,0.7865,0.9583,0.1097,0.9541,0.8833,0.9263,0.72
1,0.1069,0.9367,0.8407,0.8023,0.963,0.1131,0.9537,0.875,0.9263,0.68
2,0.1199,0.9208,0.8053,0.7674,0.9259,0.1114,0.9524,0.875,0.9263,0.68
3,0.0904,0.9531,0.8496,0.8111,1.0,0.1225,0.9512,0.9,0.9579,0.68
4,0.0796,0.9647,0.8938,0.8936,0.8947,0.1362,0.9516,0.9,0.9684,0.64
5,0.1001,0.948,0.8761,0.8764,0.875,0.1246,0.9499,0.9,0.9579,0.68
6,0.103,0.9391,0.8496,0.8315,0.9167,0.1258,0.9516,0.9,0.9579,0.68
7,0.0974,0.9395,0.8407,0.8191,0.9474,0.1329,0.9507,0.9,0.9684,0.64
8,0.0799,0.9559,0.8761,0.8495,1.0,0.1344,0.9503,0.9,0.9684,0.64
9,0.0886,0.9516,0.8761,0.8602,0.95,0.1347,0.9499,0.9,0.9684,0.64
10,0.093,0.9404,0.823,0.8,0.9444,0.1409,0.9503,0.875,0.9684,0.52
11,0.0878,0.9691,0.8761,0.8506,0.9615,0.1341,0.9507,0.9,0.9684,0.64
12,0.0975,0.9435,0.885,0.8925,0.85,0.1288,0.9516,0.8917,0.9579,0.64
13,0.1051,0.9231,0.8496,0.8495,0.85,0.129,0.9516,0.8917,0.9579,0.64
14,0.0925,0.9363,0.823,0.8021,0.9412,0.1316,0.9512,0.9,0.9684,0.64
15,0.1122,0.9223,0.823,0.8068,0.88,0.1308,0.9507,0.8917,0.9579,0.64
16,0.0845,0.9681,0.8938,0.8778,0.9565,0.1307,0.9507,0.8917,0.9579,0.64
17,0.103,0.9391,0.8584,0.8295,0.96,0.1302,0.9507,0.8917,0.9579,0.64
18,0.0944,0.938,0.8142,0.7789,1.0,0.1328,0.9507,0.9,0.9684,0.64
19,0.0824,0.954,0.9204,0.9121,0.9545,0.133,0.9507,0.9,0.9684,0.64
