epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.1411,0.8727,0.7699,0.7303,0.9167,0.1564,0.8796,0.8667,0.9158,0.68
1,0.1254,0.9104,0.7876,0.7442,0.9259,0.1594,0.8813,0.8667,0.9158,0.68
2,0.1234,0.9177,0.8053,0.7558,0.963,0.1622,0.8817,0.8667,0.9158,0.68
3,0.0969,0.9667,0.8673,0.8444,0.9565,0.1656,0.8813,0.8583,0.9263,0.6
4,0.0856,0.9642,0.9027,0.8936,0.9474,0.1786,0.8808,0.85,0.9474,0.48
5,0.111,0.9345,0.8584,0.8539,0.875,0.1707,0.8804,0.8583,0.9368,0.56
6,0.1023,0.949,0.8496,0.8202,0.9583,0.1698,0.8792,0.8583,0.9368,0.56
7,0.1125,0.9171,0.8142,0.7872,0.9474,0.1764,0.8796,0.8583,0.9474,0.52
8,0.1039,0.9247,0.8496,0.8387,0.9,0.1779,0.8779,0.85,0.9474,0.48
9,0.097,0.9435,0.8761,0.8602,0.95,0.178,0.8771,0.85,0.9474,0.48
10,0.1033,0.9251,0.8407,0.8316,0.8889,0.1813,0.8775,0.85,0.9474,0.48
11,0.0851,0.977,0.8938,0.8621,1.0,0.1788,0.8775,0.85,0.9474,0.48
12,0.0983,0.9425,0.8761,0.8817,0.85,0.1777,0.8787,0.85,0.9474,0.48
13,0.1037,0.9306,0.8407,0.8387,0.85,0.1778,0.8787,0.85,0.9474,0.48
14,0.0895,0.9504,0.8407,0.8333,0.8824,0.1797,0.8787,0.85,0.9474,0.48
15,0.1281,0.9018,0.8142,0.7955,0.88,0.1772,0.8792,0.8583,0.9474,0.52
16,0.1095,0.93,0.823,0.8111,0.8696,0.1763,0.8792,0.8583,0.9474,0.52
17,0.1096,0.9318,0.8142,0.8068,0.84,0.1756,0.8787,0.8583,0.9368,0.56
18,0.1119,0.9076,0.7965,0.7579,1.0,0.1785,0.8787,0.85,0.9474,0.48
19,0.0963,0.9505,0.885,0.8681,0.9545,0.1785,0.8787,0.85,0.9474,0.48
